,title,channelId,videoId,subject
0,Bill Gates will die Welt impfen,veggietation,AhuU_CG9v80,[Impfen+Gates]
1,Bill Gates und  Bevölkerungskontrolle,veggietation,YWjkYM8slFU,[Impfen+Gates]
2,Wie Bill Gates das Weltgesundheitssystem monopolisiert - dt. untertitelt,veggietation,QVYj1HQyPg0,[Impfen+Gates]
3,Innovating to zero! | Bill Gates,TED,JaF-fq2Zn7I,[Impfen+Gates]
4,Bill Gates on Fighting Coronavirus | The Daily Social Distancing Show,The Daily Show with Trevor Noah,iyFT8qXcOrM,[Impfen+Gates]
5,Dok 1 - &quot;Impfen? Nein danke!&quot;,Christian Tieber,8nH_0sauWxk,[Impfen+Gates]
6,Bill Gates at MIT 2010 - &quot;Giving Back: Finding the Best Way to Make a Difference&quot;,MIT Video Productions,bfIqbOi9RCQ,[Impfen+Gates]
7,Jens Spahn im Interview mit YouTubern bei Breaking Lab (Wir gegen Corona),Bundesministerium für Gesundheit,RsP9AuKKu20,[Impfen+Gates]
8,Online-Bürgersprechstunde mit Ministerpräsident Kretschmer vom 4. Mai 2020,FreistaatSachsen,O8iMjdBFY3A,[Impfen+Gates]
9,Corona: die krassesten Thesen und Lügen | STRG_F,STRG_F,3duErFbfFM0,[Impfen+Gates]
10,Corona Virus (COVID-19) discussion with Bill Gates,Khan Academy,NDnjXdDxEhk,[Impfen+Gates]
11,Coronavirus-Update #26: Genbasierte Impfstoffe haben Potenzial | NDR Podcast,NDR Ratgeber,lhujYBcgbKo,[Impfen+Gates]
12,Gates kaapt Duitsland en de rest van de wereld. (NL ondertiteling).,Wolfgang van den Akker,57_NwZqW5nc,[Impfen+Gates]
13,„Verantwortung in der Krise“,RegierungBW,BMNkGoYrdTs,[Impfen+Gates]
14,Coronavirus-Update #35: Vielversprechende Impfstudie aus China | NDR Podcast,NDR Ratgeber,0qsxDbSYz0c,[Impfen+Gates]
15,Halle (Saale): Video-Pressekonferenz vom 19. April 2020 zur Corona-Lage – Mit Untertiteln,StadtHalleSaale,o0scbzPHFtM,[Impfen+Gates]
16,How we must respond to the coronavirus pandemic | Bill Gates,TED,Xe8fIjxicoo,[Impfen+Gates]
17,#21 Gute Nachrichten! aktuell | The Good News,TOS Gemeinde Leipzig,zfsjxmraiwk,[Impfen+Gates]
