text,start,stop
"The message is actually for them
Viewers that this virus is not at all",00:00:00.000,00:00:05.009
"as evil as we are told.
Hello, dear viewers! I'm glad",00:00:05.009,00:00:09.300
"of course from my living room today.
Hello Rolf! Hello! I'm happy that",00:00:09.300,00:00:14.400
"you are there. Rolf Kron, of course last
Days so many videos of you was",00:00:14.400,00:00:20.609
"watched, especially this video now
about Corona Virus. Maybe you like",00:00:20.609,00:00:25.289
"say something to your patients because you
just told me your practice is",00:00:25.289,00:00:32.340
"now, so to speak, there is a constant call and emails being written.",00:00:32.340,00:00:36.840
"Yes, it's just insane
erupted and now not even because",00:00:36.840,00:00:42.750
"I'm overwhelmed now because of what's
an insane flu wave, yes because",00:00:42.750,00:00:46.710
"this is complete this year
stayed away because we didn't have one",00:00:46.710,00:00:49.680
"Winter. So we hardly have either
flu diseases. It's easy",00:00:49.680,00:00:53.699
"currently totally limitless, like many e-mails, sms and telegrams,",00:00:53.699,00:00:59.609
"come watts apps and so on.
People are unsettled about this",00:00:59.609,00:01:03.359
"corona panic that is just on this
Globe completely derailed and completely",00:01:03.359,00:01:07.500
"is on fire. And of course you can -
that will change in the course of",00:01:07.500,00:01:11.040
"In the evening here in conversation too
devoted - I just see it very much",00:01:11.040,00:01:15.030
"sober and I'm basically very
sad about what's on this planet",00:01:15.030,00:01:20.909
"just happened. In relation to this
Pandemic, on this",00:01:20.909,00:01:26.180
Plague-making on this virus that everyone is imposed on and has,00:01:26.360,00:01:32.120
"feel like you're in that
Past looks that both",00:01:32.120,00:01:35.920
"Politicians, epidemiologists, doctors, the whole media world",00:01:35.939,00:01:42.020
"0 is willing to learn something. Because
we had swine flu in 2009/2010.",00:01:42.020,00:01:49.820
"And it was the same cenova
was just as hardly as now",00:01:49.820,00:01:55.560
"Cases were there. Now we had back then
already had a vaccine, she wanted it",00:01:55.560,00:02:00.780
"Population then
not because the government agreed",00:02:00.780,00:02:03.500
"had ordered another vaccine that
contained fewer pollutants, so",00:02:03.500,00:02:07.490
"contained less mercury, etc. that
means the whole thing has a bit",00:02:07.490,00:02:11.300
"ran like this in the sand. Yes we had
then pandemic level 6",00:02:11.300,00:02:16.459
"proclaimed, the WHO has just before
yet the pandemic criteria changed where",00:02:16.459,00:02:21.110
"we worldwide from every flu infection
a pandemic stage",00:02:21.110,00:02:27.140
"can cause a pandemic warning
and now no longer have ours",00:02:27.140,00:02:30.620
"Government that has to decide for itself
but now it is decided that",00:02:30.620,00:02:34.040
everything is always hermetically sealed.,00:02:34.040,00:02:38.569
"Yes, there are people who just go with it
Mouthguards masks run around the shop",00:02:38.569,00:02:42.200
"the supermarkets empty as if there was nuclear war
upcoming. The schools will",00:02:42.200,00:02:46.220
"closed, meetings are prohibited",00:02:46.220,00:02:50.480
The weddings must be canceled,00:02:50.480,00:02:54.530
Theaters remain closed,00:02:54.530,00:02:59.060
"It’s really amazing right now
is going on on this globe! Yes, but that",00:02:59.060,00:03:03.950
"People who are afraid of it and
that's probably why you have so many",00:03:03.950,00:03:08.060
E-mails as well as we of course.,00:03:08.060,00:03:12.680
"And maybe we can do anything
Give viewers a little bit",00:03:12.680,00:03:18.079
think differently or deal with it.,00:03:18.079,00:03:20.627
I just try to explain it like that,00:03:20.627,00:03:23.870
"Even before we focus on
have targeted special killer viruses",00:03:23.870,00:03:31.280
Because it is only from the 1970s that we had in the,00:03:31.280,00:03:35.570
"70s ever one
Swine flu",00:03:35.570,00:03:37.790
and then there were SARS and MOERS ... but that was already in the 2000s,00:03:37.790,00:03:42.850
"Swine flu in 2010 and now
the COVID that now overshadows everything.",00:03:42.850,00:03:48.739
"But what was before the seventies
years? How could humanity",00:03:48.739,00:03:53.540
"survive, even before the 70s
Years and also in the years",00:03:53.540,00:03:56.900
"in between we now had 18 in 2017
also a severe flu wave because of the",00:03:56.900,00:04:01.040
"Winter was very severe. How could that
Survive mankind up to these 5-6",00:04:01.040,00:04:06.709
"Events and how so that now
more and more that supposedly",00:04:06.709,00:04:10.910
"any mutated killer viruses
trying to exterminate the world where",00:04:10.910,00:04:15.860
"do they come from here ?!
Yes, who can find them and why can you find them ?!",00:04:15.860,00:04:20.360
"Why don't you just stay with it?
feet on the floor and look at what",00:04:20.360,00:04:25.330
"really going out in numbers in this world
is because we have until the end of december",00:04:25.330,00:04:30.200
"around the end of march every year
Flu wave.",00:04:30.200,00:04:32.200
Each year,00:04:32.200,00:04:34.820
"I'm deliberately saying flu wave, we
but could also say one",00:04:34.820,00:04:39.200
Accumulation of flu infections.,00:04:39.200,00:04:43.580
"Because we have over 3500 different ones
Colds or flu",00:04:43.580,00:04:49.220
"or flu infections pathogens that are in the
microbiology are well known",00:04:49.220,00:04:55.310
"but we only have our focus now
aim at this one germ",00:04:55.310,00:04:59.570
"this germ is now a monster 
highly stylized",00:04:59.570,00:05:02.959
But if we do that now,00:05:02.959,00:05:04.550
"Look at case numbers, China is now
already through and has little more",00:05:04.550,00:05:08.410
"New cases and the numbers
are now stagnating at 80,000",00:05:08.410,00:05:13.880
"What do these numbers mean?
That means from the first case to",00:05:13.880,00:05:20.030
"for the last 80,000 people fell ill
were",00:05:20.030,00:05:24.620
"but this curve was like that, rose and now it has",00:05:24.620,00:05:28.850
"reached a plateau and now we are
almost down again because China has",00:05:28.850,00:05:31.940
"hardly any new illness when the Covid
Virus would be so evil why is it now",00:05:31.940,00:05:38.120
"don't just exterminate china that's a
1.4 billion state and if you do that",00:05:38.120,00:05:43.820
