text,start,stop
"Music playing! music playing! music playing!
hello, good morning, good afternoon good evening",00:00:17.800,00:00:39.240
"from whichever part of the world you are watching
this video. i bring you greetings in the name",00:00:39.240,00:00:43.809
"of our LORD and Saviour JESUS CHRIST. In this
video I want to talk about Bill Gates, and",00:00:43.809,00:00:49.570
"the members of the new world order, I want
to talk about vaccines, I want to talk about",00:00:49.570,00:00:54.800
"antichrist, I want to talk about the end time
and the signs we are seeing. e... in every",00:00:54.800,00:01:01.789
"time and every era, there have been people
ordained to carry out specific actions that",00:01:01.789,00:01:09.660
"had defined that time and era both negative
and positive players in the history of human",00:01:09.660,00:01:19.820
"kind. unfortunately, these people have always
realized only when it is too late what a stupid",00:01:19.820,00:01:25.990
"thing they had engaged themselves into speaking
of those who have played serious negative",00:01:25.990,00:01:33.110
"parts in the history of mankind. We had a
pharaoh for in stance who was raised and he",00:01:33.110,00:01:40.971
"played the role that was so devastating in
the lives of the children of Israel, when",00:01:40.971,00:01:48.149
"Israel were in the land of Egypt. This guy
grew in stature and became so powerful, that",00:01:48.149,00:01:54.920
"at some point he thought he could engage his
maker even the almighty God in the battle",00:01:54.920,00:02:01.520
"of supremacy only to realize howbeit too late
in the torrents of the red sea that he was",00:02:01.520,00:02:11.230
"just but  a mere mortal whose success made to lose
his mind and as a result he behaved in a way",00:02:11.230,00:02:19.910
"that was so destructive, he realized that
very, very, late in life. We also had a Nebuchadnezzar",00:02:19.910,00:02:26.650
"who became a very powerful man, he became so
powerful that disrespected anything that was",00:02:26.650,00:02:35.060
"called god until he met the true GOD, he had
no respect for God, he had no respect for gods.",00:02:35.060,00:02:43.360
"He had thought of himself to be god
because he had conquered many nations and",00:02:43.360,00:02:49.350
"desecrated their places of worship even the
temple of GOD in Jerusalem, he burnt it with",00:02:49.350,00:02:55.730
"fire and took away the precious vessels that
were there. These fits of conquests made him",00:02:55.730,00:03:03.000
"to think that since none of the gods of those
nations he conquered could deliver their people",00:03:03.000,00:03:09.610
"out his own hand, including the GOD of the
Hebrews, he said to himself, he looked at",00:03:09.610,00:03:16.260
"himself and called himself god. He said to
himself ""I must be god!"" so he made an image",00:03:16.260,00:03:23.680
"of himself, and demanded that all people,
all tribes and toungues worship him,",00:03:23.680,00:03:29.370
"worship his image and which happened to be a type
of the beast and the image of the beast in",00:03:29.370,00:03:35.780
"Revelation chapter 13 but there were certain
Hebrew youths that defied him and that was",00:03:35.780,00:03:43.250
"when he got to know that actually, there was
there is and there will ever remain THE GOD",00:03:43.250,00:03:51.000
"THE ONLY TRUE GOD that is above all gods, the
only Lord that is the LORD of lords. We are",00:03:51.000,00:03:58.960
"having some kind of developments in our world
that is akin to the actions of Nebuchadnezzar",00:03:58.960,00:04:05.280
"in his own time and that just as there were  those
three Hebrews this time, there will be more",00:04:05.280,00:04:12.780
"than three because what we are seeing today
will actually and eventually culminate to",00:04:12.780,00:04:19.459
"a similar a.. similar scenario that played
out in Nebuchadnezzar. God is raising an army of",00:04:19.459,00:04:27.610
"people that will withstand the Nebuchadnezzar
of the day, the antichrist and the beast and",00:04:27.610,00:04:35.159
"all the, the, the, the, the members of his convoy. Today it's
Bill Gates and his co-travelers in the caravan",00:04:35.159,00:04:46.520
"of the new world order. they are being used
and in this their generation, they are bent",00:04:46.520,00:04:53.260
"on fulfilling an event and this event is an
event that was prophesied long before ever",00:04:53.260,00:04:59.430
"there was a nation called America. They have
been lifted, they have been made very big,",00:04:59.430,00:05:05.870
"they are very large in life and their hearts
have been influenced to carry out this agenda",00:05:05.870,00:05:13.389
"which has been scripted before their genealogy
tree began. They are playing roles in the",00:05:13.389,00:05:18.129
"movie script they did not write. Just like
other powerful men before them played theirs,",00:05:18.129,00:05:24.249
"we had people people like Herod the great,
we had someone like Nero the emperor, we had",00:05:24.249,00:05:33.659
"Adolphus Hitler. There were so many countless
number of others. This had also in their time",00:05:33.659,00:05:35.520
"elevated themselves as gods over the people,
as gods over humanity, and of course, while",00:05:35.520,00:05:47.259
"it lasted they had their way, it was going
in their direction until when God, the Supreme",00:05:47.259,00:05:53.610
"Being of heaven decided that enough was enough
and waded in and trashed them as rubbish the",00:05:53.610,00:06:00.750
"same way the men of our time will have their
way until their cup runs over. However, it",00:06:00.750,00:06:09.479
"must be noted that these men the..the men
I mentioned earlier, you know.. that they had",00:06:09.479,00:06:17.389
"one thing in common that necessitated their
hardness and unnecessary wickedness. If you",00:06:17.389,00:06:25.479
"look a.. into their lives very, very well,
if if know of their history you will discover",00:06:25.479,00:06:31.919
"that there was one or two things that was
common with all of them but I want to talk about one,",00:06:31.919,00:06:38.949
"they are actually two or more but
I want to talk about the one that is prevalent in everyone of them and that factor is fear",00:06:38.949,00:06:46.600
"Yes i..i.. this men, they appear to be fearless,",00:06:46.600,00:06:52.380
"they appear to be larger than life, they appear
to be very big but underneath the bottom of",00:06:52.440,00:06:57.660
"their heart, there is an underlining fact...
fact.. or factor you know... that cannot be",00:06:57.660,00:07:05.439
"overlooked and that has been fear fear of
being toppled by opponents, fear of death,",00:07:05.439,00:07:12.339
"fear of betrayal and fear of failure these
apart from greed, greed is the other one but",00:07:12.339,00:07:19.642
"fear was a common phenomenon and it is still
there even in the men of today in the minds",00:07:19.642,00:07:27.520
"of the leaders of today listen to your presidents,
listen to your governors, listen to your...senators,",00:07:27.680,00:07:34.120
"everyone of them, none of them is secured.
there is always fear of failure, fear of being",00:07:34.200,00:07:41.740
"toppled, fear of even...even...even the billionaires,
there is fear in their hearts. so now, this",00:07:41.740,00:07:51.660
"fear had been present in all of these men
now for instance, pharaoh decided to maltreat",00:07:51.669,00:07:58.990
"the Hebrews and started killing their male
children for the fear of Israel becoming stronger",00:07:58.990,00:08:05.389
"and forming an alliance with other nations
thus fighting Egypt and thereby escaping.",00:08:05.389,00:08:11.770
"He devised this means of keeping them, torturing
them, you know... and made them to bow and",00:08:11.770,00:08:20.270
"to a large extent, he was succeeding in doing
so until there was a divine intervention.",00:08:20.270,00:08:26.719
"Fear has always been the number one thing
that turns powerful men to monsters. they",00:08:26.720,00:08:34.620
"try to suppress it by killing and maiming,
they try to hide it they try to press it down,",00:08:34.620,00:08:42.080
"to mask it, masking it by brutalizing both
the strong and the weak, so as to send a message",00:08:42.080,00:08:50.490
"to the living and thereby, the living will
fear, the remnant will kow-tow and bow before",00:08:50.490,00:08:57.160
"them and worship. This brings me to the Bill
Gates issue and his wonderful effort to save",00:08:57.160,00:09:04.440
"the whole world. like I said earlier, all
of them are acting out scripted roles, they",00:09:04.440,00:09:11.080
"are in the same ship traveling in one direction-ONE
WORLD GOVERNMENT, they are the members of",00:09:11.080,00:09:16.420
"the new world order they know what they want
to achieve they have their target and that",00:09:16.420,00:09:25.620
