text,start,stop
Good evening i would like to deliver,00:00:01.280,00:00:03.990
this video to all people,00:00:03.990,00:00:06.060
who do not know me and who,00:00:06.060,00:00:07.319
"accidentally  landed on this channel,",00:00:07.319,00:00:08.760
now know one or who also come across,00:00:08.760,00:00:10.260
this video on another channel,00:00:10.260,00:00:11.550
Because I would like to expressly call to,00:00:11.550,00:00:14.370
download this video and,00:00:14.370,00:00:15.929
showcase it on different,00:00:15.929,00:00:17.460
platforms.,00:00:17.460,00:00:18.740
My name is Ken Jebsen. I am a freelancer,00:00:18.740,00:00:20.910
journalist in germany and have been working,00:00:20.910,00:00:22.619
in this country for over 35 years,00:00:22.619,00:00:24.600
with a press card.,00:00:24.600,00:00:27.210
I owe it to this country to do,00:00:27.210,00:00:28.710
that what I do. I had a relatively,00:00:28.710,00:00:31.349
difficult youth and yes but there was the,00:00:31.349,00:00:33.660
"constitution, there were the articles 1:",00:00:33.660,00:00:35.280
the dignity of the human being is inviolable,00:00:35.280,00:00:36.149
and so it was not dependent on,00:00:36.149,00:00:38.340
the money from my parents if,00:00:38.340,00:00:39.660
I would visit a good school,00:00:39.660,00:00:42.210
"and so I could do my job, although in",00:00:42.210,00:00:45.030
another country this would not have been possible.,00:00:45.030,00:00:46.530
Therefore I owe a lot to,00:00:46.530,00:00:47.640
"this country Germany,",00:00:47.640,00:00:48.930
especially to this book: The Basic Law.,00:00:48.930,00:00:52.050
This Basic Law is clearly in danger,00:00:52.050,00:00:54.260
keyword corona and I would like,00:00:54.260,00:00:56.370
to show here that what is happening,00:00:56.370,00:00:59.190
in this country is very dangerous,00:00:59.190,00:01:00.989
for this country and that you can call,00:01:00.989,00:01:02.190
"the numbers 33, 89 and 20, so 2020",00:01:02.190,00:01:06.090
can be called in one sentence. Because what is,00:01:06.090,00:01:08.549
happening at the moment here in front of our,00:01:08.549,00:01:09.479
eyes at the moment is a scandal and a,00:01:09.479,00:01:12.210
"average catastrophe, if we don't",00:01:12.210,00:01:14.010
hold back those who are organising it,00:01:14.010,00:01:16.700
Whether you can visit your children,00:01:16.700,00:01:19.680
who for my sake are spending some,00:01:19.680,00:01:21.720
"time in Mallorca, Whether your",00:01:21.720,00:01:23.610
"children can go to school,",00:01:23.610,00:01:24.930
Whether they can do their job.,00:01:24.930,00:01:27.930
whether they can approach people,00:01:27.930,00:01:29.040
in public space more than 1.50m,00:01:29.040,00:01:30.990
Whether you wear a mask yes,00:01:30.990,00:01:33.000
or no,00:01:33.000,00:01:33.570
Whether this country is still in lockdown,00:01:33.570,00:01:35.909
yes or no.,00:01:35.909,00:01:36.720
Whether you can fly on holiday yes,00:01:36.720,00:01:38.250
"or no, Whether you can make holidays",00:01:38.250,00:01:40.140
even travelling by car to Austria yes,00:01:40.140,00:01:41.670
"or no, is not decided by you",00:01:41.670,00:01:43.590
"who elected this government,",00:01:43.590,00:01:45.090
It's not you who finance this,00:01:45.090,00:01:46.110
government with your taxes to decide,00:01:46.110,00:01:47.729
It's dictated by Bill and Mellinda Gates,00:01:47.729,00:01:51.200
The so-called Gates foundation.,00:01:51.200,00:01:52.829
These two people have hacked themselves,00:01:52.829,00:01:54.840
into the world's democracies through,00:01:54.840,00:01:57.750
the WHO and currently determine what is,00:01:57.750,00:02:00.119
"called normality. That the new normality,",00:02:00.119,00:02:02.399
"is after all you feeling, that you",00:02:02.399,00:02:04.229
have to walk around with a face mask on.,00:02:04.229,00:02:05.980
That they don't care what you,00:02:05.980,00:02:07.450
think about it. That you have to,00:02:07.450,00:02:09.130
live with an emergency government is all,00:02:09.130,00:02:10.720
due to bill and melinda gates.,00:02:10.720,00:02:12.700
who are these people? Well,00:02:12.700,00:02:15.340
these people belong to this,00:02:15.340,00:02:17.200
american elite  the book is from,00:02:17.200,00:02:18.880
the fifties people who got too,00:02:18.880,00:02:20.740
much money by tax avoidance.,00:02:20.740,00:02:23.320
That is tax avoidance.,00:02:23.320,00:02:24.400
they did not get their money,00:02:24.400,00:02:25.540
from work that is from,00:02:25.540,00:02:27.070
tax avoidance and who in their delusion,00:02:27.070,00:02:29.290
and in their almost religious perception,00:02:29.290,00:02:32.500
to believe that they can make the world a,00:02:32.500,00:02:33.940
better place have bought the,00:02:33.940,00:02:35.640
world health organisation. because the bill and melinda,00:02:35.640,00:02:37.930
gates foundation finances the world health,00:02:37.930,00:02:39.570
organization to over 80% and there it,00:02:39.570,00:02:41.950
determines very hard what health is,00:02:41.950,00:02:44.680
and how it has to be defined.,00:02:44.680,00:02:46.480
and they both have a penchant,00:02:46.480,00:02:48.910
for vaccination. they believe,00:02:48.910,00:02:50.710
the whole world needs to become healthier,00:02:50.710,00:02:52.630
by getting vaccinated and that is,00:02:52.630,00:02:55.000
why they bought the world health organization,00:02:55.000,00:02:57.130
but they also bought gabi the vaccination,00:02:57.130,00:02:58.840
alliance to 75 % determines also there,00:02:58.840,00:03:01.180
what has to be done,00:03:01.180,00:03:02.770
and they also bought our federal government,00:03:02.770,00:03:04.300
they also finance mr. drosten,00:03:04.300,00:03:05.680
they also finance the robert-koch-institut they also,00:03:05.680,00:03:08.170
co-finance them. They have also bought,00:03:08.170,00:03:10.030
the media. They have given,00:03:10.030,00:03:11.770
"two and a half million to the ""Bildzeitung"".",00:03:11.770,00:03:13.330
"They have financed ""ZEIT"" with",00:03:13.330,00:03:15.040
300.000 euro They are the,00:03:15.040,00:03:16.830
big donor to,00:03:16.830,00:03:18.790
john hopkins university,00:03:18.790,00:03:20.860
With 20 million.,00:03:20.860,00:03:21.760
that means that they determine,00:03:21.760,00:03:23.140
"public opinion, especially",00:03:23.140,00:03:24.850
when it comes to how much vaccination,00:03:24.850,00:03:27.130
people need and where should the vaccination,00:03:27.130,00:03:29.489
come from. and is it an offer or an,00:03:29.489,00:03:32.560
obligation. and you have to,00:03:32.560,00:03:34.630
imagine that it's not only europe,00:03:34.630,00:03:37.540
"it's not only asia, but the whole",00:03:37.540,00:03:39.760
world is targeted by the gates.,00:03:39.760,00:03:41.739
bill gates said the other day,00:03:41.739,00:03:43.570
"in the news we - he speaks of himself as we,",00:03:43.570,00:03:46.150
we can only go back to normal,00:03:46.150,00:03:47.590
