text,start,stop
"Bill Gates, welcome to The Daily
Social Distancing Show.",00:00:00.000,00:00:03.337
"(chuckles):
It's great to be on.",00:00:03.337,00:00:05.339
"Let's, uh, jump straight
into the first question",00:00:05.339,00:00:07.641
"that everybody
would want me to ask.",00:00:07.641,00:00:10.210
You delivered a TED Talk,00:00:10.210,00:00:12.679
"where you predicted pretty much
what is happening now.",00:00:12.679,00:00:16.850
"Now, thanks
to the world we live in,",00:00:16.850,00:00:19.419
"that has spouted a bunch
of conspiracy theories,",00:00:19.419,00:00:21.922
"everything from
""Bill Gates invented this virus",00:00:21.922,00:00:24.324
"to prove himself right,""
or ""He knew it was gonna happen,",00:00:24.324,00:00:27.127
"and that's why he said it.""",00:00:27.127,00:00:29.129
"Was that Ted Talk
about this virus,",00:00:29.129,00:00:31.999
"or was that a hypothetical
that has now come true?",00:00:31.999,00:00:35.068
"Well, I didn't know specifically
that it'd be coronavirus",00:00:35.068,00:00:38.572
"and that it would hit
in late 2019.",00:00:38.572,00:00:42.142
"But the goal of the talk
was to encourage governments",00:00:42.142,00:00:46.613
"to make the investments
so we could respond very quickly",00:00:46.613,00:00:50.384
"and keep the case numbers
very, very low.",00:00:50.384,00:00:53.954
"And so sadly,
this is not a case where,",00:00:53.954,00:00:57.057
"you know, I feel like,
""Hey, I told you so,""",00:00:57.057,00:00:59.426
"-Mm-hmm. -uh... it,
because we didn't use that time,",00:00:59.426,00:01:03.430
"when it was clear
as the biggest threat",00:01:03.430,00:01:05.766
"to kill millions of people,",00:01:05.766,00:01:08.201
"to have the diagnostics
standing by,",00:01:08.201,00:01:11.738
"to be ready to ramp up a...
a vaccine factory.",00:01:11.738,00:01:15.542
"A few things were done,
uh, of some countries.",00:01:15.542,00:01:19.012
Our foundation funded some work,00:01:19.012,00:01:21.515
"that will help
with the vaccines now,",00:01:21.515,00:01:23.717
will help with the diagnostics.,00:01:23.717,00:01:25.118
"But, uh, you know,",00:01:25.118,00:01:27.521
"well, most of what
was called for,",00:01:27.521,00:01:30.123
"particularly in a New England
Journal of Medicine article",00:01:30.123,00:01:33.427
"I did that went
into way more specifics",00:01:33.427,00:01:35.862
"than I could
in a short TED Talk,",00:01:35.862,00:01:38.865
"uh, those things
didn't get done,",00:01:38.865,00:01:42.602
"and so that's why
it's taking us a long time",00:01:42.602,00:01:45.539
"to get our act together, uh,
faced with this threat.",00:01:45.539,00:01:48.675
"Here's a question I have, um,
as an individual.",00:01:48.675,00:01:52.546
"How is it that you
as a nongovernment",00:01:52.546,00:01:56.216
"knew this information and knew
that it needed to be act on...",00:01:56.216,00:01:59.486
"acted on, and governments
and organizations",00:01:59.486,00:02:02.656
"that are specifically tasked
with protecting people",00:02:02.656,00:02:05.025
from this very thing,00:02:05.025,00:02:06.593
"either didn't have
the information or ignored it?",00:02:06.593,00:02:08.695
"What-what do you think
happened there?",00:02:08.695,00:02:10.130
"Because I know you interact
with governments.",00:02:10.130,00:02:11.732
"You talk to organizations
like the CDC, like the WHO.",00:02:11.732,00:02:15.702
What went wrong?,00:02:15.702,00:02:17.170
"Well, there are lots
of individuals,",00:02:17.170,00:02:19.039
"uh, who were as worried
as I was.",00:02:19.039,00:02:22.943
"You know, people like Dr. Fauci,",00:02:22.943,00:02:24.745
"who'd been through
various epidemics.",00:02:24.745,00:02:27.781
"And, so, when we had Ebola,",00:02:27.781,00:02:30.917
"Zika, SARS, MERS,",00:02:30.917,00:02:33.553
"we were lucky that they didn't
transmit very easily.",00:02:33.553,00:02:37.524
"They weren't, uh,
these respiratory viruses",00:02:37.524,00:02:40.427
"where somebody
who's not very symptomatic",00:02:40.427,00:02:42.829
"and is still walking around
can spread the disease,",00:02:42.829,00:02:46.033
"in some cases
to literally dozens of people.",00:02:46.033,00:02:48.935
"So the respiratory transmission,",00:02:48.935,00:02:51.805
"particularly because
world travel is so intense,",00:02:51.805,00:02:55.008
"that's where I show
the simulation in that speech",00:02:55.008,00:02:58.979
"and say,
""This keeps me up at night,",00:02:58.979,00:03:01.481
"uh, more than even war,""",00:03:01.481,00:03:04.017
which is no small thing.,00:03:04.017,00:03:06.219
"And yet,
in terms of being systematic",00:03:06.219,00:03:10.057
"about, okay,
let's run a simulation",00:03:10.057,00:03:13.960
"and see how would we reach out
to the private sector",00:03:13.960,00:03:17.697
for tests or ventilators,00:03:17.697,00:03:20.133
"and, uh, what kind of quarantine
would we do?",00:03:20.133,00:03:23.904
"You know, as we enter into this,",00:03:23.904,00:03:26.406
we haven't practiced at all.,00:03:26.406,00:03:28.709
"And so you can see it's,
you know,",00:03:28.709,00:03:31.411
"every state is being forced to
figure things out on their own,",00:03:31.411,00:03:34.614
"-and, uh, it's very ad hoc.
-Mm-hmm.",00:03:34.614,00:03:37.150
It's not like when a war comes,00:03:37.150,00:03:39.352
"and we've done,
you know, 20 simulations",00:03:39.352,00:03:42.355
of various types of threats,00:03:42.355,00:03:44.925
