text,start,stop
"POPPY HARLOW: Zehn Milliarden Dollar. Das bei weitem größte Engagement der Stiftung, nicht wahr, Bill?",00:00:00.000,00:00:10.600
BILL GATES: Richtig. Mit den Impfungen werden über acht Millionen zusätzliche Leben gerettet.,00:00:10.760,00:00:17.980
"Eine der effektivsten Möglichkeiten, die Gesundheit in den ärmsten Ländern dramatisch zu verbessern.",00:00:18.100,00:00:26.180
Im Januar 2010 versprachen Bill und Melinda Gates beim Weltwirtschaftsforum in Davos unglaubliche 10 Mrd. US-Dollar Forschungsgelder.,00:00:27.240,00:00:34.920
Das Geld sollte in die Entwicklung von Impfstoffen für die ärmsten Länder der Welt fließen.,00:00:35.040,00:00:38.160
"Damit wurde das sogenannte ""Jahrzehnt des Impfens"" (Decade Of Vaccines) ausgerufen.",00:00:38.320,00:00:41.680
BILL GATES: Mit der heutigen Zusage für die nächsten 10 Jahre gehen wir in das Jahrzehnt des Impfens.,00:00:42.200,00:00:54.280
Wir werden über 10Mrd US-Dollar im Kontext Impfungen ausgegeben.,00:00:54.280,00:00:58.480
Die Impfkampagne wurde von den Gates Medien gefeiert...,00:00:59.080,00:01:05.160
. . . und von den Pharmaunternehmen begrüßt-,00:01:05.160,00:01:10.440
Das rekordverdächtige Engagement sorgte in der internationalen Gemeinschaft für Aufsehen,00:01:10.480,00:01:13.480
"und trug dazu bei, dass die maßgeblich von Gates finanzierte WHO (Weltgesundheitsorganisation)",00:01:13.760,00:01:17.120
einen globalen Impfaktionsplan koordinierte.,00:01:17.400,00:01:20.120
"Im Gegensatz zur Behauptung von Gates, dass die 10Mrd Dollar ein selbstloser Beitrag zur Rettung",00:01:20.160,00:01:24.120
"von acht Millionen Menschenleben sei, ist die eigentliche Agenda,",00:01:24.120,00:01:28.480
die globale Gesundheitswirtschaft neu auszurichten.,00:01:28.600,00:01:33.000
"Eine Agenda, die letztlich noch höhere Gewinne für die Pharmaindustrie generiert",00:01:33.360,00:01:37.840
"und der Gates Stiftung eine starke Kontrolle des globalen Gesundheitsmarktes einräumt,",00:01:38.040,00:01:42.360
"sowie größere Macht für Bill Gates, um zukünftig die Kontrolle über Milliarden Menschen weltweit zu haben.",00:01:42.520,00:01:47.240
"Das ist Bill Gates Plan, die Welt zu impfen.",00:01:48.080,00:01:51.600
Das ist der Corbett-Report,00:01:52.520,00:01:57.840
"Angesichts der von Gates ausgerufenen Impfdekade ist es kein Wunder, dass seine Überzeugung schon",00:01:59.160,00:02:05.320
"zu Beginn der Coronakrise war, dass sich die Welt erst normalisieren wird, wenn ein Impfstoff entwickelt wurde.",00:02:05.600,00:02:12.160
GATES: Wir werden diese Zeit der Impfstoffentwicklung überstehen müssen.,00:02:12.640,00:02:18.080
"Es wird erst wieder normal werden, wenn wir einen erstaunlichen Impfstoff für die ganze Welt bekommen.",00:02:18.080,00:02:23.760
"Es bleibt kritisch, bis wir einen Impfstoff haben. Bis dahin werden die Dinge nicht wirklich normal sein.",00:02:23.760,00:02:31.280
"Man kann bis zu einem gewissen Grad öffnen, aber das Risiko eines Rückfalls besteht, bis wir eine sehr breite Impfung haben.",00:02:31.280,00:02:38.840
"Es kann erst wieder normal werden, wenn wir entweder diesen phänomenalen Impfstoff oder ein Therapeutikum",00:02:38.840,00:02:46.680
"haben, das zu über 95% wirksam ist. Wir müssen also davon ausgehen, dass dies in fast 18 Monaten sein wird.",00:02:46.680,00:02:54.200
Die Endlösung - die ein oder zwei Jahre entfernt ist - wird der Impfstoff sein.,00:02:54.400,00:03:00.080
Wir müssen an allen drei Fronten auf Hochtouren arbeiten.,00:03:00.120,00:03:03.300
"COLBERT: Um den Verschwörungstheoretikern keine Vorlage zu geben,",00:03:03.300,00:03:06.560
"sollten wir den Impfstoff vielleicht nicht als ""Endlösung"" bezeichnen.",00:03:06.560,00:03:09.160
"GATES: Ja, stimmt.",00:03:09.280,00:03:10.400
"COLBERT: Nennen wir es die beste Lösung, okay?",00:03:10.400,00:03:11.960
GATES: [lacht ],00:03:12.120,00:03:13.000
