text,start,stop
Hello and welcome dear YouTube friends,00:00:15.040,00:00:18.120
Utler is at the start,00:00:18.120,00:00:20.280
You can already see it,00:00:20.655,00:00:23.825
I brought you a new video game which is,00:00:23.825,00:00:26.860
adapts current situation,00:00:27.220,00:00:30.880
it's about a particular,00:00:30.880,00:00:34.160
VIRUS!,00:00:34.160,00:00:35.340
Who is currently making the rounds,00:00:35.340,00:00:36.980
all media are full of information,00:00:36.980,00:00:39.280
but before we get started here in the video,00:00:39.500,00:00:41.320
you still get the warnings,00:00:41.680,00:00:43.580
first you hear the German warning version,00:00:44.620,00:00:50.400
now we can start,00:01:26.080,00:01:30.300
it is a virus strategy simulation,00:01:30.600,00:01:35.020
the game is not new,00:01:35.240,00:01:37.980
it was released in 2012,00:01:38.040,00:01:40.320
on all platforms,00:01:40.320,00:01:42.460
the game celebrates every 3 to 5 years,00:01:42.460,00:01:45.980
when a virus or bacterium in the world affects mankind,00:01:45.980,00:01:50.060
a comeback,00:01:50.060,00:01:52.000
right now we have,00:01:53.000,00:01:55.960
the big Coronavirus,00:01:55.960,00:01:58.940
now we start the game,00:01:58.940,00:02:02.060
here you can see them,00:02:02.820,00:02:04.640
the scientific name of the,00:02:04.680,00:02:06.400
2019-nCoV,00:02:06.440,00:02:10.280
means exactly,00:02:10.460,00:02:11.600
the year 2019 in December,00:02:11.600,00:02:15.300
this is where the virus was first discovered,00:02:15.300,00:02:17.840
the n stands for new,00:02:17.900,00:02:19.560
and the CoV for the CORONAVIRUS,00:02:19.560,00:02:23.040
 ,00:02:24.060,00:02:27.040
 ,00:02:27.045,00:02:30.045
 ,00:02:30.045,00:02:32.835
 ,00:02:32.835,00:02:35.895
 ,00:02:36.045,00:02:38.895
 ,00:02:38.895,00:02:41.495
 ,00:02:42.205,00:02:45.075
 ,00:02:45.075,00:02:48.035
 ,00:02:48.035,00:02:51.045
 ,00:02:51.045,00:02:53.845
 ,00:02:53.845,00:02:56.705
 ,00:02:57.725,00:03:00.005
 ,00:03:00.005,00:03:03.205
 ,00:03:03.205,00:03:05.935
 ,00:03:05.935,00:03:09.075
 ,00:03:09.075,00:03:12.065
 ,00:03:12.065,00:03:14.885
 ,00:03:14.885,00:03:17.675
 ,00:03:17.675,00:03:20.965
 ,00:03:20.965,00:03:23.935
 ,00:03:23.935,00:03:26.865
 ,00:03:26.865,00:03:29.685
 ,00:03:29.685,00:03:32.495
 ,00:03:32.495,00:03:35.525
 ,00:03:35.525,00:03:38.465
 ,00:03:38.465,00:03:41.075
 ,00:03:41.075,00:03:43.095
 ,00:03:43.095,00:03:45.925
 ,00:03:45.925,00:03:48.625
 ,00:03:48.865,00:03:52.015
 ,00:03:52.015,00:03:55.375
 ,00:03:56.625,00:03:59.705
 ,00:03:59.705,00:04:02.295
 ,00:04:02.295,00:04:05.695
 ,00:04:06.155,00:04:09.335
 ,00:04:09.335,00:04:12.255
 ,00:04:12.255,00:04:15.225
 ,00:04:15.225,00:04:18.285
 ,00:04:18.285,00:04:21.165
 ,00:04:21.165,00:04:22.895
 ,00:04:23.295,00:04:26.335
 ,00:04:26.335,00:04:29.375
 ,00:04:29.375,00:04:32.515
 ,00:04:32.615,00:04:35.405
 ,00:04:35.405,00:04:38.405
 ,00:04:38.405,00:04:41.035
 ,00:04:41.035,00:04:44.025
 ,00:04:44.025,00:04:46.935
 ,00:04:46.935,00:04:49.795
 ,00:04:49.795,00:04:52.745
 ,00:04:52.745,00:04:55.485
 ,00:04:55.485,00:04:58.745
 ,00:04:58.745,00:05:00.015
 ,00:05:00.545,00:05:03.525
 ,00:05:03.525,00:05:06.605
 ,00:05:06.605,00:05:09.335
 ,00:05:09.335,00:05:12.685
 ,00:05:12.685,00:05:15.835
 ,00:05:16.295,00:05:19.035
 ,00:05:19.035,00:05:21.965
 ,00:05:21.965,00:05:24.655
 ,00:05:25.045,00:05:27.675
 ,00:05:27.675,00:05:29.485
 ,00:05:29.485,00:05:31.975
 ,00:05:31.975,00:05:35.035
 ,00:05:35.035,00:05:38.125
 ,00:05:38.125,00:05:40.395
 ,00:05:40.395,00:05:43.315
 ,00:05:43.315,00:05:44.355
 ,00:05:44.915,00:05:47.875
 ,00:05:47.875,00:05:50.905
 ,00:05:50.905,00:05:53.955
 ,00:05:53.955,00:05:56.955
 ,00:05:56.955,00:05:59.475
 ,00:05:59.475,00:06:02.065
 ,00:06:02.065,00:06:04.825
 ,00:06:04.825,00:06:06.485
 ,00:06:06.485,00:06:09.295
 ,00:06:09.295,00:06:12.085
 ,00:06:12.085,00:06:15.165
 ,00:06:15.165,00:06:18.215
 ,00:06:18.215,00:06:21.175
 ,00:06:21.175,00:06:24.025
 ,00:06:25.045,00:06:28.105
 ,00:06:28.105,00:06:31.145
 ,00:06:31.145,00:06:34.335
 ,00:06:34.335,00:06:37.095
 ,00:06:37.095,00:06:39.905
 ,00:06:39.905,00:06:42.975
 ,00:06:42.975,00:06:43.975
 ,00:06:44.295,00:06:46.585
 ,00:06:46.585,00:06:49.495
 ,00:06:49.495,00:06:52.495
 ,00:06:52.495,00:06:55.375
 ,00:06:55.375,00:06:57.595
 ,00:06:57.595,00:07:00.145
 ,00:07:00.145,00:07:02.615
 ,00:07:02.615,00:07:05.105
 ,00:07:05.105,00:07:07.725
 ,00:07:07.725,00:07:10.715
 ,00:07:10.715,00:07:13.615
 ,00:07:13.615,00:07:16.655
 ,00:07:16.655,00:07:19.985
 ,00:07:20.075,00:07:23.035
 ,00:07:23.035,00:07:26.025
 ,00:07:26.025,00:07:29.155
 ,00:07:30.605,00:07:33.635
 ,00:07:33.765,00:07:34.815
 ,00:07:35.215,00:07:37.865
 ,00:07:37.865,00:07:40.505
 ,00:07:40.505,00:07:43.015
 ,00:07:43.035,00:07:45.905
 ,00:07:45.905,00:07:47.205
 ,00:07:47.995,00:07:50.755
 ,00:07:50.755,00:07:54.255
 ,00:07:54.345,00:07:56.945
 ,00:07:56.945,00:07:59.325
 ,00:07:59.325,00:08:02.325
 ,00:08:02.325,00:08:05.335
 ,00:08:05.335,00:08:08.635
