text,start,stop
.,00:00:00.000,00:00:00.480
Habt ihr es auch gemerkt?,00:00:00.720,00:00:01.800
"Neben Corona geht
gerade noch ein Virus um.",00:00:01.960,00:00:04.240
"Strange Typen, strange Videos.",00:00:04.800,00:00:06.960
"Wir leben in einer Meinungsdiktatur
sondergleichen.",00:00:06.960,00:00:09.720
"Seuchen-Erfinder können jedes Jahr
eine neue erfinden.",00:00:10.000,00:00:13.800
Das Virus heißt Verschwörung.,00:00:14.040,00:00:15.560
"Und Verharmlosung.
Und es ist genauso ansteckend.",00:00:15.600,00:00:18.640
"Corona ist nichts weiter
als eine neue Test-Seuche.",00:00:19.400,00:00:22.680
"Kein Mensch hat sich infiziert,
kein Mensch ist krank geworden.",00:00:22.920,00:00:25.680
Wie gefährlich sind solche Theorien?,00:00:25.680,00:00:27.800
Wem kann man noch glauben?,00:00:27.800,00:00:29.440
In Zeiten des Ausnahmezustands?,00:00:29.440,00:00:33.160
This is your pilot speaking.,00:00:34.000,00:00:35.840
My name is Oberheinzle.,00:00:35.840,00:00:37.240
Working from home today.,00:00:37.240,00:00:39.080
*Geschrei*,00:00:39.080,00:00:42.160
"Dieser Film heute
ist ein bisschen anders.",00:00:42.160,00:00:44.360
"Der ist nämlich im Home Office
entstanden.",00:00:44.360,00:00:46.520
Genauer gesagt in Quarantäne.,00:00:46.520,00:00:48.960
"Wir, Désirée und Carla,",00:00:48.960,00:00:50.560
"gehen nämlich nicht
mehr vor die Tür.",00:00:50.560,00:00:52.760
"Und es darf uns
auch niemand besuchen.",00:00:52.760,00:00:55.320
Das ist richtig beschissen.,00:00:55.320,00:00:56.920
"Aber für uns gerade
leider überlebensnotwendig.",00:00:56.920,00:00:59.720
"Wir haben beide eine chronisch
entzündliche Darmerkrankung.",00:00:59.720,00:01:02.720
Ich hab Colitis Ulcerosa.,00:01:02.720,00:01:04.800
Ich habe Morbus Crohn.,00:01:04.800,00:01:06.040
"Das macht uns zu sogenannten
Risiko-Patienten.",00:01:06.040,00:01:08.520
"Wenn wir das Corona-Virus bekommen
würden,",00:01:08.520,00:01:10.440
"dann könnte es für uns echt
gefährlich werden.",00:01:10.440,00:01:13.720
"Immerhin, wir haben so eine Menge
Zeit für Recherche.",00:01:13.720,00:01:16.840
Schon seit einem halben Jahr,00:01:17.920,00:01:18.880
"beschäftige ich mich mit
Verschwörungstheorien.",00:01:19.520,00:01:21.720
"Ich stelle jetzt fest, Covid-19 ist
wie eine Droge für die Szene.",00:01:21.720,00:01:24.880
"Man kann wirklich sagen, dass das
Corona-Virus",00:01:26.200,00:01:28.440
"alle Verschwörung-Theoretiker auf
den Plan ruft.",00:01:28.440,00:01:31.560
"Auf YouTube, Twitter, da ist alles
voll mit den wildesten Erklärungen.",00:01:31.560,00:01:36.640
Und Theorien zu Corona.,00:01:36.640,00:01:38.600
"Dieser angebliche Virus,
der aus dem Nichts entstanden ist,",00:01:38.600,00:01:42.160
"wir wissen,
es gibt ja gar keine Zufälle,",00:01:42.160,00:01:45.520
"der momentan nicht nur die Börse
runter krachen lässt,",00:01:45.520,00:01:49.360
"sondern der die ganze Weltwirtschaft
an die Wand fährt,",00:01:49.360,00:01:53.600
"und keiner fragt sich eigentlich,
warum, wer hat ein Interesse daran?",00:01:53.960,00:01:58.600
"Die wollen 8 Milliarden Menschen
umbringen.",00:01:59.440,00:02:02.520
