text,start,stop
"- Hi, everyone, welcome",00:00:06.580,00:00:07.650
"to the Khan Academy Daily
Homeroom, Sal Khan here.",00:00:07.650,00:00:11.720
"Thanks for joining us, we
have a pretty exciting show",00:00:11.720,00:00:15.110
I guess today.,00:00:15.110,00:00:16.280
"For those of you all that
this is the first time",00:00:16.280,00:00:17.930
"you're joining, the whole
idea is in this time",00:00:17.930,00:00:19.630
"of school closures, we at
Khan Academy, we're trying",00:00:19.630,00:00:23.020
"to make sure that you
have the resources needed",00:00:23.020,00:00:24.710
"to keep learning, that you know
how to use those resources,",00:00:24.710,00:00:28.250
"and, that we have ways to
stay connected in times",00:00:28.250,00:00:30.710
of these closures.,00:00:30.710,00:00:31.750
And that's why we're doing this webinars,00:00:31.750,00:00:33.240
and why we're doing these live streams.,00:00:33.240,00:00:35.300
"I do wanna highlight as I
always do in the seminar,",00:00:35.300,00:00:38.380
in these live streams.,00:00:38.380,00:00:39.990
"Khan Academy is a not
for profit with a mission",00:00:39.990,00:00:42.290
of providing a free world class education,00:00:42.290,00:00:44.060
for anyone anywhere.,00:00:44.060,00:00:45.250
And we we're running in a little bit,00:00:45.250,00:00:46.370
"of a deficit even before,
this whole crisis struck",00:00:46.370,00:00:49.300
"but now we're seeing our
traffic is three acts",00:00:49.300,00:00:51.690
"of what it normally is,",00:00:51.690,00:00:52.710
and so any support is super valuable.,00:00:52.710,00:00:55.760
"I wanna give a special thanks
to several corporations",00:00:55.760,00:00:58.640
"that have stepped up in the
last few weeks in record time,",00:00:58.640,00:01:01.530
"Bank of America followed by
AT&amp;T, google.org, and Novartis.",00:01:01.530,00:01:06.100
And many of you have also helped donate,00:01:06.100,00:01:09.240
to help close our gap.,00:01:09.240,00:01:11.350
"And with that, I wanna make sure we have",00:01:11.350,00:01:13.280
"as much time as possible
for our guest today,",00:01:13.280,00:01:15.200
"I'll introduce someone who is
known for many many things,",00:01:15.200,00:01:18.470
"including one of being one
of the longtime supporters",00:01:18.470,00:01:21.350
"of Khan Academy, we have
Bill Gates here today.",00:01:21.350,00:01:25.190
"And, I encourage everyone,
whether you're watching",00:01:25.190,00:01:28.120
"on YouTube, or Facebook
or any other platform,",00:01:28.120,00:01:31.530
"post questions on the message boards,",00:01:31.530,00:01:33.420
"we have team members who
will surface questions",00:01:33.420,00:01:35.360
and I can ask bill those questions over,00:01:35.360,00:01:37.060
the course of our conversation.,00:01:37.060,00:01:39.090
"So Bill, great to see
you, maybe a good place",00:01:39.090,00:01:42.190
"to start is, how is the situation
affecting you personally?",00:01:42.190,00:01:46.990
How's the social distancing?,00:01:46.990,00:01:48.070
"And where are you spending
most of your time?",00:01:48.070,00:01:50.303
"- Well, I think everyone's lives",00:01:51.630,00:01:53.990
are almost completely upended.,00:01:53.990,00:01:56.860
"The normal, things I do,
talking about Polio eradication,",00:01:56.860,00:02:01.860
