text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.240,00:00:02.840
Das Coronavirus-Update.,00:00:04.320,00:00:07.240
"Wir sind wieder da mit einer
neuen Folge unseres Updates.",00:00:09.200,00:00:13.080
"Christian Drosten
hat wieder ausreichend Stimme,",00:00:13.160,00:00:16.800
um ein bisschen zu sprechen.,00:00:16.880,00:00:19.160
"Nachdem er krankheitsbedingt
gestern aussetzen musste.",00:00:19.240,00:00:22.760
Nicht bedingt durch das Coronavirus.,00:00:22.840,00:00:25.440
"Heute ist Donnerstag,
der 2. April 2020.",00:00:25.520,00:00:28.240
Ich bin Korinna Hennig.,00:00:28.320,00:00:30.400
"Wir wollen
über ein Hoffnungsthema sprechen,",00:00:30.480,00:00:33.720
"das den Laien
zugleich oft verzweifeln lässt.",00:00:33.800,00:00:36.880
Ein Impfstoff muss her.,00:00:36.960,00:00:38.680
"Der Verband Forschender
Arzneimittelhersteller",00:00:38.760,00:00:41.880
"zählt weltweit mindestens
60 Impfstoffprojekte zum SARS-CoV-2.",00:00:41.960,00:00:46.240
"Ein bis anderthalb Jahre
ist die Zahl,",00:00:46.320,00:00:48.960
"auf die sich
fast alle geeinigt haben.",00:00:49.040,00:00:51.720
"So lange wird es dauern,
bis ein Impfstoff geprüft ist,",00:00:51.800,00:00:55.880
"und zugelassen, um in großer
Menge produziert zu werden.",00:00:55.960,00:00:59.720
Wie ein Impfstoff funktionieren kann,00:00:59.800,00:01:02.280
"und ob man an der Dauer
nichts ändern kann:",00:01:02.360,00:01:05.480
"Darüber sprechen wir
mit Professor Christian Drosten.",00:01:05.560,00:01:09.640
"Per App zugeschaltet
aus der Berliner Charite.",00:01:09.720,00:01:12.840
"Guten Tag, Herr Drosten.
Guten Tag.",00:01:12.920,00:01:15.440
"Heute hat die Frage einen konkreten
Hintergrund: Wie geht es Ihnen?",00:01:15.520,00:01:20.200
"Ja,
die Stimme kommt langsam wieder,",00:01:20.280,00:01:22.720
"aber man hört noch,
dass es etwas kratzt.",00:01:22.800,00:01:25.720
"Wie ist das bei Ihnen im Institut,
wenn jemand systemrelevant ist,",00:01:25.800,00:01:30.880
dann auch Sie alle in der Forschung.,00:01:30.960,00:01:33.760
Testen Sie sich engmaschig?,00:01:33.840,00:01:36.080
"Wir haben gehört, dass Sie negativ
getestet sind aufs Coronavirus.",00:01:36.160,00:01:40.520
"Es ist in der Charite
wie in anderen Universitäten auch,",00:01:40.600,00:01:44.240
"dass eigentlich
die Forschung stillstehen soll.",00:01:44.320,00:01:47.600
"Aber die Forschung
an dieser Erkrankung,",00:01:47.680,00:01:50.440
"vor allem je näher am Patienten,
umso mehr ist es systemrelevant.",00:01:50.520,00:01:54.920
Wir helfen uns da auch selbst.,00:01:55.000,00:01:57.080
"Das heißt,
hier intern testen wir uns selber.",00:01:57.160,00:02:00.240
"Wir machen jeden Tag
Teste von Mitarbeitern,",00:02:00.320,00:02:03.360
deswegen ist es relativ einfach.,00:02:03.440,00:02:05.760
"Ich bin im Verlauf meiner Erkältung
zweimal getestet worden.",00:02:05.840,00:02:09.760
"Ich hatte irgendwann das Gefühl,
das zieht sich schon lange.",00:02:09.840,00:02:14.200
"Der Test war negativ
in beiden Fällen? Ja.",00:02:14.280,00:02:17.480
"Wir wollen
das Thema Impfstoffe anpacken,",00:02:17.560,00:02:20.440
"das ein schwieriges
und unübersichtliches ist.",00:02:20.520,00:02:23.760
Wir haben eine seltsame Situation.,00:02:23.840,00:02:26.240
"So schnell wie das gegenwärtig geht,",00:02:26.320,00:02:28.800
"ist Impfstoffentwicklung
sonst nie abgelaufen.",00:02:28.880,00:02:32.040
"Aus den USA wurden schon Anfänge
von Tests an Probanden vermeldet.",00:02:32.120,00:02:36.360
"Trotzdem ist das
immer noch zu langsam,",00:02:36.440,00:02:39.160
"weil längere Phasen
der Testung vorgeschrieben sind.",00:02:39.240,00:02:42.840
"Wir brauchen eine Abkürzung
bei der Impfstoffzulassung.",00:02:42.920,00:02:46.600
Was passiert da überhaupt?,00:02:46.680,00:02:48.680
"Worauf zielen
die Impfstoffkandidaten ab?",00:02:48.760,00:02:51.600
Vorher frage ich:,00:02:51.680,00:02:53.120
"An welcher Stelle in dem Prozess
ist so eine Abkürzung denkbar?",00:02:53.200,00:02:58.200
"Diese Abkürzung ist denkbar
und schon längst vorgesehen.",00:02:58.560,00:03:02.480
"Was man machen kann, ist,",00:03:02.560,00:03:04.840
"dass man Vektoren benutzt,
Vakzine-Vektoren, die man kennt.",00:03:04.920,00:03:09.320
"Also Träger sozusagen.
Richtig, genau.",00:03:09.400,00:03:12.000
"Wir sprechen manchmal von Backbone,
das Rückgrat dieses Impfstoffes.",00:03:12.080,00:03:17.160
"Das sind dann häufig
bestimmte Trägerimpfstoffe,",00:03:17.240,00:03:21.360
"eins das gut funktioniert,
ist MVA, Modified-Vaccinia-Ankara.",00:03:21.440,00:03:27.080
"Das ist
eine Vaccinia-Virusvariante.",00:03:27.160,00:03:30.160
"Damit hat man früher
Pockenimpfungen gemacht.",00:03:30.240,00:03:34.000
"Und das ist ein extrem
gut verträglicher Impfstoffträger.",00:03:34.080,00:03:39.080
"In dieses System
kann man Proteine oder Antigene",00:03:39.720,00:03:43.320
aus dem Coronavirus reinklonieren.,00:03:43.400,00:03:46.760
Das kann man im Menschen applizieren,00:03:47.280,00:03:49.920
"und kriegt eine Immunantwort
auf diese Proteine des Coronavirus.",00:03:50.000,00:03:54.640
"Natürlich muss man, wenn so
ein Impfstoff ausprobiert wird,",00:03:54.720,00:03:58.760
"viel in der präklinischen Phase
machen.",00:03:58.840,00:04:01.840
"Also ganz viel ausprobieren,",00:04:01.920,00:04:03.920
"bevor überhaupt der erste Mensch
irgendwann damit behandelt wird.",00:04:04.000,00:04:08.440
"Aber bei diesem Trägersystem, das
gilt auch für andere Trägersysteme,",00:04:08.520,00:04:13.280
"kennt man aus anderen Erkrankungen
ganz viel an Sicherheitsdaten.",00:04:13.360,00:04:17.720
"Für deren Impfstoffe wurden
auch diese Trägersysteme benutzt.",00:04:17.800,00:04:21.880
"Man weiß genau und muss das auch
nicht mehr alles wiederholen,",00:04:21.960,00:04:26.280
"wie zum Beispiel
Versuchstiere darauf reagieren.",00:04:26.360,00:04:29.720
"Wie zum Beispiel auch
die Grundlösung des Impfstoffes",00:04:29.800,00:04:33.400
vertragen wird und so weiter.,00:04:33.480,00:04:35.720
"Ganz viele Dinge,
auch pharmakokinetische Fragen.",00:04:35.800,00:04:39.280
"Wie verteilt sich das im Muskel,
wenn man das in den Muskeln spritzt?",00:04:39.360,00:04:44.400
Diese Dinge sind schon geklärt.,00:04:44.480,00:04:46.680
"Es ist nicht zu erwarten, dass bei
dieser geringfügigen Veränderung",00:04:46.760,00:04:51.680
"eines bekannten Trägersystems bei
der Anpassung auf das andere Virus",00:04:51.760,00:04:56.440
"relevante Unterschiede an diesen
wichtigen Stellen passieren können.",00:04:56.520,00:05:01.600
"Man hat in diesem Fall für das
MERS-Virus Erfahrung bei dem MVA.",00:05:01.680,00:05:06.520
"Und bei anderen Trägervehikeln,
bei anderen Vektoren,",00:05:06.600,00:05:11.400
"hat man auch Erfahrung für
Impfziele für andere Krankheiten.",00:05:11.480,00:05:16.360
"Das sind dann immer nur noch
ganz geringfügige Anpassungen.",00:05:16.440,00:05:20.840
"Ist das das Prinzip, was wir
von der Masernimpfung kennen?",00:05:21.520,00:05:25.440
"Abgeschwächte andere Viren
sind der Träger",00:05:25.520,00:05:28.280
"und werden gentechnisch verkleidet,
sodass man das Protein austauscht?",00:05:28.360,00:05:33.560
