text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.320,00:00:02.720
Das Coronavirus-Update.,00:00:05.320,00:00:07.800
Die Schulen schrittweise öffnen.,00:00:10.480,00:00:12.720
"Das empfiehlt eine Arbeitsgruppe
der Akademie der Wissenschaften,",00:00:12.800,00:00:17.080
der Leopoldina.,00:00:17.160,00:00:18.560
"Die aktuellen Meldezahlen
des Robert Koch-Instituts besagen:",00:00:18.640,00:00:22.520
"Etwa die Hälfte der Menschen,
die sich in Deutschland",00:00:22.600,00:00:26.240
"mit dem Coronavirus infiziert haben,
sind wieder genesen.",00:00:26.320,00:00:30.120
Soweit die guten Nachrichten.,00:00:30.200,00:00:32.320
"Klar ist auch, das Coronavirus
wird uns noch lange begleiten.",00:00:32.400,00:00:36.280
"Modellrechnungen legen nah,
dass die Zahl der Neuinfektionen",00:00:36.360,00:00:40.320
"ohne Maßnahmen
schnell wieder steigen.",00:00:40.400,00:00:42.880
"Willkommen zu unserem Update.
Ich bin Korinna Hennig.",00:00:42.960,00:00:46.320
"Heute ist Dienstag,
der 14. April 2020.",00:00:46.400,00:00:49.160
"Auf der wissenschaftlichen Seite
der Betrachtung des Virus",00:00:49.680,00:00:53.360
"hat es wieder eine Vielzahl
von Veröffentlichungen gegeben.",00:00:53.440,00:00:57.320
"Da geht es um die Frage:
Kann das Virus reaktiviert werden?",00:00:57.400,00:01:01.080
"Dann gab es Diskussionen
über Untersuchungen in Heinsberg",00:01:01.160,00:01:05.040
"zur möglichen Immunität
in der Bevölkerung.",00:01:05.120,00:01:08.160
"Dinge, die wir mit Professor
Christian Drosten besprechen wollen.",00:01:08.240,00:01:12.720
"Guten Tag, Herr Drosten.
Hallo, guten Tag.",00:01:12.800,00:01:15.480
"Die Bundesländer melden
wenig Verstöße gegen die Auflagen.",00:01:15.560,00:01:19.520
"Ich habe subjektiv über Ostern
in Hamburg den Eindruck gehabt,",00:01:19.600,00:01:23.480
"da waren
ordentlich Menschen unterwegs.",00:01:23.560,00:01:26.080
"Auch da, wo man hinfährt, wenn
man sich aus dem Weg gehen will.",00:01:26.160,00:01:30.160
"Wie haben Sie das erlebt in Berlin?
Ganz ähnlich.",00:01:30.240,00:01:33.640
"Ich bin laufen gewesen, da sind
schon viele Leute auf der Straße,",00:01:33.720,00:01:38.600
gerade in Parks natürlich.,00:01:38.680,00:01:40.680
"Man sieht Leute draußen,
aber ich habe auch das Gefühl:",00:01:40.760,00:01:44.600
"Die Leute versuchen,
sich voneinander wegzuhalten,",00:01:44.680,00:01:48.520
"auf Abstand zu gehen und dennoch
die Sonnenstrahlen mitzunehmen.",00:01:48.600,00:01:54.360
"Konnten Sie die auch
mitnehmen mit Ihrer Familie?",00:01:54.440,00:01:58.440
"Na, klar.",00:01:58.520,00:02:00.000
"Beim Stichwort Laufen erreichen uns
viele Fragen von Hörern zum Sport.",00:02:00.840,00:02:05.800
"Wahrscheinlich joggen mehr Menschen,
als sie es sonst tun.",00:02:05.880,00:02:09.720
"Da kursiert eine Warnung,
dass man beim Joggen oder Radfahren",00:02:09.800,00:02:13.800
"lieber fünf oder zehn Meter
Abstand halten sollte.",00:02:13.880,00:02:17.160
"Und nicht hintereinander,
sondern versetzt laufen sollte,",00:02:17.240,00:02:21.000
"weil man heftig ausatmet,
wie schätzen Sie das ein?",00:02:21.080,00:02:26.080
"Ich kenne mich
damit nicht gut genug aus.",00:02:26.920,00:02:29.720
"Ich habe auch
diese Darstellungen gesehen.",00:02:29.800,00:02:32.640
"Da gibt es so Darstellungen
von Partikelwolken,",00:02:32.720,00:02:36.000
"die man ausatmet und wie die
sich dann im Wind verteilen.",00:02:36.080,00:02:39.960
"Aber ich kann dazu
nur ganz wenig sagen.",00:02:40.040,00:02:42.880
"Es ist insgesamt schon so, dass ein
Verdünnungseffekt sich einstellt.",00:02:42.960,00:02:47.600
"Und eine Komponente
von Aerosol-Übertragung,",00:02:47.680,00:02:50.600
"die auch angenommen wird, im Freien
viel weniger eine Rolle spielt.",00:02:50.680,00:02:56.600
"Diese Übertragung funktioniert so,",00:02:56.680,00:02:59.520
"dass kleinste Tröpfchen
abgegeben werden.",00:02:59.600,00:03:03.360
"Die trocknen sofort in der Luft ein
und werden noch kleiner,",00:03:03.440,00:03:08.160
"und stehen dann in der Luft,
wenn sich diese Luft nicht bewegt.",00:03:08.240,00:03:12.520
"Das haben wir
draußen deutlich weniger.",00:03:12.600,00:03:15.920
"Jetzt weiß aber niemand genau,
wie stark der Anteil ist,",00:03:16.000,00:03:19.400
"der Aerosol-Übertragung gegenüber
der Tröpfchen-Übertragung.",00:03:19.480,00:03:23.320
"Halten Sie selber sich beim Joggen
weiter entfernt von den Menschen?",00:03:23.400,00:03:29.320
"Ja, ich habe wie jeder
andere auch meine Reflexe.",00:03:29.400,00:03:33.560
Natürlich versuche ich das,00:03:33.640,00:03:35.960
"und laufe nicht unbedingt
in den ganz dicht gedrängten Parks.",00:03:36.040,00:03:41.120
"Sondern auf den ehemaligen
Renommiermeilen von Ostberlin,",00:03:41.200,00:03:46.320
"wo es auch interessante Dinge
zu sehen gibt, wenn man da joggt.",00:03:46.400,00:03:51.560
Das sind breite Straßen.,00:03:51.640,00:03:53.680
"Es sind
einige Schlagzeilen aufgelaufen,",00:03:54.240,00:03:57.440
"denen wir uns wissenschaftlich
nähern können.",00:03:57.520,00:04:00.600
"Viele Schlagzeilen drehten sich
um die ""Heinsberg-Studie"".",00:04:00.680,00:04:04.800
"Die korrekter mit der Überschrift
""Gangelt"" bezeichnet werden müsste.",00:04:04.880,00:04:09.520
"Da geht es um Befragungen
und Untersuchungen,",00:04:09.600,00:04:12.560
"die in der betroffenen Gemeinde
Gangelt gemacht wurden.",00:04:12.640,00:04:16.320
Die hat rund 12.000 Einwohner.,00:04:16.400,00:04:18.520
"Die Forschergruppe hat Befragungen
gemacht und Antikörpertests",00:04:18.600,00:04:22.680
und die Ergebnisse präsentiert.,00:04:22.760,00:04:24.880
"Sie sind dazu befragt worden
und haben gesagt:",00:04:24.960,00:04:28.120
"Da kann man nicht viel sagen, man
muss da viel mehr darüber wissen,",00:04:28.200,00:04:32.480
"bevor man
Allgemeingültiges ableiten könnte.",00:04:32.560,00:04:35.440
Welche Fragen sind offengeblieben?,00:04:35.520,00:04:37.920
"Es wurde viel in der Öffentlichkeit
darüber kommuniziert,",00:04:38.000,00:04:41.880
"über die Studie, was sie sagen will.",00:04:41.960,00:04:44.760
"Also dass man Fakten schaffen will,",00:04:44.840,00:04:47.480
"um Politikentscheidungen
zu ermöglichen.",00:04:47.560,00:04:50.360
"Es ist schwierig zu sagen, was
aus einer Studie rausgekommen ist,",00:04:50.440,00:04:55.480
wenn man nur die Endergebnisse hat.,00:04:55.560,00:04:58.200
"Es ist
im Wissenschaftsbetrieb üblich,",00:04:58.280,00:05:02.080
dass sich Meinungen bilden dadurch:,00:05:02.160,00:05:05.080
"Der Studienansatz und all das,
was man methodisch gemacht hat,",00:05:05.160,00:05:09.760
wird erklärt in Form von einem Text.,00:05:09.840,00:05:13.200
"Da gibt es bestimmte Konventionen,
wie man solche Texte schreibt,",00:05:13.280,00:05:17.520
"was reingehört und nicht, wie die
Gründlichkeit der Darstellung ist.",00:05:17.600,00:05:23.000
"Es gibt aber jetzt
in dieser dringlichen Zeit,",00:05:23.080,00:05:26.160
"wo alles schnell gehen muss,
auch Wege, um das abzukürzen.",00:05:26.240,00:05:30.440
"Man kann ein wissenschaftliches
Manuskript schon mal schreiben,",00:05:30.520,00:05:34.880
"bevor das
überhaupt begutachtet wurde.",00:05:34.960,00:05:37.720
"Man kann es einer größeren
Wissenschaftsgemeinschaft",00:05:37.800,00:05:41.320
"zur Diskussion stellen,
indem man das vorveröffentlicht.",00:05:41.400,00:05:45.120
"Da gibt es Web-Ressourcen dafür,
Vorveröffentlichungsserver,",00:05:45.200,00:05:49.320
"aber man kann das auch
auf der eigenen Homepage machen.",00:05:49.400,00:05:53.040
"Man kann gewisse Kurzformen wählen
und das wäre gut,",00:05:53.120,00:05:56.600
"wenn wir so etwas sehen würden
über diese Studie.",00:05:56.680,00:06:00.200
"Nachdem diese Studie so stark
öffentlich kommuniziert wurde",00:06:00.280,00:06:04.400
"und in der Nähe von politischen
Entscheidungen kommuniziert wurde.",00:06:04.480,00:06:10.280
"Insgesamt ist es so,",00:06:10.360,00:06:12.000
"dass das nicht die einzige Studie
ist zu diesem Thema.",00:06:12.080,00:06:15.760
"Also zu einem der Hauptthemen
zumindest, zu der Frage:",00:06:15.840,00:06:19.440
Wie hoch ist die Dunkelziffer?,00:06:19.520,00:06:21.760
Wie ist in Wirklichkeit,00:06:21.840,00:06:23.480
"die Infektionshäufigkeit
in der Bevölkerung?",00:06:23.560,00:06:26.560
"Da gibt es in Deutschland
eine Reihe von Studien,",00:06:26.640,00:06:29.920
"von denen ich weiß,
die unterwegs sind.",00:06:30.000,00:06:32.600
"Die aber nicht so in der
Öffentlichkeit angekündigt wurden,",00:06:32.680,00:06:36.680
"die irgendwann
erste Daten haben werden.",00:06:36.760,00:06:39.440
"Dann wird man
überhaupt erst davon erfahren.",00:06:39.520,00:06:43.120
"Bevor wir
auf diese Antikörperfrage kommen,",00:06:43.200,00:06:46.120
"regionale Studienansätze
sind gewollt.",00:06:46.200,00:06:49.200
"Wenn man sich
die Sterblichkeitsquote anguckt,",00:06:49.280,00:06:53.160
"also Sterblichkeit bezogen
auf die Zahl der Infektionen.",00:06:53.240,00:06:57.960
Die Wissenschaft nennt das Letalität.,00:06:58.040,00:07:00.640
"Kann man die allgemein übertragen
aus so regionalen Studien?",00:07:00.720,00:07:05.560
"Diese Zahlen sind sehr stark lokal,",00:07:07.560,00:07:10.080
"sogar zwischen
Ländern unterschiedlich.",00:07:10.160,00:07:13.640
Das liegt daran:,00:07:13.720,00:07:15.160
"Man hat unterschiedliche
Untersuchungsansätze,",00:07:15.240,00:07:18.360
"macht unterschiedliche Zahl
von PCR-Testen.",00:07:18.440,00:07:21.440
