text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.200,00:00:02.840
"Die Entscheidung ist gefallen,
die Schulen bleiben geschlossen,",00:00:10.320,00:00:14.560
"sollen aber in zweieinhalb Wochen
schrittweise geöffnet werden.",00:00:14.640,00:00:18.880
"Im Handel gibt es Lockerungen,",00:00:18.960,00:00:21.280
"Abstand halten und Kontakte
runterfahren gilt weiterhin.",00:00:21.360,00:00:25.440
"Willkommen zur 32. Folge
unseres Updates.",00:00:25.520,00:00:28.920
"Mein Name ist Korinna Hennig
und heute ist der 16. April 2020.",00:00:29.000,00:00:33.600
"Es ist anders geworden als das,
was die Leopoldina,",00:00:33.680,00:00:37.040
"die Nationale Akademie der
Wissenschaften, empfohlen hatte.",00:00:37.120,00:00:41.040
"Da war noch eine Maskenpflicht
in der Diskussion.",00:00:41.120,00:00:44.400
"Daraus ist eine Empfehlung
fürs Maskentragen beim Einkaufen",00:00:44.480,00:00:48.360
"und im Nahverkehr geworden,
auf freiwilliger Basis.",00:00:48.440,00:00:51.840
"Darüber möchte ich mit Professor
Christian Drosten sprechen,",00:00:51.920,00:00:56.800
"dem Leiter der Virologie
an der Berliner Charite.",00:00:56.880,00:01:00.400
"Hallo, Herr Drosten. Hallo.",00:01:00.480,00:01:02.320
"Die Entscheidung der Regierungschefs
von Bund und Ländern",00:01:02.400,00:01:06.120
"zur Fortsetzung oder Lockerung
der Maßnahmen ist rein politisch.",00:01:06.200,00:01:10.920
"Güter müssen abgewogen werden,",00:01:11.000,00:01:13.320
"die im Wirkungsbereich
eines Virologen liegen.",00:01:13.400,00:01:17.400
"Trotzdem, es braucht
Berater aus allen Bereichen.",00:01:17.520,00:01:21.200
"Waren Sie eingebunden auf dem Weg
zu diesen Entscheidungen?",00:01:21.280,00:01:25.640
"Nein, ich bin nicht mehr
in die Politikberatung eingebunden,",00:01:25.720,00:01:29.720
schon seit Wochen nicht mehr.,00:01:29.800,00:01:32.080
"Das wird in der Zeitung
anders dargestellt,",00:01:32.160,00:01:35.160
aber so ist es nicht.,00:01:35.240,00:01:36.920
"Es ist so, dass dieser Podcast in
Ministerialabteilungen gehört wird.",00:01:37.000,00:01:42.600
"Da werden sicherlich
auch Informationen abgeleitet.",00:01:42.680,00:01:46.120
"Es ist eine Situation entstanden,
in der viele Wissenschaftler",00:01:46.240,00:01:50.760
"aus unterschiedlichen Disziplinen
die Politik beraten.",00:01:50.840,00:01:54.800
Und so soll das ja auch sein.,00:01:54.880,00:01:56.960
"Die Politik hat entschieden,",00:01:57.040,00:01:59.040
"dass Schulen in zweieinhalb Wochen
schrittweise wieder öffnen sollen.",00:01:59.120,00:02:03.840
"Und dass es im Einzelhandel
mehr Lockerungen gibt.",00:02:03.920,00:02:07.400
"Aber keine Maskenpflicht.
Überrascht Sie das?",00:02:07.480,00:02:10.880
"Ich kann zu diesen Einzelmaßnahmen
praktisch nichts sagen.",00:02:11.320,00:02:16.000
"Das ist nicht etwas,
wo ich Fachkompetenz habe.",00:02:16.080,00:02:20.080
"Ich glaube, dass man da
bestimme Zahlenwerte hat",00:02:20.160,00:02:23.680
