text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.320,00:00:02.720
"Mehr als drei Viertel der Menschen
halten sich mehr oder weniger",00:00:11.200,00:00:15.680
"an die Kontaktsperre und verzichten
auf private Treffen mit anderen.",00:00:15.760,00:00:20.320
"Das ist das Ergebnis
einer Querschnittsumfrage,",00:00:20.400,00:00:23.520
"die seit März
jede Woche durchgeführt wird.",00:00:23.600,00:00:26.400
"In Zusammenarbeit
mit dem Robert Koch-Institut",00:00:26.480,00:00:29.440
"und der Bundeszentrale
für Gesundheitliche Aufklärung.",00:00:29.520,00:00:32.920
"Rund 1000 Menschen
wurden da befragt.",00:00:33.000,00:00:35.520
"Heute ist Montag, der 20. April.",00:00:35.600,00:00:37.840
"Wir starten in eine neue Woche
mit unserem Update.",00:00:37.920,00:00:41.200
"Eine Woche, die Änderungen im
öffentlichen Leben mit sich bringt.",00:00:41.280,00:00:45.520
"Mehr Geschäfte
dürfen wieder aufmachen.",00:00:45.600,00:00:48.240
"Wenn es nach Regierungschefs geht,
sollen wir, wenn wir da reingehen,",00:00:48.320,00:00:52.720
"Mund-Nase-Masken
oder Tücher vor dem Gesicht tragen.",00:00:52.800,00:00:56.240
"Das machen bisher laut Umfrage
knapp ein Viertel der Menschen.",00:00:56.320,00:01:00.600
"Damit starren wir aber
auch neu auf die Zahlen.",00:01:00.680,00:01:03.800
"Darauf, was die Lockerung mit sich
bringen wird an Übertragungen.",00:01:03.880,00:01:08.680
Ich bin Korinna Hennig.,00:01:08.760,00:01:10.480
"Darüber, was die Wissenschaft zu
Herdenimmunität, Rolle von Kindern,",00:01:10.560,00:01:15.880
"Infizierten ohne Symptome raufindet,
spreche ich mit Christian Drosten.",00:01:15.960,00:01:22.200
"Dem Leiter der Virologie
an der Charite.",00:01:22.280,00:01:25.560
"Hallo, Herr Drosten.
Schöne Grüße zum Wochenstart.",00:01:25.640,00:01:28.840
Hallo.,00:01:28.920,00:01:30.320
"Wir haben darüber gesprochen,
dass sich das Virus",00:01:30.400,00:01:33.640
"unter der Decke der Maßnahmen
trotzdem weiter ausbreiten wird.",00:01:33.720,00:01:37.840
"Der Reproduktionswert
liegt mehr oder weniger um eins,",00:01:37.920,00:01:41.520
"ein Infizierter
steckt im Schnitt einen weiteren an.",00:01:41.600,00:01:45.040
"Man vermutet, dass dieser Wert
mit einer Lockerung wieder ansteigt.",00:01:45.120,00:01:49.520
"Haben Sie Sorge,",00:01:49.600,00:01:51.080
"dass viele wieder sorgloser
mit dieser Ansteckungsfrage umgehen?",00:01:51.160,00:01:56.080
"Ja, ich mache mir da
ein bisschen Sorgen darüber.",00:01:56.160,00:01:59.360
"Natürlich geht die Politik
nicht davon aus,",00:01:59.440,00:02:02.640
"dass der R-Wert
wieder über eins ansteigt.",00:02:02.720,00:02:06.000
"Der Eindruck,
der in der Politik besteht, ist,",00:02:06.080,00:02:10.080
"dass das jetzt schon alles
sehr erfolgreich war.",00:02:10.160,00:02:13.560
"Das stimmt
anhand der reinen Zahlen.",00:02:13.640,00:02:16.160
"Wenn man Rechnungen anstellt,
muss man zu dem Schluss kommen,",00:02:16.240,00:02:20.920
"dass die Wirtschaft
wiederbelebt werden muss.",00:02:21.000,00:02:25.040
"Denn man ist nun mal unter eins,
man hat gesehen,",00:02:27.400,00:02:30.800
"dass mit den bisherigen Maßnahmen
da einiges zu schaffen war.",00:02:30.880,00:02:35.040
"Jetzt muss die Maßnahmen im Detail
anschauen und nachkorrigieren.",00:02:35.120,00:02:39.640
"Und an Stellen,
wo man sich es leisten kann,",00:02:39.720,00:02:42.680
wieder mehr Freiheit geben.,00:02:42.760,00:02:44.760
"Das ist
eine naheliegende Überlegung,",00:02:44.840,00:02:47.360
die ich teile vom Grundsatz her.,00:02:47.440,00:02:50.080
"Die Frage, die man stellen muss,
abgesehen von Modellrechnungen:",00:02:50.160,00:02:55.760
Was könnte man vergessen?,00:02:55.840,00:02:58.160
"Das ist die Frage, die man sich
stellen muss als Wissenschaftler.",00:02:58.240,00:03:02.560
"Aber in diesen Tagen
auch als Entscheidungsträger,",00:03:02.640,00:03:06.040
nicht nur in der Politik.,00:03:06.120,00:03:08.000
"Sondern auch als Verantwortlicher
in Krankenhäusern,",00:03:08.080,00:03:11.520
"großen Wirtschaftsbetrieben
oder ganzen Zweigen und Verbänden.",00:03:11.600,00:03:15.680
"In Strukturen, wo Entscheidungen
und Meinungen relevant sind",00:03:15.760,00:03:20.040
"und gebildet werden müssen, muss
man kritisch die Frage stellen:",00:03:20.120,00:03:24.920
"Können wir was übersehen haben?
Und wenn ja, was könnte das sein?",00:03:25.000,00:03:29.200
"Da gibt es einige Dinge,
an die man denken kann.",00:03:29.280,00:03:32.520
"Einen Punkt hatte ich
letzte Woche angesprochen.",00:03:32.600,00:03:35.720
"Das ist diese Idee, dass sich
die Erkrankung unter der Decke",00:03:35.800,00:03:39.760
"der Maßnahmen weiterverbreitet,
ohne dass man das merkt.",00:03:39.840,00:03:43.640
"Die Frage ist: Was heißt das,
diese Weiterverbreitung?",00:03:43.720,00:03:47.440
Das sind diffusive Prozesse.,00:03:47.520,00:03:51.000
"Wenn Sie irgendwo etwas starten
örtlich oder räumlich,",00:03:51.080,00:03:56.200
"verteilt sich das von selbst,
wir haben Konzentrationsgradienten.",00:03:57.440,00:04:02.400
"Irgendwo
ist eine Konzentration hoch",00:04:02.480,00:04:05.000
"und irgendwo anders
ist die Konzentration niedrig.",00:04:05.080,00:04:08.640
"Durch Vorgänge im Hintergrund, die
schlechter zu kontrollieren sind,",00:04:08.720,00:04:14.120
"gleichen sich
bestimmte Konzentrationen an.",00:04:14.200,00:04:18.240
"Das ist,
was man unter Diffusion versteht.",00:04:18.320,00:04:22.360
"Konzentration der Infektionszahlen,
meinen Sie?",00:04:23.000,00:04:26.520
"Ja, genau.",00:04:26.600,00:04:28.080
"Auf das Beispiel
auf die Infektion übertragen,",00:04:28.160,00:04:31.280
würde das das bedeuten.,00:04:31.360,00:04:33.200
Mal zum Beispiel gesagt:,00:04:33.280,00:04:35.080
"Da kommt jemand aus dem Skiurlaub
zurück und in dem Ort, wo er ist,",00:04:35.160,00:04:39.600
"oder in der Nachbarschaft
geht eine Infektionskette los.",00:04:39.680,00:04:43.880
"Aber in anderen Teilen der Stadt,",00:04:43.960,00:04:46.320
"wo kein Skifahrer
zurückgekommen ist, eben nicht.",00:04:46.400,00:04:49.640
"Das ist diese Anfangssituation
der Einsaat von Infektionsketten,",00:04:49.720,00:04:53.880
"die wir in Deutschland hatten
in der Zeit Anfang März.",00:04:53.960,00:04:58.400
"Relativ bald kamen wir zu einer
Situation, wo wir Maßnahmen",00:04:58.480,00:05:03.840
"der Kontaktminimierung
eingeführt haben in Deutschland.",00:05:04.440,00:05:08.840
"Diese Situation, diese örtlich
heterogene Konzentration von Fällen",00:05:09.800,00:05:16.160
"ist dadurch ein Stück weit
eingefroren worden.",00:05:16.240,00:05:20.240
"Sodass an bestimmten Orten
viel Virus war",00:05:20.920,00:05:23.960
und an anderen Orten nicht.,00:05:24.040,00:05:26.160
"Aber wir nehmen für Deutschland
die Summe über alles.",00:05:26.240,00:05:29.720
"Diese lokale Verteilung
ist bis heute erhalten.",00:05:29.800,00:05:33.680
"Wir sehen das an der Verteilung
auf der Deutschlandkarte.",00:05:33.760,00:05:37.680
"Wir sehen das daran, dass
einige Landkreise dunkelrot sind",00:05:37.760,00:05:41.760
"und andere nur blau, wenn wir
akut Inzidenzziffern anschauen.",00:05:41.840,00:05:45.840
Aber die ist nur zum Teil erhalten.,00:05:45.920,00:05:48.400
"Wir sehen auffällige Auswüchse
dieser anfänglichen Einschleppungen",00:05:48.480,00:05:52.760
"als heterogenes Muster
auf der Karte.",00:05:52.840,00:05:55.400
"Aber was wir nicht erkennen, ist,
dass im Hintergrund des Phänomens",00:05:55.480,00:05:59.800
"unerkannt auch einzelne Fälle
verschleppt wurden.",00:05:59.880,00:06:03.280
"Zum Beispiel dadurch,
dass jemand eben doch gereist ist.",00:06:03.360,00:06:07.080
"Zum Beispiel dadurch, dass
bestimmte Besuche gemacht wurden.",00:06:07.160,00:06:11.200
"Dadurch, dass bestimmte Treffen
zwischen Menschen",00:06:11.280,00:06:14.480
"unter einer gewissen
Ausnahmeregelung gelaufen sind.",00:06:14.560,00:06:18.080
"Man hat gedacht,
das ist so wichtig,",00:06:18.160,00:06:20.600
dass wir eine Ausnahme machen.,00:06:20.680,00:06:22.840
"Das ist bis heute noch
nicht als großer Zusatzausbruch",00:06:22.920,00:06:26.720
"in Erscheinung getreten, weil so
viel Zeit noch nicht vergangen ist.",00:06:26.800,00:06:31.600
"Das ist ein Diffusionsphänomen,
das örtliche.",00:06:31.680,00:06:34.680
"Ein altersmäßiges
Diffusionsphänomen",00:06:34.760,00:06:37.160
will ich noch beschreiben.,00:06:37.240,00:06:39.200
"Das sehen wir schon
in den Auswirkungen.",00:06:39.280,00:06:42.240
"Am Anfang wurde viel eingetragen
in einer mittelalten",00:06:42.320,00:06:46.000
"Erwachsenenbevölkerung,
Skifahrer und Karnevalsfeierer.",00:06:46.080,00:06:50.600
"Die haben ein sehr
ähnliches Altersprofil übrigens.",00:06:50.680,00:06:54.200
"Das sind Erwachsene,
die zwischen 25 und 45 Jahren sind,",00:06:54.280,00:06:59.960
"die voll im Leben stehen und
die gerne feiern und Sport machen.",00:07:00.040,00:07:04.040
"Die haben Freunde
in demselben Alter.",00:07:04.120,00:07:06.680
"In dieser Alterskohorte
wurde das zunächst eingetragen.",00:07:06.760,00:07:10.360
"Das ist eine Altersverteilung,",00:07:10.440,00:07:12.560
"die in Norditalien
anders ausgesehen hat.",00:07:12.640,00:07:15.560
"Dort haben wir eine
starke Altershäufung bei Älteren,",00:07:15.640,00:07:19.200
auch durch Eintragungseffekte.,00:07:19.280,00:07:21.640
"Ich glaube, dass dort die Kinder
und die Familienstrukturen",00:07:21.720,00:07:25.720
"eine Rolle spielen,
die sind bei uns anders.",00:07:25.800,00:07:29.080
"Wir haben nicht
so viel Oma und Opa mit im Haus",00:07:29.160,00:07:32.280
"und wir haben
nicht so viele Kinder.",00:07:32.360,00:07:34.840
"Wir haben diese sehr Mittelalte
anfängliche Eintragung.",00:07:34.920,00:07:38.840
"Wir dürfen aber nicht
die Augen davor verschließen,",00:07:38.920,00:07:42.240
"dass mit der Zeit auch hier
Diffusionseffekte stattfinden.",00:07:42.320,00:07:46.160
"Ich meine nicht die losgehenden
Ausbrüche in Altersheimen,",00:07:46.240,00:07:50.040
die zusätzlich dazukommen.,00:07:50.120,00:07:52.120
"Das sind Einschleppungen in
Altersheime, ein Spezialphänomen.",00:07:52.200,00:07:56.240
"Sondern ich meine
das langsame Weiterverbreiten",00:07:56.320,00:07:59.440
"in ältere Altersgruppen
über die Zeit.",00:07:59.520,00:08:02.280
"Das haben wir im Moment
noch nicht so genau bemerkt:",00:08:02.360,00:08:05.960
"Dass Infektionsketten doch
unter 70- oder 65-Jährigen laufen,",00:08:06.040,00:08:10.800
"weil doch man sich im Freundeskreis
hier und da weiter trifft.",00:08:14.520,00:08:19.440
"Und weil doch hier und da
mal Oma und Opa besucht werden.",00:08:19.520,00:08:24.080
"Und weil asymptomatische Infizierte
auch eine große Rolle spielen dabei.",00:08:24.160,00:08:30.000
"Weil Asymptomatische
eine große Rolle spielen, genau.",00:08:30.080,00:08:33.520
Man merkt das nicht.,00:08:33.600,00:08:35.200
"Und man merkt auch im Moment
noch nicht die Auswüchse",00:08:35.280,00:08:38.800
"aus diesen Eintragungen an andere
Orte und in andere Altersgruppen.",00:08:38.880,00:08:43.240
"Das ist etwas, das man
in den nackten Zahlen nicht sieht.",00:08:43.320,00:08:47.040
"Also in der Auffassung,
die R, die momentane Rate,",00:08:47.120,00:08:50.440
"die ist jetzt unter eins,
das stimmt schon.",00:08:50.520,00:08:54.120
"Aber man sieht
nicht diese Hintergrundeffekte.",00:08:55.040,00:08:59.280
"Das führt dann dazu, wenn R
wieder über eins kommen sollte,",00:08:59.360,00:09:04.880
"dass die Epidemie in nicht
erwarteter Wucht wieder losgeht.",00:09:06.880,00:09:12.920
Wegen der örtlichen Verteilung.,00:09:14.880,00:09:17.440
"Dass plötzlich
der Eindruck entsteht,",00:09:17.520,00:09:20.040
"wir nehmen Maßnahmen zurück,
überall geht das Leben wieder los.",00:09:20.120,00:09:24.920
"Und auf einmal hat man
eine Wucht einer Infektionswelle",00:09:25.000,00:09:28.680
"innerhalb von einem Monat,
die man nicht erwartet hatte.",00:09:28.760,00:09:32.440
"Hinter der stehen
auch wieder neue Todesfälle.",00:09:32.520,00:09:35.560
"Die belasten
die Intensivstation in einer Art,",00:09:35.640,00:09:38.640
"wie man sie im Moment
nicht rechnet, wenn man sagt:",00:09:38.720,00:09:42.000
"Die Intensivstationen
sind nur halb voll",00:09:42.080,00:09:44.800
"und in München
wird es wieder weniger.",00:09:44.880,00:09:47.400
"Übrigens, in der Charite
wird es nicht weniger.",00:09:47.480,00:09:50.680
"Wir hatten nie eine Situation von
einer hohen Übertragung in Berlin,",00:09:50.760,00:09:55.200
"trotzdem wird die Intensivstation
der Charite immer voller.",00:09:55.280,00:09:59.520
Immer ein paar Patienten dazu.,00:09:59.600,00:10:01.800
"Das ist ein Effekt,
der mich sorgenvoll stimmt.",00:10:01.880,00:10:06.280
Dazu kommt noch der andere Effekt:,00:10:06.360,00:10:09.160
"Personen, die überall auftauchen
werden als Neuinfizierte,",00:10:09.840,00:10:14.720
sind nicht mehr der 35-Jährige.,00:10:16.400,00:10:19.240
"Sondern plötzlich der 70-Jährige
und dessen Sozialkontakte,",00:10:19.320,00:10:23.440
"die auch
in dieser Altersgruppe sind.",00:10:23.520,00:10:26.240
"Der Kegelverein und so weiter,",00:10:26.320,00:10:28.560
"wo unbemerkte Infektionen
eingetragen worden sind.",00:10:28.640,00:10:32.680
"Das möchte ich zu bedenken geben,
dass es hier Effekte geben wird,",00:10:33.360,00:10:38.040
"ich sage auch ganz bewusst wird,
denn ich erwarte das.",00:10:38.120,00:10:41.880
"Ich möchte nicht vorsichtig
akademisch spekulieren,",00:10:41.960,00:10:45.520
"sondern ich erwarte,
dass es zu diesen Effekten kommt.",00:10:45.600,00:10:49.240
"Das ist sind Diffusionseffekte,
die fast zwangsläufig sind.",00:10:49.320,00:10:53.160
"Dass wir plötzlich Neubewertungen
unserer Erfahrung machen müssen",00:10:53.240,00:10:57.400
"und vielleicht keine Zeit mehr
für diese Neubewertung haben.",00:10:57.480,00:11:01.360
"Wir müssen stärker
in andere Länder schauen",00:11:01.440,00:11:04.280
"und auf Experten
aus dem Ausland hören.",00:11:04.360,00:11:07.080
"Meine Infos beziehe ich wenig
aus deutschen Fernsehprogrammen",00:11:07.160,00:11:11.320
"und nur begrenzt
aus deutschen Zeitungen.",00:11:11.400,00:11:14.360
"Ich lese deutsche Zeitungen, die
Wissenschaftsjournalismus haben.",00:11:14.440,00:11:18.680
Das finde ich interessant.,00:11:18.760,00:11:20.600
Aber ich lese viel aus dem Ausland.,00:11:20.680,00:11:23.000
Ich lese wissenschaftliche Artikel.,00:11:23.080,00:11:25.520
"Ich lese über die Meinungen
von amerikanischen, englischen",00:11:25.600,00:11:29.360
"und Hongkonger Experten
zu diesem Thema.",00:11:29.440,00:11:32.200
"Daraus formiert sich die
Auffassung, die mich beschleicht.",00:11:32.280,00:11:36.440
"Sie sind
als Referenzlabor international",00:11:36.520,00:11:39.360
"für dieses Coronavirus wichtig
in der Charite.",00:11:39.440,00:11:43.400
"Wie gut ist Ihr Kontakt
in Länder wie Schweden?",00:11:43.480,00:11:46.800
"Da fragen unsere Hörer:
Was ist da los?",00:11:46.880,00:11:49.640
"Die Todesrate
wird immer höher in Schweden.",00:11:49.720,00:11:52.560
"Gleichzeitig wird es
hochgehalten als das Land,",00:11:52.640,00:11:55.800
"in dem man das so laufen lässt
und das geht auch.",00:11:55.880,00:11:59.120
"Speziell nach Schweden
habe ich keinen laufenden Kontakt.",00:11:59.200,00:12:03.120
"Aber die Auffassung,
die sich durchsetzt, ist,",00:12:03.200,00:12:06.160
"dass wir dort eine Verstärkung
der Maßnahmen sehen werden.",00:12:06.240,00:12:10.400
"Ich kenne zum Teil
die Personen persönlich,",00:12:11.480,00:12:14.320
"die das entschieden haben
in Schweden.",00:12:14.400,00:12:17.040
Ich halte viel von denen fachlich.,00:12:17.120,00:12:19.440
"Wenn ich mir anschaue,
was dort passiert,",00:12:19.520,00:12:22.280
"ist das
eine künstliche Kontrastierung.",00:12:22.360,00:12:25.080
"Schweden hat das von vornherein
nicht formal eingeführt.",00:12:25.160,00:12:30.040
"Aber durch Aufklärung und
Kooperationen der Bevölkerung",00:12:31.280,00:12:35.960
hat man erreicht:,00:12:36.040,00:12:38.760
"Kleine Verhaltensänderungen über
ein Nachdenken der Bevölkerung",00:12:39.480,00:12:44.840
haben sich eingestellt.,00:12:44.920,00:12:47.000
"Das ist vielleicht dasselbe,
was wir in Deutschland haben.",00:12:47.080,00:12:50.920
"Dadurch, dass über diese Zeit
der Kontaktbeschränkungen",00:12:51.000,00:12:54.520
"bei vielen in Deutschland
ein Lerneffekt eingetreten ist.",00:12:54.600,00:12:58.360
"Und viele mehr
darüber nachgedacht haben.",00:12:58.440,00:13:01.200
"Dass wir aber auch
ein paar Maßnahmen lockern.",00:13:01.280,00:13:04.200
"Vielleicht treffen sich
Schweden und Deutschland",00:13:04.280,00:13:07.320
längst am selben Punkt.,00:13:07.400,00:13:09.040
"Es ist nicht so, dass die Maßnahmen
in Schweden so gering sind.",00:13:09.120,00:13:13.200
"Man muss aber sagen, Schweden
hat das langsam hochgefahren,",00:13:13.280,00:13:17.120
"die Erkenntnis
hat sich langsam durchgesetzt.",00:13:17.200,00:13:20.160
"Und man sieht,
dass die Todeszahlen zunehmen.",00:13:20.240,00:13:23.160
"Ein Bild, das teilweise
sich verselbständigt hat.",00:13:23.240,00:13:26.640
"Ich will auf Infizierte blicken,",00:13:26.720,00:13:29.880
"die keine
oder kaum bemerkte Symptome haben.",00:13:29.960,00:13:33.200
"Das ist Gegenstand von Studien,
um nachzugucken,",00:13:33.280,00:13:37.160
"wie groß die Zahl
dieser Menschen ist?",00:13:37.240,00:13:40.440
"Da gibt es neue Studien,
auch aus Italien.",00:13:40.520,00:13:44.000
Bringen Sie uns auf den Stand.,00:13:44.080,00:13:46.440
"Ja, es gibt eine Studie,
die finde ich interessant.",00:13:46.920,00:13:50.240
"Die ist in einem kleinen Dorf
gemacht worden.",00:13:50.320,00:13:53.320
Das heißt Vo.,00:13:53.400,00:13:54.800
"Das ist eine Studie,
die als Preprint erschienen ist.",00:13:54.880,00:13:58.760
"Das ist eine Kooperation zwischen
italienischen Epidemiologen",00:13:58.840,00:14:02.680
"und der Gruppe von Neil Ferguson
aus London.",00:14:02.760,00:14:05.920
Am Imperial College. Genau.,00:14:06.000,00:14:08.520
"Da sieht man etwas Interessantes,",00:14:08.880,00:14:11.320
"insbesondere
zur Rate der Asymptomatischen.",00:14:11.400,00:14:15.200
"Es ist ein kleines Dorf, wo es nur
ein paar hundert Einwohner gibt,",00:14:15.920,00:14:20.360
also kein Riesenort.,00:14:20.440,00:14:22.120
"Einer der Orte, wo die ersten Fälle
in Italien aufgetreten sind.",00:14:22.200,00:14:26.920
"Es gab am 21. Februar
einen Todesfall",00:14:27.000,00:14:29.560
"und es kam dann zur Verhängung
einer drastischen Ausgangssperre.",00:14:29.640,00:14:34.680
"Nur für zwei Wochen, also eine
relativ kurze Beobachtungszeit,",00:14:34.760,00:14:39.400
in der diese Studie gemacht wurde.,00:14:39.480,00:14:42.000
