text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.320,00:00:02.880
Das Corona-Virus-Update.,00:00:05.480,00:00:07.840
"Die erste klinische Impfstoffstudie
in Deutschland ist genehmigt worden.",00:00:11.960,00:00:16.760
"An 200 gesunden Freiwilligen
will ein Mainzer Unternehmen",00:00:16.840,00:00:20.520
seinen Impfstoffkandidaten testen.,00:00:20.600,00:00:22.960
"Es ist aber ein langer Weg
bis zur Impfstoffzulassung.",00:00:23.040,00:00:26.720
"Da ist
von anderthalb Jahren die Rede.",00:00:26.800,00:00:29.720
Erst mal geht es in dem Test,00:00:29.800,00:00:31.960
"um Sicherheit und Verträglichkeit
des Impfstoffes.",00:00:32.040,00:00:35.440
"International gesehen gibt es
noch viele andere Impfprojekte.",00:00:35.520,00:00:39.360
"Da ist eins in der Diskussion, auf
das manche große Hoffnung setzen,",00:00:39.440,00:00:43.960
"obwohl es keine moderne
gentechnische Variante ist.",00:00:44.040,00:00:47.600
"Da geht es um
eine Impfentwicklung aus China.",00:00:47.680,00:00:50.680
"Guten Tag zur 35. Folge
unserer Updates am 24. April.",00:00:50.760,00:00:54.200
Mein Name ist Korinna Hennig.,00:00:54.280,00:00:56.440
"Auch Rechengrößen zur Ausbreitung
des Virus werden uns beschäftigen.",00:00:56.520,00:01:01.000
"Die dienen als Grundlage
für die Maßnahmen.",00:01:01.080,00:01:03.960
"Wir wollen uns einen Einblick in die
Forschung an der Charite erfragen.",00:01:04.040,00:01:08.520
"Wir sprechen wieder mit dem, der das
Team in der Virologie leitet.",00:01:08.560,00:01:12.480
"Professor Drosten, hallo. Hallo.",00:01:12.520,00:01:14.600
"In sozialen Netzwerken gibt es eine
Debatte um die Reproduktionszeit,",00:01:14.680,00:01:19.120
"die Zahl, die beziffert, wie viele
andere ein Infizierter ansteckt.",00:01:19.200,00:01:23.640
"Es geht um das epidemiologische
Bulletin des Robert-Koch-Instituts,",00:01:23.720,00:01:28.080
"der wöchentliche Datenbericht
zu Infektionskrankheiten.",00:01:28.160,00:01:31.880
Da zeigt eine Grafik:,00:01:31.960,00:01:33.680
"Die Reproduktionszahl R
befand sich seit dem 1. Märzdrittel",00:01:33.760,00:01:37.400
"auf dem absteigenden Ast
in Deutschland.",00:01:37.480,00:01:40.280
"Vor dem 23. März, bevor
die Geschäfte geschlossen wurden,",00:01:40.360,00:01:44.080
lag sie um eins.,00:01:44.160,00:01:45.440
"Es gab womöglich kein exponentielles
Wachstum der Zahl mehr.",00:01:45.520,00:01:49.480
"Nun sagen viele, da waren
die Maßnahmen gar nicht nötig.",00:01:49.560,00:01:53.200
"Da haben Leute
die Beobachtung gemacht:",00:01:53.280,00:01:55.880
"Schon Anfang März ist ein hoher Wert
von R erreicht, um die drei,",00:01:55.960,00:02:00.320
"dann sinkt es ab in der zweiten
Märzhälfte und landet unter eins.",00:02:00.400,00:02:04.960
"Also in einen Bereich, bei dem
die Infektionszahl konstant bleibt.",00:02:05.040,00:02:09.560
"Weil nur einer
den Nächsten infiziert,",00:02:09.640,00:02:12.360
"aber nicht einer zwei Nächste
infiziert, bei einer R von zwei.",00:02:12.440,00:02:16.680
Das ist die Logik hinter der Zahl.,00:02:16.760,00:02:19.240
Dann wird das Argument gemacht:,00:02:19.320,00:02:21.480
"Wenn das schon am 23. März erreicht
war und am 23. März war das Datum,",00:02:21.560,00:02:26.160
"als in den meisten Bundesländern
Kontaktsperren verhängt wurden:",00:02:26.240,00:02:31.720
"Dann waren wohl die Kontaktsperren
und der Lockdown umsonst,",00:02:31.800,00:02:36.600
"denn man hatte das vorher
alles schon erreicht.",00:02:36.680,00:02:40.040
Und von der Zeitabfolge ist es so:,00:02:40.120,00:02:42.480
"Wir hatten am 9. März
die Absage von Großveranstaltungen.",00:02:42.560,00:02:46.440
"Dann gab es am 12. März
die Ministerpräsidentenkonferenz,",00:02:46.520,00:02:50.400
"wo beraten wurde
über die Schulschließungen.",00:02:50.480,00:02:53.480
"Und am 16. März, am Montag,
wurden die Schulen geschlossen.",00:02:53.560,00:02:57.400
"Dann gab es eine Woche
mit vielen Debatten und am 23. März",00:02:57.480,00:03:01.440
"wurde die Kontaktsperre verhängt
in den meisten Bundesländern.",00:03:01.520,00:03:05.640
"Jetzt muss man sich überlegen,
was ist in der Zeit alles passiert?",00:03:05.720,00:03:11.200
"Das ist fast
der Verlauf eines ganzen Monats.",00:03:11.280,00:03:14.920
"Und man sieht,
das Maximum dieses R-Wertes,",00:03:15.000,00:03:18.440
das liegt am Anfang des Monats.,00:03:18.520,00:03:20.880
"Wir müssen hier
vier Dinge uns vergegenwärtigen.",00:03:20.960,00:03:24.840
"Das Erste ist, da gibt es ein
schönes Video von Ranga Yogeshwar,",00:03:26.040,00:03:30.200
das ist sehr gut nachvollziehbar.,00:03:30.280,00:03:32.680
"Anhand von Mobilitätsdaten von
Mobilfunkbetreibern kann man sehen,",00:03:32.760,00:03:37.560
"wie sich die Mobilität
in Deutschland verändert.",00:03:37.640,00:03:40.800
"Was man da sieht, ist:",00:03:40.880,00:03:42.480
Schon ab der Woche nach dem 9. März,00:03:42.560,00:03:45.120
"wird die Mobilität stark verringert
in ganz Deutschland.",00:03:45.200,00:03:49.400
Das ist nachvollziehbar.,00:03:49.480,00:03:51.280
"Ich kann mich dran erinnern,
wie das damals war.",00:03:51.360,00:03:54.480
"Das war eine Zeit, in der in Berlin
die Straßen ziemlich leer waren.",00:03:54.560,00:03:58.920
"Ich weiß, wie ich zu Fuß damals",00:03:59.000,00:04:01.160
"zu der Ministerpräsidentenkonferenz
gegangen bin.",00:04:01.240,00:04:04.560
"Da war kein Auto mehr auf
der Straße und auch kein Fußgänger.",00:04:04.640,00:04:08.640
"Unter dem Eindruck, dass da der
Heinsberg-Ausbruch bekannt wurde,",00:04:08.720,00:04:13.240
"in seinem ganzen Ausmaß, und
schlimme Fernsehbilder aus Italien.",00:04:13.320,00:04:18.720
"Da hat die Bevölkerung
spontan reagiert und gesagt,",00:04:20.880,00:04:24.520
das ist wirklich ernst.,00:04:24.600,00:04:26.720
"Zu der Zeit wurde auch viel
in der Öffentlichkeit diskutiert.",00:04:26.800,00:04:30.720
"Was macht man?
Macht man die Schulen zu?",00:04:30.800,00:04:33.520
"Andere Länder
hatten das schon gemacht.",00:04:33.600,00:04:36.320
"Das war ein bestehender Eindruck,
der auch eine Wirkung hatte.",00:04:36.400,00:04:40.720
"Es stimmt nicht,
dass ab dem 23. erst",00:04:40.800,00:04:43.560
"bestimmte Veränderungen
in Kraft traten in der Bevölkerung.",00:04:43.640,00:04:47.560
Das war deutlich vorher.,00:04:47.640,00:04:49.560
Dann muss man sich vergegenwärtigen:,00:04:49.640,00:04:52.280
"Dieses stufenweise Einführen von
Maßnahmen führte auch stufenweise",00:04:52.360,00:04:56.720
