text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.320,00:00:02.720
Deutschland trägt Maske.,00:00:11.560,00:00:13.440
"Das war für viele
die sichtbarste Veränderung,",00:00:13.520,00:00:16.800
"auch wenn sie
eigentlich nur klein ist.",00:00:16.880,00:00:20.400
"Die Tracing-App für die
Kontaktverfolgung nimmt Formen an,",00:00:20.480,00:00:24.480
"um die Pandemie einzudämmen,
aber mit all ihren Wenn und Aber.",00:00:24.560,00:00:29.280
"Die Forschung arbeitet daran,",00:00:29.360,00:00:31.680
"Argumente zu gewinnen für oder gegen
eine Öffnung der Schulen und Kitas.",00:00:31.760,00:00:38.200
"Ich begrüße Sie zu einer neuen Folge
unseres Coronavirus-Updates.",00:00:38.280,00:00:43.920
"Ich heiße Korinna Hennig
und bin Wissenschaftsredakteurin.",00:00:44.000,00:00:48.880
"Was heißt all das, was wir wissen,
für die Genesenen?",00:00:48.960,00:00:52.680
"Welche Forschungsansätze gibt es
für Medikamente und Impfstoffe?",00:00:52.760,00:00:57.480
"Was wissen wir über Kinder?
Ich habe es schon angedeutet.",00:00:57.560,00:01:01.680
"Die Fragen stelle ich dem Leiter
der Virologie an der Charite,",00:01:01.760,00:01:06.000
Professor Christian Drosten.,00:01:06.080,00:01:08.480
"Hallo, Herr Drosten. Hallo.",00:01:08.560,00:01:10.840
"Heute waren Gedankenspiele
in den Nachrichten:",00:01:11.360,00:01:14.560
"Kliniken sollten
vorgehaltene Betten freigeben",00:01:14.640,00:01:17.920
und in den Normalbetrieb übergehen.,00:01:18.000,00:01:20.960
"Sie haben vergangene Woche gesagt,
in der Charite",00:01:21.040,00:01:24.520
"füllt sich die Intensivstation
mit Covid-19-Patienten.",00:01:24.600,00:01:28.400
"Wenn Sie in Ihrem Umfeld gucken,",00:01:28.480,00:01:31.080
"für wie realistisch
halten Sie solche Vorgaben?",00:01:31.160,00:01:34.320
"Es ist so, dass zu meinen Umfeld
auch eine große Klinik gehört.",00:01:34.400,00:01:38.920
"In einer großen Klinik sind Ärzte,
die operieren wollen.",00:01:39.000,00:01:43.800
"Das ist ein Wirtschaftsbetrieb,
der wieder Geld verdienen muss.",00:01:43.880,00:01:48.920
"Man darf nicht vergessen,",00:01:50.600,00:01:52.560
"dass Krankenhäuser
Wirtschaftsbetriebe sind.",00:01:52.640,00:01:55.400
"Es ist auf eine gewisse Art
und Weise berechtigt zu sagen,",00:01:55.480,00:01:59.400
"wir haben das jetzt geschafft,
die Intensivbetten so freizuhalten.",00:01:59.480,00:02:03.880
"Wir sind mit der Reproduktionsrate
im niedrigen Bereich,",00:02:03.960,00:02:07.720
knapp um die eins oder unter eins.,00:02:07.800,00:02:10.320
"Die Meldung, es ist wieder
auf eins zurückgegangen.",00:02:10.400,00:02:13.880
Das muss man weiter beobachten.,00:02:13.960,00:02:16.640
"Wir haben eine verträgliche
Gesamtpatientenzahl.",00:02:16.720,00:02:20.560
"Eine Zahl an infektiösen Patienten,
die so weit zurückgegangen ist,",00:02:23.320,00:02:28.480
"dass eine R0 von eins zu verkraften
ist für die Intensivstationen.",00:02:28.560,00:02:34.120
"Unter diesem Eindruck muss
die logische Konsequenz sein,",00:02:37.240,00:02:41.720
dass man Intensivbetten freigibt:,00:02:41.800,00:02:44.920
"Damit ein normaler Operations- und
Versorgungsbetrieb losgehen kann.",00:02:45.000,00:02:50.200
"Es geht nicht nur
um planbare Operationen,",00:02:50.280,00:02:54.160
es gibt Unfälle beispielsweise.,00:02:54.240,00:02:56.440
"Es gibt notwendige Eingriffe,
zum Beispiel im Krebsbereich.",00:02:56.520,00:03:00.480
"Es gibt internistische
Erkrankungen,",00:03:00.560,00:03:03.160
"die eine Intensivbehandlung
erfordern.",00:03:03.240,00:03:06.720
"Die sind nicht planbar
und treten nun mal auf.",00:03:06.800,00:03:10.000
Man hat ein Kompromissspiel.,00:03:10.080,00:03:12.560
"In diesem Kompromissspiel
muss man irgendwann sagen:",00:03:12.640,00:03:17.280
Es gibt Erfahrungswerte,00:03:17.360,00:03:19.200
"und jetzt kann man wieder
Bettenkapazitäten freigeben.",00:03:19.280,00:03:22.840
Man muss aber aufpassen:,00:03:22.920,00:03:24.760
"Dass man auch wieder
in die andere Richtung gehen kann,",00:03:24.840,00:03:28.560
"wenn sich die epidemiologischen
Kenngrößen wieder verändern.",00:03:28.640,00:03:32.680
"Nun ist aber viel gemacht worden
in Krankenhäusern.",00:03:32.760,00:03:36.120
"Es ist viel geschaffen worden
an zusätzlicher Intensivkapazität.",00:03:36.200,00:03:40.480
"Es sind organisatorische Regelungen
getroffen und eingeübt worden,",00:03:40.560,00:03:44.960
"sodass eine gewisse Flexibilität
erreicht ist in Krankenhäusern.",00:03:45.040,00:03:49.440
"Man kann schon denken,
dass man sagt:",00:03:49.520,00:03:52.040
"Man gibt für diesen Monat
viele Betten wieder frei",00:03:52.120,00:03:55.480
"und hat aber
eine Rückfallmöglichkeit.",00:03:55.560,00:03:58.160
"Ich habe weiterhin das Gefühl, dass
wir von dieser Rückfallmöglichkeit",00:03:58.240,00:04:03.360
Gebrauch machen müssen.,00:04:03.440,00:04:06.040
"In der großen Debatte,
wie geht es jetzt weiter,",00:04:06.680,00:04:10.040
"wo die Infektionszahlen geringer
geworden sind, ist ein großes Thema:",00:04:10.120,00:04:15.120
"Das interessiert viele Politiker,
aber auch die Familien:",00:04:15.200,00:04:19.200
Das Thema Kinder.,00:04:19.280,00:04:21.000
"Wir haben in
verschiedenen Richtungen gesprochen,",00:04:21.080,00:04:24.320
welche Fragen offen sind.,00:04:24.400,00:04:26.360
"Wissen wir mehr,
was die Rolle der Kinder angeht,",00:04:26.440,00:04:31.040
"das hindeuten könnte darauf, wir
sollten die Kitas wieder öffnen?",00:04:31.120,00:04:35.800
"Es ist in dieser Woche eine
politische Diskussion entstanden,",00:04:37.760,00:04:42.000
das ist auch gut so.,00:04:42.080,00:04:43.840
"Es ist eine ganz schwierige Lage,
die wir da im Moment haben,",00:04:43.920,00:04:48.760
"aus der Wissenschaft heraus
zu argumentieren.",00:04:48.840,00:04:52.120
"Ich muss weiter ausholen,",00:04:52.200,00:04:54.240
"um mal noch mal die Grundsituation
zusammenzufassen.",00:04:54.320,00:04:58.680
"Wir haben wenige Studien dort,
wo die Epidemie losging, aus China.",00:04:59.800,00:05:04.880
"Wir haben von dort aber schon
die Grundauffassung gesehen:",00:05:04.960,00:05:09.520
Kinder haben selten Symptome.,00:05:09.600,00:05:12.120
"Das heißt nicht, dass wir
keine betroffenen Kinder haben.",00:05:12.200,00:05:16.160
"Wir haben in einer frühen Folge
eine Schätzstudie betrachtet.",00:05:16.240,00:05:21.000
"Die hat 'ne erhebliche Dunkelziffer
von infizierten Kindern in Wuhan",00:05:21.080,00:05:25.960
"geschätzt anhand der Aufnahmezahlen
eines Kinderkrankenhauses.",00:05:26.040,00:05:30.400
"Wenn wir gedanklich
durch die Podcast-Folgen vorspulen,",00:05:30.480,00:05:34.600
"wir haben das Thema Kinder
immer wieder besprochen.",00:05:34.680,00:05:38.360
"Es gibt
eine gute Haushaltskontaktstudie,",00:05:38.440,00:05:41.400
"wo man die Haushalte untersucht
und schaut:",00:05:41.480,00:05:45.520
"Wo ist ein Indexpatient,
ein Erstinfizierter?",00:05:46.920,00:05:50.480
"Und wer im Haushalt
hat sich jetzt infiziert?",00:05:50.560,00:05:53.600
"Da gibt es ein Hauptergebnis,",00:05:53.680,00:05:55.880
"dass sich nur ungefähr 15 Prozent
infizieren im Beobachtungszeitraum.",00:05:55.960,00:06:00.440
"Unter Bedingungen einer
wissenschaftlichen Untersuchung",00:06:00.520,00:06:04.440
und epidemiologischen Intervention.,00:06:04.520,00:06:07.080
Wo man gesagt hat:,00:06:07.160,00:06:08.560
"""Hier ist ein Infizierter,
haltet euch fern.""",00:06:08.640,00:06:11.720
Also Maßnahmen. Genau.,00:06:11.800,00:06:13.560
"Man hat
unter den Bedingungen gesehen:",00:06:13.640,00:06:16.480
