text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.320,00:00:02.880
"Dänemark will alle erwachsenen
Bürger auf das Coronavirus testen.",00:00:11.440,00:00:15.560
"Spanien diskutiert
über eine Testpflicht für Urlauber.",00:00:15.640,00:00:19.280
"Donald Trump nimmt ein Medikament
zur Malaria-Prophylaxe.",00:00:19.360,00:00:23.000
Obwohl die Wissenschaft,00:00:23.080,00:00:24.720
"weit entfernt ist von einem Nachweis
seiner Wirksamkeit.",00:00:24.800,00:00:28.360
"Die weltweiten Nachrichten rund um
das Virus SARS-CoV-19 werden bunter,",00:00:28.440,00:00:33.440
"disparater wäre
ein wissenschaftlicherer Begriff.",00:00:33.520,00:00:36.840
"Willkommen zu unserem Update,
Folge 42, am Dienstag, den 19. Mai.",00:00:36.920,00:00:41.760
"Ich heiße Korinna Hennig
und bin Wissenschaftsredakteurin.",00:00:41.840,00:00:45.760
"Wie geht es der Wirtschaft
und was kann man für sie tun,",00:00:46.520,00:00:50.200
"ist die Frage, die in Deutschland
und Europa auf der Agenda steht.",00:00:50.280,00:00:54.480
Bei dem Einzelnen,00:00:54.560,00:00:55.920
"könnte es Urlaubsplanung
mit Fragezeichen sein.",00:00:56.000,00:00:59.080
"Was für Daten hat die Forschung
zur Gefährlichkeit des Virus?",00:00:59.160,00:01:03.280
"Es gibt neue Erkenntnisse
aus Italien,",00:01:03.360,00:01:06.000
"die sich um die Tödlichkeit drehen,
um Sterbezahlen.",00:01:06.080,00:01:09.520
"Wir wollen fragen, inwieweit
kann man die ""Schweinegrippe""",00:01:09.600,00:01:13.440
"mit der heutigen Pandemie
vergleichen?",00:01:13.520,00:01:16.080
"Ein vielgenanntes Argument
von Seiten derer,",00:01:16.160,00:01:19.040
"die Kontaktbeschränkungen und
Lockdown-Maßnahmen kritisieren.",00:01:19.120,00:01:23.080
"Ich bin per App
mit Christian Drosten verbunden.",00:01:23.160,00:01:26.440
"Guten Tag, Herr Drosten. Hallo.",00:01:26.520,00:01:28.800
Wir haben über die Rolle von Aerosol,00:01:28.880,00:01:31.480
"bei der Übertragung des Virus
in der Gastronomie gesprochen.",00:01:31.560,00:01:35.440
"Nun öffnet einiges wieder,
damit nehmen auch Alltagsfragen zu.",00:01:35.520,00:01:39.760
"Ein Bereich, der Aufmerksamkeit
bei unseren Hörern hat,",00:01:39.840,00:01:43.600
"sind die Vorkommnisse
in Schlachtbetrieben.",00:01:43.680,00:01:46.680
"Das hat viel
mit Hygienemaßstäben zu tun,",00:01:46.760,00:01:49.880
die man da anlegen müsste.,00:01:49.960,00:01:52.440
Mal virologisch betrachtet:,00:01:53.080,00:01:55.120
"Wie groß ist die Wahrscheinlichkeit,",00:01:55.200,00:01:57.560
"dass ein Virus im Supermarkt
ankommt über das Fleisch?",00:01:57.640,00:02:01.640
Das halte ich für nicht kritisch.,00:02:01.720,00:02:04.040
"Diese Viren werden über diesen Weg
nicht weitergegeben.",00:02:04.120,00:02:07.840
"Das Fleisch lagert
auch eine ganze Zeit.",00:02:07.920,00:02:10.640
"Solche Viren
sind dann doch nicht sehr stabil.",00:02:10.720,00:02:13.960
"Auf der Oberfläche
von so einem Stück Fleisch",00:02:14.040,00:02:17.520
"sind biologische Substanzen,
die das Virus auch angreifen.",00:02:17.600,00:02:22.680
"Proteasen sind da zum Beispiel,
proteinabbauende Enzyme.",00:02:22.760,00:02:26.920
Da hätte ich keine Bedenken.,00:02:27.000,00:02:29.080
"Zumal dann, das kommt ja dazu,
das Fleisch auch zubereitet wird.",00:02:29.160,00:02:33.360
Und da ist das Virus sofort weg.,00:02:33.440,00:02:35.560
"Das ist kein
sehr temperaturstabiles Virus.",00:02:35.640,00:02:38.560
"Das ist nicht das,
was uns aufmerksam machen sollte",00:02:38.640,00:02:42.200
"an dieser Schlachthof-Beobachtung,
die weltweit zu machen ist.",00:02:42.280,00:02:46.960
"Auch in den USA ist das so,
dass Übertragungen",00:02:47.040,00:02:50.120
"in Schlachthof-Situationen
stattfinden.",00:02:50.200,00:02:52.960
"Man muss sich überlegen, ob das
nur die prekären Wohnbedingungen",00:02:53.040,00:02:57.840
"der Mitarbeiter sind, also dass
das alles am Wohnort stattfindet.",00:02:57.920,00:03:03.200
"Oder ob vielleicht noch
ein anderer Faktor da reinspielt.",00:03:03.280,00:03:07.080
"Den müsste man mal untersuchen,",00:03:07.160,00:03:09.360
"das ist die Umgebungstemperatur
am Arbeitsplatz.",00:03:09.440,00:03:12.680
"Auch in den Schlachthöfen wird
räumlicher Abstand eingehalten.",00:03:12.760,00:03:18.160
"Ich lasse mir sagen von Leuten,
die die Situation kennen,",00:03:18.240,00:03:22.560
dass das nicht immer möglich ist.,00:03:22.640,00:03:25.120
"Das ist eine körperlich
anstrengende Arbeit,",00:03:25.200,00:03:28.440
"bei der auch
Leute nah aneinander stehen.",00:03:28.520,00:03:31.240
"Ein Faktor ist noch nicht in der
Öffentlichkeit besprochen worden",00:03:31.320,00:03:35.840
"in diesem Zusammenhang,
das ist die Umgebungstemperatur.",00:03:35.920,00:03:39.720
"Wenn ich das richtig
verstanden habe, ist es so:",00:03:39.800,00:03:43.440
"In Schlachthöfen herrschen
in Räumen, die Hallengröße haben,",00:03:43.520,00:03:48.680
"kalte Temperaturen,
fast Kühlschranktemperaturen.",00:03:49.280,00:03:52.720
Ich stelle mir da die Frage:,00:03:54.840,00:03:57.320
"Zeigen die Übertragungsaktivitäten
in Schlachthöfen nicht etwas an,",00:03:57.400,00:04:02.640
"was wir auch im Winter
sonst weitflächig erleben werden?",00:04:02.720,00:04:07.720
Nämlich diesen Temperatureffekt.,00:04:07.800,00:04:10.760
"Wenn es kälter wird,
wird das Virus besser übertragen.",00:04:11.520,00:04:15.080
Hilft dieser Temperatureffekt,00:04:15.160,00:04:17.120
"bei diesen hohen Übertragungsraten
in Schlachthöfen?",00:04:17.200,00:04:20.480
"Anders als man normalerweise bei,
Kühlung für Lebensmittel immer gut,",00:04:20.560,00:04:25.400
"in dem Fall wirkt es sich
kontraproduktiv aus möglicherweise?",00:04:25.480,00:04:30.440
"Ja, es ist dann der Arbeitsplatz,
die Umgebung.",00:04:31.560,00:04:34.760
"Das ist jetzt nicht so,",00:04:34.840,00:04:36.560
"dass ich dafür Beweise oder Daten
gefunden hätte in der Literatur.",00:04:36.640,00:04:41.080
"Ich denke aber, dass man sich
das schon mal anschauen muss.",00:04:41.160,00:04:45.680
"Das wird schwierig sein,
diese Daten zu erheben,",00:04:46.320,00:04:49.520
diese Studien durchzuführen.,00:04:49.600,00:04:51.600
"Aber mich
macht es zumindest aufmerksam.",00:04:51.680,00:04:54.600
Ich will es mal so ausdrücken.,00:04:54.680,00:04:56.640
"Immer wieder flammt die Debatte
um die Frage rund um das Virus auf:",00:04:56.720,00:05:01.120
Wie eng ist der Zusammenhang,00:05:01.200,00:05:03.280
"zwischen der Zahl der Verstorbenen
in einer Region und dem Virus?",00:05:03.360,00:05:07.640
"Werden die Zahlen zu hoch
oder zu niedrig eingeschätzt?",00:05:07.720,00:05:11.360
"Hängt die Todesursache
mit einer SARS-2-Infektion zusammen?",00:05:11.440,00:05:15.320
"Licht ins Dunkel könnte
eine Studie aus Italien bringen,",00:05:15.400,00:05:19.160
"an der auch die Charite beteiligt
war, die Zahlen zusammenträgt.",00:05:19.240,00:05:23.400
"Da geht es um Nembro, eine Gemeinde
in der Provinz Bergamo,",00:05:23.480,00:05:28.080
mit gut 11.000 Einwohnern.,00:05:28.160,00:05:30.040
Dort hat man die Totenzahlen,00:05:30.120,00:05:32.120
"über einen Zeitraum von acht Jahren
miteinander verglichen.",00:05:32.200,00:05:36.000
"Bis Mitte April sind dort deutlich
mehr Menschen gestorben",00:05:36.080,00:05:39.840
"als sonst statistisch gesehen
in einem ganzen Jahr.",00:05:39.920,00:05:43.240
"Man muss zunächst sagen, wir reden
hier von der ""all-cause mortality"":",00:05:43.320,00:05:47.960
"Todesfälle
mit verschiedenen Ursachen,",00:05:48.040,00:05:50.520
"nicht von der reinen Zahl
nur das Coronavirus.",00:05:50.600,00:05:53.560
"Ja, genau, das sind
die Statistiken der Verstorbenen,",00:05:53.640,00:05:57.240
"egal, woran jemand verstorben ist.",00:05:57.320,00:05:59.960
