text,start,stop
*,00:00:00.100,00:00:01.100
"Untertitel:
Selina Nowak &amp; Michael Posch",00:00:01.100,00:00:04.100
"Wieder einmal willkommen zu
einer weiteren Ausgabe von ""Dok1"".",00:00:08.600,00:00:13.300
"Sie sehen mich diesmal nicht
in einer Berghütte,",00:00:13.400,00:00:16.900
"sondern im Schlafzimmer
meines Sohnes.",00:00:16.900,00:00:19.800
Viel mehr fallt mir nicht mehr ein.,00:00:19.800,00:00:22.400
"Ich hoffe, diese Situationen
sind bald vorbei",00:00:22.500,00:00:26.000
"und wir können bald wieder
normal arbeiten.",00:00:26.100,00:00:29.300
"Vor einem Jahr haben wir
eine Sendung gemacht",00:00:29.400,00:00:32.800
"zum Thema Impfgegner,
-Skeptiker, -Kritiker.",00:00:32.900,00:00:36.200
"Anlass damals waren Masern-Ausbrüche
in verschiedenen Teilen der Welt.",00:00:36.200,00:00:41.600
"Wir wollten da in die Welt
der Impfgegner blicken.",00:00:41.600,00:00:45.400
"Das hat sehr viel Emotion
mit sich gebracht,",00:00:45.400,00:00:48.700
sehr viel Aufregung.,00:00:48.800,00:00:50.300
"Haben wir eigentlich
gar nicht vermutet.",00:00:50.300,00:00:52.800
"Zu Beginn dieser Sendung,",00:00:52.900,00:00:54.500
"weil diesmal beschäftigen
wir uns wieder mit dem Impfen,",00:00:54.700,00:00:58.200
"möchte ich Ihnen
ein paar dieser Argumente zeigen,",00:00:58.400,00:01:02.200
"die wir vor einem Jahr
auf Sendung hatten.",00:01:02.300,00:01:05.000
"&gt;Masern -
eine übliche Kinderkrankheit,",00:01:06.800,00:01:09.200
"die zum Wachstums-
und Reifungsprozess dazugehört.",00:01:12.000,00:01:15.800
"&gt;Es ist nicht per se eine Krankheit,
die Komplikationen nach sich zieht.",00:01:15.800,00:01:21.300
"&gt;Ein Bakterium macht dich
nicht krank, ein Virus auch nicht.",00:01:21.400,00:01:25.900
"&gt;Es kommt immer darauf an, was das
Zusammenspiel der Kräfte belangt.",00:01:25.900,00:01:31.100
"Ein immer wiederkehrendes Argument
für Impfgegner sind Impfschäden,",00:01:33.900,00:01:38.100
"von denen die Impfgegner behaupten,
dass sie viel zahlreicher wären",00:01:38.200,00:01:42.400
als allgemeinhin dokumentiert.,00:01:42.400,00:01:44.400
&gt;Es wird in Österreich negiert.,00:01:44.400,00:01:46.400
"&gt;Es darf nicht sein,
man will es nicht wahrhaben.",00:01:46.500,00:01:49.600
"&gt;Das ändert aber nichts daran,
dass es Impfschäden gibt.",00:01:52.800,00:01:56.200
&gt;Dazu gibt es Studien.,00:01:56.200,00:01:57.900
"&gt;Auch zum Zusammenhang
zwischen Impfen und Kindstod.",00:01:57.900,00:02:01.900
"Auch Manfred Orthacker (51) ist
leidenschaftlicher Hobbysportler und,",00:02:02.400,00:02:07.800
"wie er betont,
kein Impfgegner sondern -kritiker.",00:02:08.000,00:02:12.400
"Doch seine Skepsis ist so groß,",00:02:12.700,00:02:16.300
"dass er seine beiden Kinder nicht hat
impfen lassen; gegen gar nichts.",00:02:16.500,00:02:20.900
Sie sind gänzlich ohne Impfschutz.,00:02:21.200,00:02:24.200
"Schauen wir, was er vor einem Jahr
zu uns gesagt hat.",00:02:24.300,00:02:27.900
"&gt;Es hat begonnen mit meiner Impf-
kritik zu Zeiten der Schweinegrippe.",00:02:28.000,00:02:32.400
"&gt;Das war 2009 - da wurde ja
eine große Pandemie ausgerufen.",00:02:32.600,00:02:36.900
"&gt;Ich war mir nicht sicher,
ob ich mich impfen lassen soll",00:02:39.200,00:02:43.600
"aufgrund dieser Angst-
und Panikmache.",00:02:43.600,00:02:46.600
&gt;Ich hab's dann nicht gemacht.,00:02:46.600,00:02:48.500
"&gt;Es hat alles viel Geld gekostet, und
im Endeffekt war es keine Pandemie,",00:02:48.600,00:02:53.700
"sondern
eine ganz normale Grippesaison.",00:02:53.800,00:02:56.400
In den letzten Monaten,00:02:57.100,00:02:59.400
"hat sich durch die Ausbreitung
des Corona-Virus",00:02:59.400,00:03:03.000
ein Worst Case gezeigt:,00:03:03.000,00:03:05.000
