text,start,stop
Bienvenidos a todos,00:00:18.885,00:00:21.745
a este programa especial sobre Corona,00:00:21.745,00:00:24.815
 ,00:00:24.815,00:00:25.815
Hoy le doy la bienvenida,00:00:26.085,00:00:29.015
a un invitado muy especial,00:00:29.015,00:00:31.875
que ya ha visto muchas cosas,00:00:31.875,00:00:34.355
Estuvo con el ejército estadounidense,00:00:34.355,00:00:37.195
investigando sobre la gripe SARS,00:00:37.195,00:00:40.145
Hoy es un experto calificado,00:00:40.145,00:00:43.325
del Coronavirus y quiero ver con él,00:00:43.325,00:00:46.215
su punto de vista,00:00:46.215,00:00:49.245
para poder darles a ustedes,00:00:49.245,00:00:52.355
otro punto de vista de los hechos,00:00:52.355,00:00:54.895
que conocemos de los medios de comunicación,00:00:54.895,00:00:57.715
"Por favor, sean críticos con lo que vayan a escuchar",00:00:57.715,00:01:00.675
pero sean críticos también con lo que ven en otros sitios,00:01:00.675,00:01:03.445
Me alegro y estoy agradecido querido Dr. Klinghardt,00:01:03.675,00:01:06.665
de poder darte la bienvenida,00:01:06.665,00:01:09.655
aquí en nuestro estudio. Muchas gracias,00:01:09.655,00:01:12.615
"Me alegro de volver a verte, Alexander",00:01:12.615,00:01:15.845
"Gracias, gracias",00:01:15.975,00:01:16.975
"Sí, Dietrich, como experto",00:01:16.975,00:01:19.995
he seguido tus trabajos siempre,00:01:19.995,00:01:22.965
y hoy me praece muy importante escuchar,00:01:22.965,00:01:25.395
cómo piensas tú sobre Corona,00:01:25.395,00:01:27.585
o qué informaciones,00:01:27.585,00:01:29.725
tienes tú de tu entorno,00:01:29.725,00:01:32.655
"Bueno, voy a empezar",00:01:34.355,00:01:37.325
por la parte médica,00:01:37.325,00:01:39.955
La parte médica está bastante clara,00:01:40.225,00:01:43.285
Cuando no hay ningún medicamento,00:01:43.285,00:01:46.305
contra una enfermedad,00:01:46.305,00:01:48.035
o una ola epidémica.,00:01:48.955,00:01:51.195
"Entonces,",00:01:51.195,00:01:53.195
"la solución correcta, en primer lugar,",00:01:55.065,00:01:58.045
es la cuarentena y la vacuna,00:01:58.045,00:02:01.495
Pero lo que ha pasado es que,00:02:01.875,00:02:04.825
ya dos semanas después,00:02:04.825,00:02:08.215
de que,00:02:08.215,00:02:09.565
en Wuhan se dio a conocer,00:02:10.015,00:02:11.485
que un virus se estaba extendieno,00:02:11.965,00:02:15.155
Ya dos semanas después,00:02:15.155,00:02:18.085
se conocía el tratamiento,00:02:18.085,00:02:21.335
al principio de la enfermedad,00:02:21.385,00:02:24.265
"Se daba un antiguo medicamento de Malaria,",00:02:24.265,00:02:27.335
