text,start,stop
"&lt;!DOCTYPE html&gt;
&lt;html lang=""de"" xmlns=""http://www.w3.org/1999/xhtml""",00:00:03.270,00:00:04.640
"xml:lang=""de"" prefix=""og: http://ogp.me/ns#""&gt;
&lt;!-- base_head --&gt;",00:00:04.640,00:00:05.750
&lt;head&gt;,00:00:05.750,00:00:06.750
"&lt;title&gt;NDR.de - Das Beste am Norden - Radio
- Fernsehen - Nachrichten | NDR.de&lt;/title&gt;",00:00:06.750,00:00:08.790
"&lt;meta charset=""utf-8""&gt;
&lt;meta content=""IE=edge,chrome=1"" http-equiv=""X-UA-Compatible""&gt;",00:00:08.790,00:00:10.720
"&lt;meta name=""viewport"" content=""width=device-width,
initial-scale=1""&gt;",00:00:10.720,00:00:12.250
"&lt;meta name=""title"" content=""NDR.de - Das Beste
am Norden - Radio - Fernsehen - Nachrichten",00:00:12.250,00:00:16.099
""" /&gt;
&lt;meta property=""og:title"" content=""NDR.de",00:00:16.099,00:00:17.249
"- Das Beste am Norden - Radio - Fernsehen
- Nachrichten ""/&gt;",00:00:17.249,00:00:19.940
"&lt;meta name=""description"" content=""Alles zum
NDR Programm in Fernsehen und Radio. Regionale",00:00:19.940,00:00:25.830
"Nachrichten aus Norddeutschland, Sport, Ratgeber-Themen,
Unterhaltung, Kultur und Geschichte."" /&gt;",00:00:25.830,00:00:30.660
"&lt;meta property=""og:description"" content=""Alles
zum NDR Programm in Fernsehen und Radio. Regionale",00:00:30.660,00:00:34.360
"Nachrichten aus Norddeutschland, Sport, Ratgeber-Themen,
Unterhaltung, Kultur und Geschichte."" /&gt;",00:00:34.360,00:00:35.390
"&lt;meta property=""og:type"" content=""article""/&gt;
&lt;link rel=""canonical"" href=""/index.html"" /&gt;",00:00:35.390,00:00:38.880
"&lt;meta name=""twitter:card"" content=""summary_large_image""&gt;
&lt;meta name=""twitter:creator"" content=""@ndr""&gt;",00:00:38.880,00:00:42.380
"&lt;meta name=""twitter:site"" content=""@ndr""&gt;
&lt;meta name=""twitter:domain"" content=""/index.html""/&gt;",00:00:42.380,00:00:45.880
"&lt;meta name=""twitter:title"" content=""NDR.de
- Das Beste am Norden - Radio - Fernsehen",00:00:45.880,00:00:56.230
"- Nachrichten ""/&gt;
&lt;meta name=""twitter:description"" content=""Alles",00:00:56.230,00:01:09.670
"zum NDR Programm in Fernsehen und Radio. Regionale
Nachrichten aus Norddeutschland, Sport, Ratgeber-Themen,",00:01:09.670,00:01:30.659
"Unterhaltung, Kultur und Geschichte.""/&gt;
&lt;meta property=""fb:app_id"" content=""190781271064648""",00:01:30.659,00:01:34.759
"/&gt;
&lt;meta property=""fb:pages"" content=""182848831765655,",00:01:34.759,00:01:36.509
"37621248917, 268450883292589, 168848746495298,
110867668228, 305780079546149, 280876185356655,",00:01:36.509,00:01:40.029
"171209559598528, 175524409170116, 585450358142026,
60365300221, 133648700029092, 723999667637205,",00:01:40.029,00:01:43.539
"201887793186341, 176937103705, 141864529247686,
554650928034923, 142775545750520, 181166661898172,",00:01:43.539,00:01:47.060
"395647370461038, 181601508522791, 215436765155875,
225730710773321, 485343101562094, 394019337281060,",00:01:47.060,00:01:50.570
"178424298879966, 360606276813, 253776017968726,
134282593408290, 1553255281582568, 202234796477224,",00:01:50.570,00:01:54.090
"503555233365840, 198448113138"" /&gt;
&lt;meta name=""keywords"" lang=""de"" content=""Homepage,",00:01:54.090,00:01:57.600
"NDR online, Internet, Nachrichten, Unternehmen,
Wetter, Verkehr, News ,NDR,Norddeutscher Rundfunk""",00:01:57.600,00:02:03.460
"/&gt;
&lt;meta name=""author"" content=""NDR"" /&gt;",00:02:03.460,00:02:04.819
"&lt;meta name=""generator"" content=""orig6"" /&gt;
&lt;meta name=""robots"" content=""index, follow,",00:02:04.819,00:02:11.069
"noarchive"" /&gt;
&lt;meta name=""language"" content=""de"" /&gt;",00:02:11.069,00:02:14.650
"&lt;link rel=""icon"" href=""/favicon.ico"" type=""image/x-icon""
/&gt;",00:02:14.650,00:02:18.230
"&lt;link rel=""shortcut icon"" href=""/favicon.ico""
type=""image/x-icon"" /&gt;",00:02:18.230,00:02:22.700
"&lt;link rel=""apple-touch-icon"" sizes=""57x57""
href=""/apple-touch-icon-57x57.png""&gt;",00:02:22.700,00:02:26.270
"&lt;link rel=""apple-touch-icon"" sizes=""114x114""
href=""/apple-touch-icon-114x114.png""&gt;",00:02:26.270,00:02:29.850
"&lt;link rel=""apple-touch-icon"" sizes=""72x72""
href=""/apple-touch-icon-72x72.png""&gt;",00:02:29.850,00:02:33.430
"&lt;link rel=""apple-touch-icon"" sizes=""144x144""
href=""/apple-touch-icon-144x144.png""&gt;",00:02:33.430,00:02:37.000
"&lt;link rel=""apple-touch-icon"" sizes=""60x60""
href=""/apple-touch-icon-60x60.png""&gt;",00:02:37.000,00:02:40.580
"&lt;link rel=""apple-touch-icon"" sizes=""120x120""
href=""/apple-touch-icon-120x120.png""&gt;",00:02:40.580,00:02:44.160
"&lt;link rel=""apple-touch-icon"" sizes=""76x76""
href=""/apple-touch-icon-76x76.png""&gt;",00:02:44.160,00:02:47.730
"&lt;link rel=""apple-touch-icon"" sizes=""152x152""
href=""/apple-touch-icon-152x152.png""&gt;",00:02:47.730,00:02:51.310
"&lt;link rel=""icon"" type=""image/png"" href=""/favicon-196x196.png""
sizes=""196x196""&gt;",00:02:51.310,00:02:55.780
"&lt;link rel=""icon"" type=""image/png"" href=""/favicon-160x160.png""
sizes=""160x160""&gt;",00:02:55.780,00:03:00.250
"&lt;link rel=""icon"" type=""image/png"" href=""/favicon-96x96.png""
sizes=""96x96""&gt;",00:03:00.250,00:03:04.720
"&lt;link rel=""icon"" type=""image/png"" href=""/favicon-32x32.png""
sizes=""32x32""&gt;",00:03:04.720,00:03:09.190
"&lt;link rel=""icon"" type=""image/png"" href=""/favicon-16x16.png""
sizes=""16x16""&gt;",00:03:09.190,00:03:13.660
"&lt;link rel=""preload"" href=""/common/resources/fonts/NDRSansDRegular.woff2""
as=""font"" type=""font/woff2"" crossorigin /&gt;",00:03:13.660,00:03:19.030
"&lt;link rel=""preload"" href=""/common/resources/fonts/NDRSansDBlack.woff2""
as=""font"" type=""font/woff2"" crossorigin /&gt;",00:03:19.030,00:03:24.390
"&lt;link rel=""preload"" href=""/common/resources/fonts/NDRSansDCondBlack.woff2""
as=""font"" type=""font/woff2"" crossorigin /&gt;",00:03:24.390,00:03:29.750
"&lt;link rel=""preload"" href=""/common/resources/fonts/NDR_Icons.woff?ilt4ch0730""
as=""font"" type=""font/woff"" crossorigin /&gt;",00:03:29.750,00:03:35.120
"&lt;meta name=""msapplication-TileColor"" content=""#0c1754""&gt;
&lt;meta name=""msapplication-TileImage"" content=""/mstile-144x144.png""&gt;",00:03:35.120,00:03:40.480
"&lt;link rel=""alternate"" type=""application/rss+xml""
title=""NDR.de - Das Beste am Norden"" href=""/homepage985-rss2.xml""",00:03:40.480,00:03:46.350
"/&gt;
&lt;link type=""text/css"" rel=""stylesheet"" href=""/resources/css/generated/ndrmerged.css?gen=1703""",00:03:46.350,00:03:48.110
"media=""all"" /&gt;
&lt;!--[if lte IE 8]&gt;",00:03:48.110,00:03:50.310
"&lt;link type=""text/css"" rel=""stylesheet"" href=""/resources/css/ie.css""
media=""all"" /&gt;",00:03:50.310,00:03:52.520
"&lt;![endif]--&gt;
&lt;!--[if IE 9 ]&gt;",00:03:52.520,00:03:54.280
"&lt;link type=""text/css"" rel=""stylesheet"" href=""/resources/css/ie9.css""
media=""all"" /&gt;",00:03:54.280,00:03:56.480
"&lt;![endif]--&gt;
&lt;link type=""text/css"" rel=""stylesheet"" href=""/resources/css/generated/print.css""",00:03:56.480,00:03:58.690
"media=""print"" /&gt;
&lt;script type=""text/javascript"" src=""/common/resources/lib/ndrde_base.js?gen=1703""&gt;&lt;/script&gt;",00:03:58.690,00:04:00.450
"&lt;script src=""/common/resources/lib/atinternet/smarttag.js""&gt;&lt;/script&gt;
&lt;script type=""text/javascript"" src=""/resources/js/scripts.js?gen=1703""&gt;&lt;/script&gt;",00:04:00.450,00:04:02.650
"&lt;!--[if lt IE 9]&gt;
&lt;script&gt;",00:04:02.650,00:04:04.850
"document.createElement('header');
document.createElement('nav');",00:04:04.850,00:04:05.850
"document.createElement('section');
document.createElement('article');",00:04:05.850,00:04:06.850
"document.createElement('aside');
document.createElement('footer');",00:04:06.850,00:04:07.850
"document.createElement('hgroup');
&lt;/script&gt;",00:04:07.850,00:04:08.850
"&lt;![endif]--&gt;
&lt;/head&gt;",00:04:08.850,00:04:09.850
"&lt;body class=""softbranding daserste"" &gt;
&lt;a href=""#content"" title=""Skip to content""",00:04:09.850,00:04:12.900
"class=""skiplink""&gt;Direkt zum Inhalt&lt;/a&gt;
&lt;header id=""pageheader"" role=""navigation""&gt;",00:04:12.900,00:04:16.150
"&lt;div id=""blocker""&gt;&lt;/div&gt;
&lt;div class=""mainnav""&gt;",00:04:16.150,00:04:18.320
"&lt;a id=""dachmarkenlogo"" title=""zur NDR Homepage""
href=""/index.html"" &gt;",00:04:18.320,00:04:21.579
"&lt;span class=""invisible srlabel""&gt;zur NDR Homepage&lt;/span&gt;
&lt;svg width=""100%"" height=""100%"" viewBox=""0",00:04:21.579,00:04:26.460
"-0.096 64 40""&gt;
&lt;path fill=""#ffffff"" d=""M8.923,32.342L3.524,22.62v9.723H0V15.671h3.699l5.624,10.373V15.671h3.524v16.671H8.923z",00:04:26.460,00:04:29.719
"M12.847,15.671V0
h1.975v15.671H12.847z M12.847,39.465v-7.123h1.975v7.123H12.847z",00:04:29.719,00:04:31.340
"M20.72,15.671c4.124,0,6.249,1.975,6.249,5.798v5.024
c0,3.924-2.049,5.849-6.249,5.849h-5.898V15.671H20.72z",00:04:31.340,00:04:32.430
"M20.395,29.193c2,0,2.974-1,2.974-3.049v-4.299c0-2.024-1-3.024-2.974-3.024
h-1.774v10.372H20.395z M37.341,32.342l-2.974-6.398h-2v6.398h-3.699V15.671h5.824c4.099,0,6.048,1.625,6.048,5.099",00:04:32.430,00:04:34.060
"c0,2.299-0.85,3.674-2.75,4.499l3.524,7.073H37.341z
M34.642,22.919c1.475,0,2.349-0.85,2.349-2.274",00:04:34.060,00:04:35.139
