text,start,stop
"Untertitel:
Norddeutscher Rundfunk 2020",00:00:00.320,00:00:03.040
Herzlich willkommen zu extra 3.,00:00:03.120,00:00:05.360
"Für viele Deutsche ist Corona
inzwischen wie ein Adventskalender:",00:00:05.520,00:00:10.000
"Welches Türchen
geht als nächstes auf?",00:00:10.320,00:00:12.960
"In vielen Bundeländern hat Ikea
wieder seine Pforten geöffnet.",00:00:13.080,00:00:17.560
"300 Leute stehen dicht an dicht,
warten auf die Öffnung des Ladens.",00:00:17.760,00:00:23.400
"Beklöppt, wie der Schwede sagt.",00:00:24.000,00:00:26.440
"Auch Frisöre dürfen endlich ihrer
systemrelevanten Arbeit nachgehen.",00:00:26.560,00:00:31.440
Höchste Zeit.,00:00:31.600,00:00:32.880
"Letzte Woche sahen wir alle aus
wie Pornodarsteller aus den 70ern.",00:00:33.040,00:00:37.640
Hier ein Bild von mir von Sonntag.,00:00:37.760,00:00:40.400
"Jetzt sehen viele ihren Partner
das erste Mal wieder ohne Matte.",00:00:40.520,00:00:44.920
"""Ach, du bist das?",00:00:45.040,00:00:46.680
"Ich hab mich schon gefragt,
warum ist der Wischmopp so schwer.""",00:00:46.840,00:00:51.120
"Gestern verständigten sich
die Ministerpräsidenten",00:00:51.200,00:00:54.600
"mit Kanzlerin Merkel
über das weitere Vorgehen.",00:00:54.720,00:00:58.200
"Die hat konsequenterweise gesagt:
""Macht doch einfach, was ihr wollt.""",00:00:58.280,00:01:03.880
"Schließlich haben wir
Föderalismus in Deutschland.",00:01:04.040,00:01:07.440
"Der ist nicht nur dazu da,",00:01:07.600,00:01:09.560
"sich über die PISA-Ergebnisse
der Bundesländer lustig zu machen.",00:01:09.640,00:01:14.040
"Jetzt macht jeder,
wie er es für richtig hält.",00:01:14.160,00:01:17.360
"Es gibt aber
einen Notfallmechanismus:",00:01:17.480,00:01:20.200
"Wenn die Zahlen in einem Landkreis
steigen, dann wird entschieden,",00:01:20.280,00:01:24.760
"wie Lockerungen
zurückgenommen werden.",00:01:24.880,00:01:27.520
"Dann müssen wir zwei Schritte
zurückgehen, und dann wieder vor.",00:01:27.640,00:01:31.920
"Damit hätten wir
den Sommertanz 2020: den Corona.",00:01:32.040,00:01:35.720
"Einen Schritt vor, zwei zurück, zur
Seite, nach vorne, fünf nach hinten,",00:01:35.840,00:01:40.760
"einmal drehen, Cha-Cha-Cha.",00:01:40.880,00:01:43.000
"Viele Ministerpräsidenten hatten
schon Lockerungen bekanntgegeben.",00:01:43.160,00:01:47.600
"Das zeigt doch, wie effizient
unsere Politik derzeit arbeitet.",00:01:47.720,00:01:51.880
Für Mittwoch eine Konferenz ansetzen,00:01:51.960,00:01:54.480
"und dann die Ergebnisse
schon Tage vorher verkünden.",00:01:54.560,00:01:58.200
Respekt!,00:01:58.280,00:01:59.520
"Es preschen Länder voran, von
denen man es nicht gedacht hätte.",00:01:59.600,00:02:03.800
Niedersachen zum Beispiel.,00:02:03.920,00:02:05.840
"SPD-Ministerpräsident Stephan Weil
war eigentlich eher zurückhaltender.",00:02:05.960,00:02:10.840
"Dass er jetzt für sein Land
Lockerungen in Aussicht gestellt hat:",00:02:10.960,00:02:15.600
"Er hat sich nur
über die anderen geärgert.",00:02:15.720,00:02:18.600
