text,start,stop
"Damit rufe ich auf die Tagesordnungspunkte
15 a und 15 b: Beratung der Anträge der",00:00:00.860,00:00:08.500
"Fraktion der AfD mit den Titeln Grundrechten
trotz Corona wieder Geltung verschaffen",00:00:08.500,00:00:15.100
"Versammlungs- und Religionsfreiheit auch
während einer epidemischen Lage sichern",00:00:15.460,00:00:19.460
"sowie Grundrechten wieder Geltung verschaffen
Keine Datensammlung durch eine Corona-App",00:00:19.860,00:00:25.420
"Für die Aussprache wurde eine Dauer von
60 Minuten beschlossen.",00:00:26.980,00:00:31.060
"Wechseln Sie zügig Ihre Plätze und unter
Beachtung der Abstandsregeln.",00:00:43.500,00:00:49.180
"Bedenken Sie, dass wir eine lange Tagesordnung
haben und dass morgen in Berlin gesetzlicher",00:00:50.020,00:00:54.700
"Feiertag ist. Manche wollen noch nach Hause
fahren.",00:00:54.700,00:00:58.060
"Wenn Sie soweit wieder bereit sind die Debatte
zu führen,",00:01:00.980,00:01:05.820
"eröffne ich die Aussprache und erteile das Wort der
Kollegin Beatrix von Storch, AfD.",00:01:09.340,00:01:13.340
Herr Präsident!,00:01:21.700,00:01:22.860
Meine Damen und Herren!,00:01:22.860,00:01:24.220
"Das Frühjahr 2020 wird lange in Erinnerung
bleiben. Sechs Wochen lang wurde Deutschland",00:01:24.620,00:01:29.780
"praktisch von einem Notstandsregime geführt,
das in der Geschichte der Bundesrepublik",00:01:30.020,00:01:34.740
"ohne Beispiel ist. Unser Antrag will das
in Zukunft verhindern. Regiert wurde Deutschland",00:01:34.780,00:01:40.340
"de facto von der Bundeskanzlerin und den
Ministerpräsidenten auf dem Verordnungswege",00:01:40.340,00:01:45.940
"ohne echte parlamentarische Kontrolle. Das
Grundgesetz kennt einen solchen Notstand",00:01:45.940,00:01:51.860
"nur für den Verteidigungsfall, nicht für
den Fall einer Epidemie. Für den Coronaausnahmezustand",00:01:51.860,00:01:57.820
"mit einer so weitreichenden Außerkraftsetzung
der Grundrechte gibt es in der Verfassung",00:01:58.820,00:02:04.660
"keine Grundlage. Das Grundgesetz erlaubt
zwar die Einschränkung von Grundrechten",00:02:04.660,00:02:10.060
"zum Schutze anderer Güter, zum Beispiel
natürlich zum Schutz der Gesundheit, das",00:02:10.060,00:02:15.420
"aber nur nach strengen Regeln der Verhältnismäßigkeit
und in jedem Einzelfall. Unter dem Eindruck",00:02:15.420,00:02:20.820
"der Coronakrise hat die Exekutive in die
Grundrechte so drastisch und so pauschal",00:02:20.820,00:02:26.180
"eingegriffen, dass diese Verhältnismäßigkeit
massiv verletzt worden ist. Jeder Tag, an",00:02:26.180,00:02:31.540
"dem dieser Zustand andauert, untergräbt
das Fundament unserer Demokratie und unseres",00:02:31.540,00:02:36.940
"Rechtsstaates. Die Bundeskanzlerin hat die
notwendige Debatte über den Lockdown und",00:02:36.940,00:02:42.300
"die Lockerung, wie wir alle wissen, als
Öffnungsdiskussionsorgie",00:02:42.300,00:02:47.700
"denunziert. Das zeigt ihr tief gestörtes
Verhältnis zu Rechtsstaat und Grundgesetz.",00:02:50.020,00:02:57.300
"Die AfD-Fraktion hat sich bereits vor Ostern
für eine zügige Aufhebung der Beschränkungen",00:02:58.300,00:03:04.900
"ausgesprochen. Die Bundesländer schwenken
in den letzten Tagen auf diesen Kurs ein.",00:03:04.900,00:03:10.660
"Dass sie Merkels Seuchenregiment die Gefolgschaft
aufgekündigt haben, ist ein Befreiungsschlag.",00:03:10.660,00:03:16.420
"Es ist richtig, die Hauptverantwortung liegt
bei den Ländern;",00:03:16.620,00:03:22.380
"aber der Bundestag kann sich nicht auf die
Rolle des Zuschauers zurückziehen. Es ist",00:03:22.380,00:03:28.140
"unsere Aufgabe, der Bundesregierung für
ihre Gespräche mit den Ländern einen klaren",00:03:28.140,00:03:33.860
"Auftrag zu erteilen. Wir fordern Mustervorschriften
für die Parlamente für verhältnismäßige",00:03:33.860,00:03:39.620
"Entscheidungen statt der bis heute waltenden
politischen Willkür der Exekutive. Die",00:03:39.620,00:03:45.380
"Außerkraftsetzung der Grundrechte war ein
gefährlicher Präzedenzfall, der sich nie",00:03:45.380,00:03:51.140
"wiederholen darf. Die politischen, ökonomischen,
sozialen und kulturellen Folgen betreffen",00:03:51.140,00:03:58.340
"die gesamte deutsche Nation. Dass die Kirchen
in diesem Jahr zu Ostern leer bleiben mussten,",00:03:58.340,00:04:05.540
"das ist keine Fußnote das ist ein Symbol
für die tiefe Krise unserer christlichen",00:04:05.540,00:04:12.700
"Kultur in Zeiten der völligen moralischen
Beliebigkeit. Dass nur drei Wochen nach",00:04:12.700,00:04:19.900
"Ostern das Bundesverfassungsgericht die
Gottesdienste für die Muslime zum Ramadan",00:04:19.980,00:04:26.540
"erlaubt hat, beweist: Unsere Ostergottesdienste
hätten auch stattfinden können und müssen.",00:04:26.540,00:04:33.100
"Ihr Verbot war reine Willkür. Es ist das
Ergebnis der Gleichgültigkeit und der Respektlosigkeit",00:04:33.100,00:04:39.340
"zu großer Teile der Politik gegenüber
unserer eigenen christlichen Kultur. Die",00:04:39.380,00:04:44.180
"gegenwärtigen Lockerungsmaßnahmen bedeuten
nun aber keinen Schutz für die Grundrechte",00:04:44.180,00:04:49.020
in der Zukunft;,00:04:49.020,00:04:51.460
"denn die Exekutive behält sich ja vor,
bei einer undefinierten zweiten Welle zum",00:04:51.500,00:04:56.100
"Seuchenregiment zurückzukehren. Die Grundrechte
sind der Schutzschirm der Bürger gegen",00:04:56.460,00:05:01.140
"den Staat und stehen deswegen nicht im Belieben
der Regierung. Was passiert, wenn der Schutzschirm",00:05:01.140,00:05:05.820
"reißt, haben wir in den letzten Wochen
gesehen: das Ende der Versammlungsfreiheit,",00:05:05.820,00:05:10.500
"das Ende der Glaubensfreiheit und die hunderttausendfache
Zerstörung bürgerlicher Existenzen. Wir",00:05:10.500,00:05:15.180
"lassen uns die Grundrechte nicht nehmen,
nicht in der Coronakrise und auch in keiner",00:05:15.180,00:05:19.860
"anderen Krise, nicht von dieser Regierung
und auch von keiner anderen. Ostern ist",00:05:19.860,00:05:24.540
ausgefallen. Weihnachten werden wir feiern.,00:05:24.540,00:05:26.860
"Nächster Redner ist der Kollege Philipp
Amthor, CDU/CSU. Herr",00:05:45.900,00:05:49.900
Präsident!,00:05:55.660,00:05:57.380
Liebe Kolleginnen und Kollegen!,00:05:57.380,00:05:59.100
"Ja, wir haben es mit den wohl intensivsten
Freiheitsbeschränkungen in der Geschichte",00:05:59.140,00:06:06.060
"des Grundgesetzes zu tun, und es ist richtig
und es ist legitim, dass man sie hinterfragt,",00:06:06.060,00:06:13.060
"dass man sie gegebenenfalls auch kritisiert,
und es ist richtig, dass wir das hier im",00:06:13.340,00:06:17.900
"Parlament tun. Das Parlament ist genau der
richtige Ort dieser Debatte. Das Parlament",00:06:17.900,00:06:22.460
"muss aber vor allem auch der Ort einer anständigen
Diskussion über die Verfassung und eines",00:06:22.460,00:06:27.020
"vernünftigen Umgangstons sein, und den
haben Sie völlig verfehlt, Frau Kollegin",00:06:27.020,00:06:31.580
von Storch.,00:06:31.580,00:06:33.860
"Liebe Kolleginnen und Kollegen, der Antrag
der AfD entlarvt sich doch schon dem Titel",00:06:38.420,00:06:45.940
"nach: Grundrechten trotz Corona wieder Geltung
verschaffen. Das insinuiert doch quasi schon,",00:06:45.940,00:06:53.500
"die Grundrechte würden nicht gelten. Sie
reden hier von einer Aussetzung der Grundrechte,",00:06:53.780,00:06:58.780
"von einem Seuchenregiment, und ich sage
Ihnen: Von diesem Wording, von dieser Logik",00:06:58.780,00:07:03.780
