text,start,stop
"Hallo, herzlich willkommen zu
HIRSCHHAUSEN ZU HAUS.",00:00:00.100,00:00:04.612
Eine intensive Woche liegt hinter mir.,00:00:04.612,00:00:07.920
"Danke für alle eure tollen Rückmeldungen
zu meiner Doku im WDR-Fernsehen,
HIRSCHHAUSEN AUF INTENSIV.",00:00:07.920,00:00:14.100
"Ganz, ganz viele berührende Meldungen auf Facebook, auf insta, da schreiben Leute:",00:00:14.100,00:00:21.440
"""Eine großartige Reportage, sehr beeindruckend, emotional und nahbar und unaufgeregt.""",00:00:21.440,00:00:26.720
Und genau das wollte auch das ganze Team.,00:00:26.720,00:00:30.080
Und wer sie noch nicht gesehen hat: Sie ist in der Mediathek und freut sich auf Verbreitung.,00:00:30.080,00:00:36.400
"Das Leben geht weiter und ich war für
euch ein bisschen unterwegs letzte Woche,",00:00:36.400,00:00:41.770
in Aachen und in Heinsberg.,00:00:41.770,00:00:44.420
"Warum Aachen?
Weil es da die Heilige Corona gibt.",00:00:44.420,00:00:46.420
Wusstet ihr das?,00:00:46.420,00:00:48.140
Warum Corona gegen Corona helfen soll?,00:00:48.140,00:00:50.980
"Das ist tatsächlich ein lustiger Zufall,
dass ich ausgerechnet an dem Namenstag von ihr",00:00:50.980,00:00:55.540
"in Aachen war, wo ihre Gebeine liegen.",00:00:55.540,00:00:58.840
"Und ich fand heraus: Sie ist die Schutzheilige
gegen Seuchen, die von Tieren kommen.",00:00:58.840,00:01:03.430
Holla! Haben die vor 2.000 Jahren schon mehr gewusst als Bill Gates und alle Verschwörungstheorien heute?,00:01:03.430,00:01:09.860
"Nein, das ist natürlich Quatsch.",00:01:09.860,00:01:11.360
"""Rosinenpickerei"" nennt man das.",00:01:11.360,00:01:12.860
"Man sucht sich einen Aspekt heraus,
der einem in den Kram passt.",00:01:12.860,00:01:15.240
Die Heilige Corona ist nur ein Nebenjob.,00:01:15.240,00:01:17.920
"Die Patronin der Tierseuche ist eigentlich zuständig
für Geld, Fleischer und Schatzgräber.",00:01:17.920,00:01:22.660
"Hab' ich gerade ""Fleischer"" gesagt?!",00:01:22.660,00:01:24.421
Oh. Jetzt wird's mir selber unheimlich.,00:01:24.421,00:01:26.160
"Denn die sollen ja gerade neue Gesetze bekommen,
für die Schlachthöfe, und vor allem für die Mitarbeiter.",00:01:26.160,00:01:33.160
"Und deswegen ist das hier auch nicht so richtig, die Schlagzeile ""Grüne wollen unser Fleisch teurer machen"".",00:01:33.160,00:01:39.540
Es geht um das Fleisch von den Tieren!,00:01:39.540,00:01:41.760
Wir haben aber in den letzten Tagen wieder ziemlich gruselige Dinge aus der Massentierhaltung gehört.,00:01:41.760,00:01:46.820
Es ist und bleibt einfach eine Sauerei.,00:01:46.820,00:01:49.580
"Und mehr für das Fleisch bezahlen und
weniger davon essen, ist für alle Beteiligten das Beste.",00:01:49.580,00:01:55.160
"Das wollen nicht nur die Grünen, sondern auch
die Arbeiter, die Rinder, die Schweine, die Hühner,",00:01:55.160,00:02:00.460
"der Boden, der keinen Güllescheiß mehr schicken will, und die Atmosphäre und Mutter Erde und alle,",00:02:00.460,00:02:05.340
die mal ein bisschen darüber nachgedacht haben.,00:02:05.340,00:02:07.640
Weniger Fleisch ist mehr Lebensqualität.,00:02:07.640,00:02:11.200
Diese Woche ist auch Tag der Artenvielfalt.,00:02:11.200,00:02:13.660
Dazu sage ich am Freitag noch etwas.,00:02:13.660,00:02:16.260
"Die industrielle Landwirtschaft ist einer der Hauptkiller für Artenvielfalt, für die tropischen Wälder,",00:02:16.260,00:02:22.600
"für kleine Betriebe, und und und.",00:02:22.600,00:02:24.920
"Bei uns, in Deutschland und Europa, aber auch weltweit.",00:02:24.920,00:02:28.040
"Und deswegen war ich letzte Woche auch
in Aachen, um mit Misereor
den Ökumenischen Kirchentag vorzubereiten.",00:02:28.040,00:02:34.280
Pirmin Spiegel hat gerade ein bemerkenswertes Gespräch mit einem der Vorstände von Bayer gehabt.,00:02:34.280,00:02:41.680
Und hier ist dieser Artikel verlinkt.,00:02:41.680,00:02:44.820
Und dann bin ich nach Heinsberg.,00:02:44.820,00:02:47.410
Der Landrat Stephan Pusch hatte mich eingeladen.,00:02:47.410,00:02:49.740
Ihm gefiel die Doku HIRSCHHAUSEN AUF INTENSIV.,00:02:49.740,00:02:52.580
"Und mich interessierte natürlich, wie der Ort, der",00:02:52.580,00:02:55.120
"als allererstes mit Covid-19 zu tun hatte, mit
1.800 bestätigten Infektionen und 68 Todesfällen,",00:02:55.120,00:03:02.040
wie der heute darauf schaut.,00:03:02.040,00:03:05.260
"Und wie hat Heinsberg es geschafft, dass da keine Spinner auf den Straßen demonstrieren,",00:03:05.260,00:03:07.260
sondern dass alle mit anpacken?,00:03:07.260,00:03:11.260
Ein Schlüssel: gute Kommunikation.,00:03:11.260,00:03:12.824
"Und so ist der Landrat auch nebenbei
zum Social Media-Experten geworden.",00:03:12.824,00:03:16.651
"Weil er einfach so in die Kamera redet,
als wären alle im Krisenstab mit dabei.",00:03:16.651,00:03:21.540
"Ich war Donnerstag da,",00:03:21.540,00:03:22.810
"und Freitag wurde bekannt, dass es
bei einem Paketdienstleister gehäuft Infektionen gibt.",00:03:22.810,00:03:27.480
Es ist also lange noch nicht vorbei.,00:03:27.480,00:03:29.540
"Deswegen auch ein kleiner Ausschnitt
aus diesem vor Ort-Gespräch.",00:03:29.540,00:03:33.080
"Denn ich finde es spannend,
den Leuten auch mal zuzuhören,",00:03:33.080,00:03:36.940
"die die ganz große Politik dann
vor Ort ganz konkret umsetzen.",00:03:36.940,00:03:41.600
"Also, das war es von HIRSCHHAUSEN ZU HAUS.",00:03:41.600,00:03:43.556
Jetzt schalten wir um nach Heinsberg.,00:03:43.556,00:03:45.420
"Und wir sehen uns dann am Freitag wieder,
am Tag der Artenvielfalt.",00:03:45.420,00:03:47.420
Ciao!,00:03:47.420,00:03:49.760
"Ja, liebe Mitbürgerinnen und Mitbürger,
jetzt ist hier Push TV angesagt.",00:03:49.760,00:03:55.120
"Normalerweise bringe ich ja jetzt immer
die aktuellen Zahlen.",00:03:55.120,00:03:57.900
"Da werden wir mit Sicherheit auch gleich
noch mal drauf zu sprechen kommen,",00:03:57.900,00:04:00.740
weil es schon spannend ist.,00:04:00.740,00:04:01.900
"Wir sind zum ersten Mal jetzt auf einem Level,
wo ich sage: wieder ein kleiner Meilenstein.",00:04:01.900,00:04:06.250
"Aber ich habe die Tage eine tolle Sendung
im WDR gesehen, mit meinem Gesprächspartner hier.",00:04:06.250,00:04:13.150
"Ich glaub', den brauche ich nicht ausdrücklich vorzustellen.",00:04:13.150,00:04:16.510
"Ich glaub', wer Eckart von Hirschhausen nicht kennt,
der hat die Welt verpennt.",00:04:16.510,00:04:19.419
"Nee, Spaß beiseite. Was ich ganz toll finde,
ist, dass er es wirklich schafft,",00:04:19.419,00:04:24.460
"als Fachmann, als gelernter Mediziner,",00:04:24.460,00:04:27.300
"trotzdem ein Infotainment zu machen,
was man wirklich versteht,",00:04:27.300,00:04:30.340
und einfach die Disziplinen zusammenzubringen.,00:04:30.340,00:04:32.830
"Er hat zum Beispiel sehr früh Humor
und den Einfluss auf die Heilung untersucht.",00:04:32.830,00:04:36.190
"Das ist ja auch meine These:
Wer viel lacht, bleibt länger gesund.",00:04:36.190,00:04:38.760
"Gerade in der jetzigen Zeit brauchen wir alle,
glaube ich, auch unseren Humor.",00:04:38.760,00:04:41.860
"Aber er hat eine ganz tolle Sendung gemacht,
wo es bei mir oft KLICK gemacht hat,",00:04:41.860,00:04:45.440
"und die ich einfach nur empfehle, sich mal anzugucken, nämlich: HIRSCHHAUSEN AUF INTENSIV.",00:04:45.440,00:04:50.160
"So heißt die Sendung, richtig?",00:04:50.160,00:04:51.760
"Genau. Ja, Sie haben sich dann bei mir gemeldet.",00:04:51.760,00:04:54.640
"Und ich wollte ursprünglich für die Dokumentation
auch hier in Heinsberg drehen.",00:04:54.650,00:04:58.460
Da hatten Sie aber gerade eine Menge zu tun und nicht so wahnsinnig viele Nerven für noch ein Fernsehteam.,00:04:58.460,00:05:05.422
Was ich im Nachhinein gut verstehen kann.,00:05:05.422,00:05:07.610
"Aber es freut mich, so aus erster Hand von Ihnen so eine Wertschätzung für die Arbeit der Dokumentation.",00:05:07.610,00:05:14.880
"Weil da auch ganz viel von dem Herzblut von mir, von dem Team und natürlich auch von den Mitarbeitern",00:05:14.880,00:05:20.540
im Gesundheitswesen drinsteckt.,00:05:20.540,00:05:23.100
"Und die werden im Moment so gefühlt für mich
so ein bisschen auch vergessen.",00:05:23.100,00:05:26.400
"Am Anfang war allen klar, wie wichtig die Pflege ist.",00:05:26.400,00:05:30.507
"Da gab es auf dem Balkon Standing Ovations,",00:05:30.507,00:05:34.860
"da gab es viele, viele Äußerungen zu.",00:05:34.860,00:05:38.400
"Und jetzt, während es für den einen Teil der Republik gar nicht schnell genug wieder gelockert werden kann,",00:05:38.400,00:05:44.120
"wollte ich ein Zeichen setzen, dass unaufgeregt
einfach zeigt: Was passiert im Krankenhaus.",00:05:44.120,00:05:50.860
Und das war ja nun eine Uniklinik.,00:05:50.860,00:05:53.020
"Und deswegen interessiert mich auch sehr:
Wie ist denn die Situation hier in Krankenhäusern?",00:05:53.020,00:05:55.880
"Also ich hab' jetzt in den letzten Tagen, 
das deckt sich mit dem, was ich auch empfinde,",00:05:55.880,00:06:01.060
"zwei Krankenhäuser schon besucht,
morgen ist das dritte dran.",00:06:01.060,00:06:03.470
"Um einfach mal dem Personal, was jetzt
tatsächlich 'ne etwas relaxtere Situation hat,",00:06:03.470,00:06:07.780
"auch die Ärzte, das Personal ist etwas relaxter im Moment.",00:06:07.780,00:06:09.900
"Die sagen auch: Liebe Leute, die ihr jetzt Operationen aufgeschoben habt, kommt jetzt wieder.",00:06:09.900,00:06:14.200
Wir haben jetzt wieder Kapazitäten.,00:06:14.200,00:06:15.320
"Aber mir sagen auch gestandene Pfleger, gestandene Ärzte: So eine Situation hatten wir noch nicht.",00:06:15.320,00:06:20.060
"In ihrer ganzen Lebensgeschichte noch nicht,",00:06:20.060,00:06:22.160
wie wir in diesen paar Wochen hatten.,00:06:22.160,00:06:23.347
Und das müssen wir nicht unbedingt noch mal haben.,00:06:23.347,00:06:25.840
"Und das ist einfach vielleicht
auch ein bisschen die Gefahr:",00:06:25.840,00:06:28.080
"Dass jetzt sehr vieles, auch gerade,
was wir die ersten Wochen wirklich getan haben,",00:06:28.080,00:06:31.849
"unter einer wahnsinnigen Dramatik,",00:06:31.849,00:06:33.260
jetzt sehr schnell relativiert wird.,00:06:33.260,00:06:35.288
"Was waren denn Ihre Kick-Momente, wo haben Sie gesagt: ""Ach Mensch, das kenne ich von hier.""",00:06:35.288,00:06:38.920
"Ja also zum Beispiel,
wenn Klinikleitungen vor mir stehen und sagen,",00:06:38.920,00:06:42.620
"""Also, Sie können sich nicht vorstellen, Herr Pusch, wie anstrengend das ist mit dem ganzen Intubieren.",00:06:42.620,00:06:47.000
Was wir da auch wirklich von Tag zu Tag lernen.,00:06:47.000,00:06:48.620
"Wie wichtig es ist, dass unser medizinisches Personal",00:06:48.620,00:06:51.680
"wirklich auch
unter entsprechender Schutzausrüstung arbeitet.",00:06:51.680,00:06:53.960
"Weil, das haben Sie ja auch sehr plastisch
in der in der Studie gezeigt, was da passiert,",00:06:53.960,00:06:57.120
"wenn jemand intubiert wird,
wenn gesäubert werden muss und dergleichen.",00:06:57.120,00:06:59.120
"Und die ganze Dramatik - fragt man sich ja manchmal
im Nachhinein, wenn's wieder ruhiger wird:",00:06:59.120,00:07:04.120
"Mensch, war das wirklich so schlimm?",00:07:04.120,00:07:05.520
Was ja eine komische Frage ist.,00:07:05.520,00:07:06.860
"Weil man kann sich dann irgendwie
noch ganz gut an den Stress erinnern.",00:07:06.860,00:07:09.220
"Aber da müssen wir glaube ich jetzt auch aufpassen,",00:07:09.220,00:07:11.400
"dass wir jetzt nicht in so eine
""business as usual""-Situation reinkommen.",00:07:11.400,00:07:16.240
Ja bundesweit sind laut Robert Koch-Institut mindestens 11.000 Pflegende,00:07:16.240,00:07:22.000
und andere Gesundheitsberufe selbst infiziert.,00:07:22.000,00:07:25.580
"Es sind auch Todesfälle in Deutschland,",00:07:25.580,00:07:28.600
weltweit natürlich viele tausende.,00:07:28.600,00:07:30.789
"Und, das ist finde ich auch wichtig zu sagen:
Das war jetzt keine Überreaktion,",00:07:30.789,00:07:36.260
"sondern das war am Anfang ja auch nicht abzuschätzen, wie schnell sich das noch",00:07:36.260,00:07:40.680
exponentiell weiter verbreitet.,00:07:40.689,00:07:44.260
"Was war ihre schlafloseste Nacht
in den letzten acht Wochen?",00:07:44.260,00:07:48.720
"Also am Anfang habe ich fast nur
schlaflose Nächte gehabt.",00:07:48.720,00:07:52.569
"Keine Beatmungskapazitäten,
nicht genügend Schutzausrüstung,",00:07:52.569,00:07:56.900
"wirklich keine Verlegungsmöglichkeiten
in andere Kliniken.",00:07:56.900,00:08:00.075
"Das hat alles sehr, sehr lange gedauert,
bis wir Blaupause geworden sind,",00:08:00.080,00:08:04.000
bis es jetzt auch wirklich funktioniert.,00:08:04.000,00:08:05.680
"Und natürlich muss man heute auch sagen,",00:08:05.680,00:08:08.340
wir haben dann beispielsweise hier in der Region Aachen mit den Kliniken zusammengesessen,00:08:08.340,00:08:11.620
"und wollten die Beatmungskapazitäten
auf das Doppelte ausbauen.",00:08:11.620,00:08:14.820
Davon ist heute nicht mehr die Rede.,00:08:14.820,00:08:16.380
"Es war ja auch sehr eindrucksvoll,
dass Sie gesagt haben:",00:08:16.380,00:08:17.914
"Wir haben immer das getan, was man mit bestem Wissen und Gewissen in der Situation macht,",00:08:17.914,00:08:22.089
"um italienische, spanische Verhältnisse",00:08:22.089,00:08:23.680
"- das ist ja tatsächlich passiert,
das ist ja keine Einbildung -",00:08:23.680,00:08:25.820
zu verhindern.,00:08:25.820,00:08:26.860
"Und vielleicht bringt gerade, dass uns das so gut gelungen ist, jetzt wieder die auf den Plan,",00:08:26.860,00:08:30.707
"die sagen: war alles gar nicht nötig,
ihr habt das dramatisiert, und und und.",00:08:30.707,00:08:34.315
"Und ich krieg' dann hier eine Zuschrift,
die mich dann auch wirklich umgehauen hat,",00:08:34.320,00:08:38.520
"wo ich gedacht habe,
das glaube ich jetzt eigentlich nicht.",00:08:38.520,00:08:40.700
"Wo bei ganz vernünftigen Menschen wie du und ich
von Zwangsimpfungen die Rede ist und davon,",00:08:40.700,00:08:47.230
