text,start,stop
"Liebe Hallenserinnen, liebe Hallenser,
liebe Medienvertreter, einen schönen",00:00:10.579,00:00:14.909
"Sonntag aus dem Ratshof, ich begrüße Sie
zu unserem täglichen Livestream zum",00:00:14.909,00:00:20.460
"Thema Corona. Im Podium der
Oberbürgermeister Dr. Bernd Wiegand, die",00:00:20.460,00:00:26.099
"Leiterin des Gesundheitsamtes, Amtsärztin Dr. 
Christine Gröger und die Beigeordnete",00:00:26.099,00:00:31.949
"für Bildung und Soziales, Katharina
Brederlow. Zunächst die Statements",00:00:31.949,00:00:36.680
"anschließend die Fragerunde, und ich
übergebe an den Oberbürgermeister. Bitteschön.",00:00:36.680,00:00:41.190
"(Das Statement des Oberbürgermeisters
ist nachzulesen unter www.halle.de.)",00:00:41.200,00:11:38.200
Dr. Christine Gröger: Auch ich begrüße Sie,00:11:38.240,00:11:45.920
"zur Pressekonferenz am heutigen Sonntag.
Ich habe zwei wesentliche Informationen.",00:11:46.290,00:11:50.400
"Das eine noch mal vielleicht ergänzend
zu den Ausführungen von Herrn",00:11:50.400,00:11:54.030
"Oberbürgermeister was die Pflegeheime
angeht, wir werden uns natürlich jetzt",00:11:54.030,00:11:57.510
"Anfang der Woche ganz verstärkt auf die
Kontrollen und Abstrichentnahmen in den",00:11:57.510,00:12:02.940
"Pflegeheimen konzentrieren, die jetzt
positiv getestete Mitarbeiter vorweisen,",00:12:02.940,00:12:09.630
um da das Ausmaß noch mal einzuschätzen,00:12:09.630,00:12:13.790
und entsprechende Schutzmaßnahmen ganz gezielt auch zu überprüfen und umzusetzen.,00:12:13.790,00:12:18.350
"Und das zweite, was vielleicht für alle
anderen auch ganz wichtig und von",00:12:18.350,00:12:23.210
"Bedeutung ist: Ab Montag ist es nicht
mehr möglich, sich telefonisch beim",00:12:23.210,00:12:29.900
"Hausarzt zu melden und eine
Arbeitsunfähigkeitsbescheinigung per",00:12:29.900,00:12:35.600
"Telefonanruf zu erhalten. Ab morgen ist
es also wieder erforderlich,",00:12:35.600,00:12:41.450
"persönlich in der Arztpraxis zu
erscheinen.",00:12:41.450,00:12:44.540
"Das entbindet die Einzelnen nicht davon,
dass sie, wenn sie Kontakt zu einer",00:12:44.540,00:12:49.430
"positiv getesteten Person hatten oder
aufgrund einer Reisetätigkeit oder",00:12:49.430,00:12:54.590
"irgendeiner anderen Ursache der Meinung
sind, sie könnten covid positiv sein, dass",00:12:54.590,00:13:00.200
