text,start,stop
of of,00:00:00.433,00:00:04.937
of of this,00:00:04.937,00:00:09.842
of of of of,00:00:09.842,00:00:22.121
"of of of of house of blues of of
of a of",00:00:22.121,00:00:37.336
of of of of of the,00:00:37.336,00:00:40.673
of,00:00:40.673,00:00:42.475
an,00:00:42.475,00:00:47.913
aunt of,00:00:47.913,00:00:51.917
force and,00:00:51.917,00:00:56.923
not make the,00:00:56.923,00:01:01.361
the same as the end of,00:01:01.361,00:01:05.364
the facts of this as,00:01:05.364,00:01:10.336
a foundation of Santa,00:01:10.336,00:01:14.974
has fashioned a variant of,00:01:14.974,00:01:17.277
"that,",00:01:17.277,00:01:20.145
and he has,00:01:20.145,00:01:29.355
this have to have,00:01:29.355,00:01:40.200
"come to the forefront ruled no
place for common sense to the
suns the",00:01:40.200,00:01:41.768
info as 2020,00:01:41.768,00:01:44.237
bodies might dish out,00:01:44.237,00:01:47.139
which can only mean one thing,00:01:47.139,00:01:49.842
programme,00:01:49.842,00:01:55.314
"you are watching the Conejo,
which discusses policies social
issues",00:01:55.314,00:01:58.117
my name is my de,00:01:58.117,00:01:58.650
my name is my de chat,00:01:58.650,00:01:59.418
"through the prism of common
sense",00:01:59.418,00:01:59.985
my name is my de Charles,00:01:59.985,00:02:00.586
my name is mine de chacal,00:02:00.586,00:02:00.919
my name is,00:02:00.919,00:02:01.520
my name is mine de chacal,00:02:01.520,00:02:02.221
de Challes,00:02:02.221,00:02:02.788
de Challes you are,00:02:02.788,00:02:03.322
de Challes you are we,00:02:03.322,00:02:03.856
de Challes you are one,00:02:03.856,00:02:04.423
de Challes you are watch,00:02:04.423,00:02:04.890
de Challes you are,00:02:04.890,00:02:05.557
we see take it with us in the,00:02:05.557,00:02:06.191
de Challes you are watching,00:02:06.191,00:02:06.458
on to,00:02:06.458,00:02:08.961
resets,00:02:08.961,00:02:11.797
"de Challes you are watching on
parle de prison",00:02:11.797,00:02:12.265
what it all these,00:02:12.265,00:02:16.168
"de Challes you are watching on
parle de prison oui",00:02:16.168,00:02:17.837
"the crusty old office says you
know",00:02:17.837,00:02:20.773
"de Challes you are watching on
parle de prison oui tu",00:02:20.773,00:02:20.873
"de Challes you are watching on
parle de prison oui taux",00:02:22.007,00:02:23.008
"if you've been watching the
school room before",00:02:23.008,00:02:24.243
"de Challes you are watching on
parle de prison oui taux oui",00:02:24.243,00:02:25.544
"de Challes you are watching on
parle de prison oui taux oui ça",00:02:25.544,00:02:26.779
"de Challes you are watching on
parle de prison oui taux oui",00:02:26.779,00:02:28.080
"de Challes you are watching on
parle de prison oui taux oui ça",00:02:28.080,00:02:28.914
"parle de prison oui taux oui
c'est ça",00:02:28.914,00:02:29.748
"prison oui taux oui c'est ça
WhatsApp",00:02:29.748,00:02:30.582
"prison oui taux oui c'est ça
what are",00:02:30.582,00:02:31.483
"prison oui taux oui c'est ça
what are you",00:02:31.483,00:02:32.251
"prison oui taux oui c'est ça
what",00:02:32.251,00:02:33.152
"prison oui taux oui c'est ça
what are is",00:02:33.152,00:02:34.153
"prison oui taux oui c'est ça
what are is steak",00:02:34.153,00:02:35.187
"prison oui taux oui c'est ça
what are is stick of",00:02:35.187,00:02:36.421
"prison oui taux oui c'est ça
what are is stick of a fait",00:02:36.421,00:02:37.456
"prison oui taux oui c'est ça
what are is stick of",00:02:37.456,00:02:38.757
"prison oui taux oui c'est ça
what are is stick of à faire",00:02:38.757,00:02:39.792
"prison oui taux oui c'est ça
what are is stick of",00:02:39.792,00:02:40.993
"prison oui taux oui c'est ça
what are is stick of Dino",00:02:40.993,00:02:43.262
"we do not provide them know so
we know using a Nissan is the
cause was easier to get on to
beat on an information",00:02:43.262,00:02:44.530
"oui taux oui c'est ça what are
is stick of Dino programme",00:02:44.530,00:02:45.931
"model which network you
affiliated with the new
preferred you get",00:02:45.931,00:02:47.132
"taux oui c'est ça what are is
stick of Dino programme",00:02:47.132,00:02:48.066
"your information, we do hear
these sea scouts",00:02:48.066,00:02:54.740
"are those the shows some the
prism of common sense",00:02:54.740,00:02:57.042
stick of Dino programme de,00:02:57.042,00:02:57.743
stick of Dino programme de your,00:02:57.743,00:02:58.410
programme de your information,00:02:58.410,00:03:05.285
"the siege on as before we do
thank you for making this
journey of they'll be lighter
the tide more than",00:03:05.285,00:03:06.152
"programme de your information
quiche au",00:03:06.152,00:03:07.820
"programme de your information
prison",00:03:07.820,00:03:08.620
"programme de your information
prison",00:03:08.620,00:03:09.488
"programme de your information
prison en",00:03:09.488,00:03:10.556
"the siege on us for the first
time once again well,",00:03:10.556,00:03:10.656
"programme de your information
une prison",00:03:11.490,00:03:12.491
"programme de your information
une prison il fait",00:03:12.491,00:03:13.492
"programme de your information
une prison il faut",00:03:13.492,00:03:14.526
"programme de your information
une prison before we",00:03:14.526,00:03:15.694
"programme de your information
une prison before we do",00:03:15.694,00:03:16.895
"programme de your information
une prison before we 12 V",00:03:16.895,00:03:17.930
"programme de your information
une prison before we",00:03:17.930,00:03:19.098
"programme de your information
une prison before we do",00:03:19.098,00:03:19.998
"une prison before we do you
think you for",00:03:19.998,00:03:20.799
"before we do you think you for
making",00:03:20.799,00:03:21.867
"before we do you think you for
making d'espionner",00:03:21.867,00:03:21.967
"think you for making d'espionner
alors",00:03:22.835,00:03:24.603
"though so fresh from rom is not
associated with any political
party and we do for French",00:03:24.603,00:03:25.671
"before we do you think you for
making d'espionner",00:03:25.671,00:03:25.771
"think you for making d'espionner
à la",00:03:26.672,00:03:27.673
"think you for making d'espionner
à la mort",00:03:27.673,00:03:28.507
"for making d'espionner à la
mode",00:03:28.507,00:03:29.475
