text,start,stop
"Guten Tag, Herr Spahn, ",00:00:00.000,00:00:01.380
"vielen vielen Dank, dass Sie sich Zeit für uns genommen haben.",00:00:01.380,00:00:04.040
- Schönen guten Tag. Hallo!,00:00:04.040,00:00:05.640
"- Ja. Sie haben heute gesagt,",00:00:05.640,00:00:08.060
"""die Ruhe vor dem Sturm""",00:00:08.060,00:00:09.980
haben wir gerade.,00:00:09.980,00:00:10.920
Das wäre tatsächlich meine Einstiegsfrage.,00:00:10.920,00:00:12.920
Also wieso sollte der Sturm,00:00:12.920,00:00:15.400
"erst jetzt kommen, ",00:00:15.400,00:00:16.900
"weil gefühlt um uns herum, in den ganzen Ländern",00:00:16.900,00:00:19.080
da ist es ja schon ziemliche Sturmstimmung.,00:00:19.080,00:00:21.380
Also was erwartet uns noch ,00:00:21.380,00:00:22.740
und warum ist es bei uns gerade noch die Ruhe vor dem Sturm?,00:00:22.740,00:00:25.540
"- Wir haben eine besondere Situation, die übrigens viele andere Länder auch fragen lässt, ",00:00:26.340,00:00:29.900
was ist eigentlich los bei euch in Deutschland?,00:00:29.900,00:00:31.560
Wir haben eine realtiv hohe Zahl von erkannten Infektionen,00:00:31.560,00:00:34.440
um die 40.000,00:00:34.440,00:00:35.880
und eine vergleichsweise geringere Zahl,00:00:35.880,00:00:37.880
von auch Todesfällen zu beklagen.,00:00:37.880,00:00:40.060
"Und das zeigt uns, dass wir,",00:00:40.060,00:00:42.060
"weil wir sehr viele Tests machen, ",00:00:42.060,00:00:43.580
wir hatten letzte Woche fast 300.000 Corona-Tests in Deutschland.,00:00:43.580,00:00:47.340
Das ist mehr als jedes andere Land auf der Welt.,00:00:47.340,00:00:49.340
Dass wir also sehr frühzeitig die Entwicklungen,00:00:49.340,00:00:51.740
erkannt haben und erkennen,00:00:51.740,00:00:53.740
und deswegen wahrscheinlich noch relativ,00:00:53.740,00:00:56.220
weit links in der Kurve der Entwicklung sind.,00:00:56.220,00:00:59.100
"Weil wir sehen auch in anderen Ländern, wie schnell es dann gehen kann,",00:00:59.100,00:01:02.440
