text,start,stop
"Guten Tag meine Damen und Herren, ich freue
mich dass wir auch heute wieder",00:00:00.000,00:00:03.720
"gemeinsam sprechen können franziska
wöllner ist bei mir von sachsen",00:00:03.720,00:00:08.400
"fernsehen
die jetzt auch ihre fragen anregungen",00:00:08.400,00:00:13.469
"kritik zu bei vorträgt müssen sortiert
so dass wir diese stunde effektiv nutzen",00:00:13.469,00:00:20.070
"können
wir sind hier auf dem weg wir haben am",00:00:20.070,00:00:23.550
"20 april eine ganze menge von
lockerungen beschlossen haben uns von",00:00:23.550,00:00:28.740
"dort aus ein zeitplan gegeben
vierter mai also heute der nächste große",00:00:28.740,00:00:33.750
"schritt und von hier aus weiter fort
folgen dann weitere punkte haben den 25",00:00:33.750,00:00:40.260
"mai eingeplant
vielleicht kann das ein oder andere auch",00:00:40.260,00:00:43.290
"schon vorher beginnen
wir haben zahlen die sehr ermutigend",00:00:43.290,00:00:47.820
"sind
das virus ist nach wie vor gefährlich es",00:00:47.820,00:00:52.140
"ist auch nach wie vor vorhanden aber die
wahrscheinlichkeit dass einer von uns",00:00:52.140,00:00:56.789
"und sachsen daran erkrankt hat deutlich
abgenommen",00:00:56.789,00:00:59.940
"dieser flächenbrand den wir befürchtet
hatten märz im april den konnten wir",00:00:59.940,00:01:06.650
"stoppen
und wir haben heute erkrankungszahlen",00:01:06.650,00:01:11.189
"von ungefähr 20 manchmal 30 fällen also
sehr sehr wenig das gibt uns die",00:01:11.189,00:01:17.130
"möglichkeit jetzt wieder mehr in die
normalität hineinzukommen",00:01:17.130,00:01:21.780
"und das was unser sächsische
staatsregierung antreibt ist auf der",00:01:21.780,00:01:25.229
"einen seite gesundheit geht vor
immer aber die gesellschaftlichen die",00:01:25.229,00:01:30.000
"wirtschaftlichen kosten die mit den
maßnahmen verbunden sind müssen immer in",00:01:30.000,00:01:34.110
"einem verhältnis stehen und wenn die
wahrscheinlichkeit jetzt so gering",00:01:34.110,00:01:38.759
"geworden ist dass menschen erkranken
müssen wir auch bei der wahl der mittel",00:01:38.759,00:01:44.759
"etwas anders agieren und gehen mit einer
ermöglichung 's haltung in diese ganze",00:01:44.759,00:01:51.600
"diskussion auch jetzt mit der
bundesregierung mit den anderen",00:01:51.600,00:01:54.899
"ministerpräsidenten
wir fragen also nicht mehr was muss",00:01:54.899,00:01:58.530
"alles verboten bleiben
sondern wir fragen was können wir alles",00:01:58.530,00:02:02.560
"ermöglichen was kann alles wieder
beginnen unter welchen bedingungen klare",00:02:02.560,00:02:07.360
