text,start,stop
"A pandemic (from Greek πᾶν pan ""all"" and
δῆμος demos ""people"") is an epidemic",00:00:01.100,00:00:07.300
"of infectious disease that has spread across
a large region; for instance multiple continents,",00:00:07.300,00:00:12.310
or even worldwide.,00:00:12.310,00:00:14.190
"A widespread endemic disease that is stable
in terms of how many people are getting sick",00:00:14.190,00:00:18.570
from it is not a pandemic.,00:00:18.570,00:00:20.370
"Further, flu pandemics generally exclude recurrences
of seasonal flu.",00:00:20.370,00:00:25.210
"Throughout history, there have been a number
of pandemics, such as smallpox and tuberculosis.",00:00:25.210,00:00:30.550
"One of the most devastating pandemics was
the Black Death, which killed over 75 million",00:00:30.550,00:00:35.170
people in 1350.,00:00:35.170,00:00:37.440
"The most recent pandemics include the HIV
pandemic as well as the 1918 and 2009 H1N1",00:00:37.440,00:00:49.050
pandemics.,00:00:49.050,00:00:51.670
== Definition and stages ==,00:00:51.670,00:00:56.319
"A pandemic is an epidemic occurring on a scale
which crosses international boundaries, usually",00:00:56.319,00:01:01.309
affecting a large number of people.,00:01:01.309,00:01:04.409
"Pandemics can also occur in important agricultural
organisms (livestock, crop plants, fish, tree",00:01:04.409,00:01:10.000
species) or in other organisms.,00:01:10.000,00:01:12.840
"The World Health Organization (WHO) has a
six-stage classification that describes the",00:01:12.840,00:01:18.070
"process by which a novel influenza virus moves
from the first few infections in humans through",00:01:18.070,00:01:23.159
to a pandemic.,00:01:23.159,00:01:24.869
"This starts with the virus mostly infecting
animals, with a few cases where animals infect",00:01:24.869,00:01:29.780
"people, then moves through the stage where
the virus begins to spread directly between",00:01:29.780,00:01:33.870
"people, and ends with a pandemic when infections
from the new virus have spread worldwide and",00:01:33.870,00:01:38.340
"it will be out of control until we stop it.A
disease or condition is not a pandemic merely",00:01:38.340,00:01:42.909
"because it is widespread or kills many people;
it must also be infectious.",00:01:42.909,00:01:47.799
"For instance, cancer is responsible for many
deaths but is not considered a pandemic because",00:01:47.799,00:01:52.620
"the disease is not infectious or contagious.In
a virtual press conference in May 2009 on",00:01:52.620,00:01:58.050
"the influenza pandemic, Dr Keiji Fukuda, Assistant
Director-General ad interim for Health Security",00:01:58.050,00:02:03.999
"and Environment, WHO said ""An easy way to
think about pandemic … is to say: a pandemic",00:02:03.999,00:02:09.950
is a global outbreak.,00:02:09.950,00:02:12.360
"Then you might ask yourself: 'What is a global
outbreak'?",00:02:12.360,00:02:15.910
"Global outbreak means that we see both spread
of the agent … and then we see disease activities",00:02:15.910,00:02:20.850
"in addition to the spread of the virus.""In
planning for a possible influenza pandemic,",00:02:20.850,00:02:27.050
"the WHO published a document on pandemic preparedness
guidance in 1999, revised in 2005 and in February",00:02:27.050,00:02:34.440
"2009, defining phases and appropriate actions
for each phase in an aide memoir entitled",00:02:34.440,00:02:39.940
"WHO pandemic phase descriptions and main actions
by phase.",00:02:39.940,00:02:44.500
"The 2009 revision, including definitions of
a pandemic and the phases leading to its declaration,",00:02:44.500,00:02:50.220
were finalized in February 2009.,00:02:50.220,00:02:53.220
"The pandemic H1N1 2009 virus was neither on
the horizon at that time nor mentioned in",00:02:53.220,00:02:59.010
the document.,00:02:59.010,00:03:00.610
All versions of this document refer to influenza.,00:03:00.610,00:03:03.590
"The phases are defined by the spread of the
disease; virulence and mortality are not mentioned",00:03:03.590,00:03:08.170
"in the current WHO definition, although these
factors have previously been included.",00:03:08.170,00:03:19.340
== Current pandemics ==,00:03:19.340,00:03:20.340
=== HIV and AIDS ===,00:03:20.340,00:03:29.320
"HIV originated in Africa, and spread to the
United States via Haiti between 1966 and 1972.",00:03:29.320,00:03:41.090
"AIDS is currently a pandemic, with infection
rates as high as 25% in southern and eastern",00:03:41.090,00:03:46.510
Africa.,00:03:46.510,00:03:47.510
"In 2006, the HIV prevalence rate among pregnant
women in South Africa was 29.1%.",00:03:47.510,00:03:53.570
"Effective education about safer sexual practices
and bloodborne infection precautions training",00:03:53.570,00:03:59.240
"have helped to slow down infection rates in
several African countries sponsoring national",00:03:59.240,00:04:03.710
education programs.,00:04:03.710,00:04:06.320
"Infection rates are rising again in Asia and
the Americas.",00:04:06.320,00:04:09.290
"The AIDS death toll in Africa may reach 90–100
million by 2025.",00:04:09.290,00:04:21.039
"== Pandemics and notable epidemics through
history ==",00:04:21.039,00:04:27.310
"There have been a number of significant pandemics
recorded in human history, generally zoonoses",00:04:27.310,00:04:32.410
"which came about with domestication of animals,
such as influenza and tuberculosis.",00:04:32.410,00:04:37.790
"There have been a number of particularly significant
epidemics that deserve mention above the ""mere""",00:04:37.790,00:04:43.720
destruction of cities:,00:04:43.720,00:04:45.870
"Plague of Athens, 430 BC.",00:04:45.870,00:04:48.900
"Possibly typhoid fever killed a quarter of
the Athenian troops, and a quarter of the",00:04:48.900,00:04:52.870
population over four years.,00:04:52.870,00:04:55.320
"This disease fatally weakened the dominance
of Athens, but the sheer virulence of the",00:04:55.320,00:04:59.260
"disease prevented its wider spread; i.e. it
killed off its hosts at a rate faster than",00:04:59.260,00:05:03.650
they could spread it.,00:05:03.650,00:05:05.150
"The exact cause of the plague was unknown
for many years.",00:05:05.150,00:05:08.420
"In January 2006, researchers from the University
of Athens analyzed teeth recovered from a",00:05:08.420,00:05:13.960
"mass grave underneath the city, and confirmed
the presence of bacteria responsible for typhoid.",00:05:13.960,00:05:19.860
"Antonine Plague, 165–180 AD.",00:05:19.860,00:05:24.840
"Possibly smallpox brought to the Italian peninsula
by soldiers returning from the Near East;",00:05:24.840,00:05:29.580
"it killed a quarter of those infected, and
up to five million in all.",00:05:29.580,00:05:33.640
