text,start,stop
"Translator: Robert Tucker
Reviewer: Nadine Hennig",00:00:00.000,00:00:07.000
Klaus Reichert: I'm already very excited.,00:00:15.141,00:00:17.728
"We have invited Matze B.,
Matthias Brenner, here from Kreuzlingen,",00:00:17.728,00:00:22.313
"whom I would like
to warmly welcome to the stage.",00:00:22.313,00:00:25.101
(Applause),00:00:25.386,00:00:27.803
Matze B.: Okay.,00:00:27.808,00:00:28.948
"So, first of all, I'm sorry
that I'm the only one here",00:00:30.506,00:00:33.504
not to speak with a fancy headset.,00:00:33.504,00:00:36.791
There's a simple reason for that:,00:00:36.791,00:00:39.178
"Since my texts mostly have
a dynamic that bursts out a little,",00:00:39.178,00:00:43.212
I need to have the possibility,00:00:43.212,00:00:45.297
to draw back with my voice.,00:00:45.297,00:00:47.455
"I thought, even though
it's getting towards the end,",00:00:48.385,00:00:51.859
"I'd start with a little
get-to-know-you game.",00:00:51.859,00:00:54.345
I learnt it during a management workshop.,00:00:54.345,00:00:56.736
It's very simple.,00:00:56.736,00:00:58.766
"I count to three, and then everyone
says their name, okay?",00:00:58.766,00:01:01.677
"Right, so: one, two, three: Matze.",00:01:01.682,00:01:06.271
Great.,00:01:06.271,00:01:07.474
"So now we know each other, we can start.",00:01:07.474,00:01:11.507
"Well, I'm no businessman,",00:01:11.857,00:01:14.508
at least not a successful one.,00:01:15.018,00:01:16.986
(Laughter),00:01:16.986,00:01:18.275
"I'm also not a visionary
in any strict sense of the term.",00:01:19.228,00:01:22.591
I've no big idea,00:01:22.591,00:01:24.365
"with which to make
the world a better place.",00:01:24.365,00:01:26.900
And naturally TED[x] attendees here,00:01:26.900,00:01:30.254
will be asking two questions:,00:01:30.254,00:01:33.603
Why him?,00:01:33.813,00:01:35.307
And what the hell is a poetry slam?,00:01:37.059,00:01:40.232
"I will try to briefly answer
the second question,",00:01:40.232,00:01:43.418
"or if possible, answer so that the first
question is maybe forgotten.",00:01:43.418,00:01:47.967
"A poetry slam is a modern poetry contest,",00:01:49.815,00:01:52.970
"it was started in the 80s in Chicago
by Mark Kelley Smith,",00:01:52.975,00:01:56.500
a former builder or draughtsman.,00:01:56.505,00:01:59.243
He couldn't accept the fact,00:02:00.291,00:02:01.975
"that poetry, poems, lyrics,
spoken literature",00:02:01.975,00:02:06.343
"are only performed
in a 'water-glass reading' scenario:",00:02:06.343,00:02:09.659
"A table, an older gentleman
and a glass of water, and then,",00:02:09.660,00:02:14.831
"""I will read from my cycle 'Blue'
the fifth poem 'Cobalt'.""",00:02:15.458,00:02:20.818
"He wanted to get away from that,",00:02:23.524,00:02:26.159
"and said, ""'We need slam poetry.""",00:02:26.159,00:02:28.353
"""Slam"", a term used in sport;",00:02:28.353,00:02:30.402
"it should be zappy, it should be punchy,
it should cut through.",00:02:31.411,00:02:35.374
"We want it removed
from ivory tower posturing",00:02:35.387,00:02:38.813
"and the ""I'm an intellectual.""",00:02:38.813,00:02:41.181
"We'll do it in local clubs, squats,",00:02:41.181,00:02:43.545
