text,start,stop
[Music],00:00:01.140,00:00:22.160
welcome to bridgecreation,00:00:19.300,00:00:25.119
My name is Alonso.,00:00:22.160,00:00:28.700
most people already know me,00:00:25.119,00:00:30.860
I would like to deal with the topic of politics,00:00:28.700,00:00:36.500
the present to you wants what I mean,00:00:30.860,00:00:37.990
so,00:00:36.500,00:00:40.040
let's take a look at today's,00:00:37.990,00:00:45.500
politics what happens in the world attracts,00:00:40.040,00:00:49.670
"with us, they are all justified we",00:00:45.500,00:00:53.870
have enough media enough news the,00:00:49.670,00:00:55.400
but that's usually the,00:00:53.870,00:00:58.670
alternative messages saying that,00:00:55.400,00:01:02.350
something goes wrong on the screen considered,00:00:58.670,00:01:05.829
whether they could be right,00:01:02.350,00:01:09.220
Let's just ask the questions,00:01:05.829,00:01:11.770
we see that a bill gates over the,00:01:09.220,00:01:17.410
we very much does the whu with,00:01:11.770,00:01:23.640
very much money supports the eu decides,00:01:17.410,00:01:25.900
all measures concerning the caron,00:01:23.640,00:01:29.040
now we have to see if,00:01:25.900,00:01:32.050
actually makes so much it's a,00:01:29.040,00:01:34.870
human being who was not elected by anyone,00:01:32.050,00:01:36.010
by no one,00:01:34.870,00:01:39.520
yet he can say what's in the,00:01:36.010,00:01:42.729
countries it can therefore also pass through the,00:01:39.520,00:01:45.780
leveraging democracy,00:01:42.729,00:01:50.290
only who is behind bill gates that is,00:01:45.780,00:01:54.790
also an important question if the,00:01:50.290,00:01:58.000
example let's see what 2015 already is,00:01:54.790,00:02:00.280
"has taken place, you can also",00:01:58.000,00:02:03.670
katholisch punkt de nachlesen enrich,00:02:00.280,00:02:06.820
the encounter they call the notice,00:02:03.670,00:02:09.729
also explains to the pope the work of the,00:02:06.820,00:02:13.810
international alliance gavi the project,00:02:09.729,00:02:16.510
the foundation of microsoft founder bill,00:02:13.810,00:02:22.910
"Gates, why do I say that I tell you",00:02:16.510,00:02:24.600
[Music],00:02:22.910,00:02:27.760
yes what do I want to say it's not just,00:02:24.600,00:02:30.730
limited it is actually also the,00:02:27.760,00:02:32.310
vatican,00:02:30.730,00:02:36.730
the jesuits are more powerful than bill,00:02:32.310,00:02:39.450
gates even if everyone starts too,00:02:36.730,00:02:42.220
because the Jesuits have the whole world,00:02:39.450,00:02:45.940
in the hand the jesuits have countries,00:02:42.220,00:02:48.760
and religions in the hand I say this,00:02:45.940,00:02:52.060
since the beginning of the podcast and,00:02:48.760,00:02:55.180
why does an angela merkel bill gates,00:02:52.060,00:02:57.910
imagine that the pope doesn't,00:02:55.180,00:02:59.310
knows,00:02:57.910,00:03:02.610
they're all under the same hat and the,00:02:59.310,00:03:05.030
pope of one of the top jesuits,00:03:02.610,00:03:08.819
the pope is not in,00:03:05.030,00:03:11.580
creative hand he has turned against,00:03:08.819,00:03:14.130
the creator turned,00:03:11.580,00:03:16.210
that may sound to many people now,00:03:14.130,00:03:19.570
hard but look at the pope,00:03:16.210,00:03:21.700
in front of him or no not the pope,00:03:19.570,00:03:24.490
previously guilty to the pope before and,00:03:21.700,00:03:26.590
again for this 2 johannes paul der,00:03:24.490,00:03:29.560
second booty was this was a very,00:03:26.590,00:03:32.070
more positive pope he was not made for nothing,00:03:29.560,00:03:37.150
is trying to make me say the...,00:03:32.070,00:03:39.550
jesuits had noticed back then that he,00:03:37.150,00:03:42.310
too much power and then they got,00:03:39.550,00:03:45.310
just tries to shoot at him,00:03:42.310,00:03:49.420
That's because I know this is what you're asking.,00:03:45.310,00:03:49.780
you,00:03:49.420,00:03:52.600
because I have contact with people who,00:03:49.780,00:03:56.110
also in the vatican were those who knew him,00:03:52.600,00:03:58.209
johannes paul den zweiten and i know,00:03:56.110,00:04:00.370
that john walter's second behind,00:03:58.209,00:04:03.850
which is why I'm telling you,00:04:00.370,00:04:06.550
