text,start,stop
"Herzlich Willkommen liebe kolleginnen
und kollegen zum online pressebriefing",00:00:00.000,00:00:03.540
"zur krone situation im freistaat sachsen
am heutigen donnerstag den 14",00:00:03.540,00:00:07.980
"ich begrüße ganz herzlich finanzminister
hartmut vorjohann er zieht eine",00:00:07.980,00:00:12.269
"zwischenbilanz zu den steuerlichen
hilfen während der korona krise und",00:00:12.269,00:00:15.900
"weiterhin begrüße ich recht herzlich
innenminister professor roland wöller",00:00:15.900,00:00:19.380
"er informiert über den umgang mit den
crooner bedingt abgesagt und",00:00:19.380,00:00:22.980
"bürgermeisterwahlen in sachsen
ich bin nun zunächst den finanzminister",00:00:22.980,00:00:26.789
"um sein statement ja vielen dank grüßen
sie ganz herzlich von meiner seite aus",00:00:26.789,00:00:34.190
"wir haben in der menge hilfen gesehen
für die wirtschaft vor allen dingen vor",00:00:34.190,00:00:39.809
"und für viele betroffene menschen die
jetzt wegen ladenschließungen",00:00:39.809,00:00:45.750
"geschäftsschließungen wenig geld
verdienen zum teil gar nichts mehr",00:00:45.750,00:00:49.289
"verdienen können und manchmal habe ich
das gefühl ein bisschen untergeht das",00:00:49.289,00:00:52.949
"sehr viel von den finanzämtern auch an
hilfen angeboten wird was ja etwas",00:00:52.949,00:00:58.680
"ungewöhnlich klingen kann und diese
verhelfen will ich will ich hier noch",00:00:58.680,00:01:04.019
"mal vorstellen und will aber darauf
aufmerksam machen dass das auch ein",00:01:04.019,00:01:08.909
"beträchtliches volumen mittlerweile
umfasst wir haben die finanzämter mit",00:01:08.909,00:01:14.790
"beginn der krise so orientiert und da
die die dinge so aufgesetzt dass wir",00:01:14.790,00:01:21.420
"gesagt haben
die steuerpflichtigen wenn die kommen",00:01:21.420,00:01:23.880
"und sagen
wegen der krise können wir nichts mehr",00:01:23.880,00:01:27.520
"verdienen und wir müssen bei dem thema
steuervorauszahlungen anpassungen",00:01:27.520,00:01:30.820
"vornehmen dann müssen wir sehr schnell
agieren",00:01:30.820,00:01:34.720
"wir müssen nicht das kritisch beäugen
und hinterfragen sondern wir müssen im",00:01:34.720,00:01:39.369
"gegenteil sagen ja wir helfen also eine
eine strenge hilfs orientierung der",00:01:39.369,00:01:46.000
"finanzämter war die orientierung und in
der tat ist momentan so dass das",00:01:46.000,00:01:51.189
"instrumentarium was da ist also stell
das nicht noch mal im einzelnen vor hat",00:01:51.189,00:01:55.869
"dazu geführt dass insgesamt 530
millionen euro an steuern jetzt in die",00:01:55.869,00:02:02.110
"umgekehrte richtung gegangen sind vom
finanzamt an die steuerpflichtigen und",00:02:02.110,00:02:07.750
"das läuft über ein beträchtliches
antragsvolumen man muss natürlich",00:02:07.750,00:02:10.959
"beantragen ist sind 52.000 700 anträge
die da inzwischen bearbeitet worden sind",00:02:10.959,00:02:17.200
"was übrigens ungefähr das dreifache von
dem ist was an kreditlinien beim",00:02:17.200,00:02:22.330
"freistaat sachsen beantragt werden kann
und die maßnahmen sind das bei den",00:02:22.330,00:02:31.440
"steuervorauszahlungen die die
steuerpflichtigen zu leisten haben da",00:02:31.440,00:02:34.810
"können anpassungen vorgenommen werden
sie können auch 0 heruntergesetzt werden",00:02:34.810,00:02:38.940
"und dort wo steuerpflichten entstehen
und schon entstanden sind können",00:02:38.940,00:02:43.890
"steuerstundungen beantragt werden und
die sind alle selbstverständlich zinslos",00:02:43.890,00:02:50.190
"wir haben bei dem thema
steuervorauszahlungen insgesamt über",00:02:50.190,00:02:54.310
"30.000 anträge gesehen 30.400 anträge
und bis zum stichtag 30",00:02:54.310,00:03:01.390
"april sind bei dem bei den
vorauszahlungen 263 millionen euro sind",00:03:01.390,00:03:09.730
"die vorauszahlungen herabgesetzt
worden und im moment ist es so dass das",00:03:09.730,00:03:16.590
"tatsächlich als aktive förderung der
wirtschaft von uns betrachtet wird",00:03:16.590,00:03:21.280
"eigentlich habe ich eine andere rolle
ich muss nämlich geld einnehmen um die",00:03:21.280,00:03:25.560
"staatlichen aufgaben zu finanzieren
deswegen habe ich natürlich da auch ein",00:03:25.560,00:03:29.920
"weinendes auge wir werden ja heute noch
das thema steuerschätzung in der",00:03:29.920,00:03:33.670
"bundesvereinigung sehen das geld was
hier den unternehmen den bürgerinnen und",00:03:33.670,00:03:39.640
"bürgern weiter zur verfügung steht fehlt
mir natürlich im staatshaushalt muss",00:03:39.640,00:03:45.940
"entsprechend über kredite finanziert
werden",00:03:45.940,00:03:48.550
"aber wir haben ja gesagt wir wollen die
unternehmen alle durch die krise durch",00:03:48.550,00:03:52.060
"tragen und wenn das über das instrument
das steuerrecht das geht dann nehmen wir",00:03:52.060,00:03:57.580
"sehr froh auch unsererseits dieses
instrument in die hand um das",00:03:57.580,00:04:01.720
"hinzubekommen
beim thema umsatzsteuer vorauszahlungen",00:04:01.720,00:04:06.190
"das sind so genannte sonder
vorauszahlung die man normalerweise",00:04:06.190,00:04:08.800
"leisten muss wenn man die eingenommene
umsatzsteuer zeitversetzt gegenüber dem",00:04:08.800,00:04:14.709
"finanzamt erklärt da muss man sich diese
zeit sozusagen er ermöglichen über",00:04:14.709,00:04:22.080
"sogenannte sonder vorauszahlung die
können rückerstattet werden was",00:04:22.080,00:04:27.580
"tatsächlich auch erfolgt und 237
millionen euro sind das die der momentan",00:04:27.580,00:04:33.370
"rückerstattet werden
und das sind insgesamt 7700 anträge",00:04:33.370,00:04:40.380
"insgesamt werden über alle steuerarten
über fast alle steuerarten stunden",00:04:41.130,00:04:47.440
"anträge gestellt über die
einkommensteuer die körperschaftssteuer",00:04:47.440,00:04:51.030
"auch über umsatzsteuer forderungen und
insgesamt haben wir momentan stundungen",00:04:51.030,00:04:57.960
"gewährt in der größenordnung von 100
30 millionen euro und ein instrument des",00:04:57.960,00:05:05.860
"steuerrechts was viele gar nicht so
kennen ist auch ein instrument was er",00:05:05.860,00:05:10.509
