text,start,stop
"Robert F. Kennedy jr., Harvard-Absolvent und
Umweltanwalt sowie Neffe von John F. Kennedy,",00:00:06.450,00:00:17.150
"hat Kla.TV erfreulicherweise im Dezember 2019
ein Interview gegeben. Kennedy ist Präsident",00:00:17.150,00:00:25.470
"und Gründer der Waterkeeper Alliance sowie
Vorsitzender und Gründer der Children's Health",00:00:25.470,00:00:31.490
"Defense, einer Organisation, die sich der
Gesundheit der Menschen und der unseres Planeten",00:00:31.490,00:00:36.510
"widmet. Deren Mission ist es, die Krankheitsepidemien
in der Kindheit zu beenden. Kennedy scheut",00:00:36.510,00:00:44.570
"sich nicht, die Verantwortlichen dafür zur
Rechenschaft zu ziehen. Er arbeitet unermüdlich",00:00:44.570,00:00:48.870
"daran, die Lügen des CDC (US-Seuchenschutzbehörde)
und die anderer Regierungsorganisationen bloßzustellen,",00:00:48.870,00:00:54.030
"um die engen Verbindungen ans Licht zu bringen,
die Forscher zu großen Pharmaunternehmen",00:00:54.030,00:00:57.899
"haben. Unermüdlich kämpft er um eine offene
Debatte über Impfungen. Seinen Anspruch formuliert",00:00:57.899,00:01:06.259
"er so: „Was wir brauchen, ist Wissenschaft,
keine Zensur. [...] Ich will robuste, transparente",00:01:06.259,00:01:12.569
Sicherheitsstudien und unabhängige Regulierungsbehörden.“,00:01:12.569,00:01:15.630
"Sehen Sie nun das Interview mit Robert F.
Kennedy jr.",00:01:15.630,00:01:20.159
"Stellen Sie sich vor, Sie treffen im Aufzug
eines New Yorker Wolkenkratzers auf ein unfreiwilliges",00:01:20.159,00:01:27.060
"Publikum. Die Tür schließt sich und jemand
neben Ihnen sagt: „Mr. Kennedy, ich finde",00:01:27.060,00:01:31.439
"es toll, was Sie mit Waterkeepers machen.
Ich respektiere Ihre Arbeit sehr, aber ich",00:01:31.439,00:01:36.479
"kann nicht gegen Impfungen sein. Ich glaube,
Sie stellen sich gegen die Wissenschaft.“",00:01:36.479,00:01:40.259
Was würden Sie ihnen sagen?,00:01:40.259,00:01:48.399
"Nun, zunächst einmal würde ich sagen, dass
ich nicht gegen Impfungen bin. Ich will nur",00:01:48.399,00:01:53.310
"sichere Impfstoffe, die wie andere Medikamente
getestet werden. Und ich schätze, das Wichtigste,",00:01:53.310,00:01:58.439
"was ich über Impfstoffe sagen würde, ist,
dass wir sie alle mit Vorsicht und Skepsis",00:01:58.439,00:02:02.099
"betrachten sollten, und zwar aus folgenden
Gründen:",00:02:02.099,00:02:05.189
"Erstens: Alle 72 Impfstoffe, die jetzt für
amerikanische Kinder vorgeschrieben sind,",00:02:05.189,00:02:10.590
"werden alle von einem von vier Unternehmen
hergestellt. Und alle vier dieser Unternehmen",00:02:10.590,00:02:17.370
"sind Serienverbrecher, die in den letzten
zehn Jahren 35 Milliarden Dollar - Milliarden",00:02:17.370,00:02:21.720
"Dollar - an Strafen und Bußgeldern bezahlen
mussten, als Schadenersatz für den Betrug",00:02:21.720,00:02:26.959
"mit den Behörden, für die Fälschung der
Wissenschaft, für die Täuschung von Ärzten",00:02:26.959,00:02:30.599
"und Beamten und für die Tötung von Hunderttausenden
von Amerikanern mit Medikamenten, von denen",00:02:30.599,00:02:35.900
"sie wussten, dass sie gefährlich sind, von
denen sie wussten, dass sie Menschen töten",00:02:35.900,00:02:39.650
"würden. Und sie haben es niemandem erzählt.
Also wissen Sie, die eine Sache ist: Warum",00:02:39.650,00:02:48.920
"sollte jemand glauben, dass diese vier Unternehmen
ihr kriminelles Verhalten geändert haben,",00:02:48.920,00:02:53.629
"wenn es um Impfungen geht?
Die andere Sache ist, dass die Impfungen die",00:02:53.629,00:02:57.570
"einzige Gelegenheit sind, bei der sie niemals
erwischt werden können, weil der US-Kongress",00:02:57.570,00:03:02.270
"es im Wesentlichen unmöglich gemacht hat,
einen Impfstoffhersteller zu verklagen.",00:03:02.270,00:03:07.079
"Die einzige Gelegenheit, bei der sie niemals
erwischt werden können?",00:03:07.079,00:03:13.439
"Sie können nie erwischt werden. Denn sie
werden in all den anderen Fällen gefasst.",00:03:13.439,00:03:21.250
"Und selbst wenn sie erwischt werden, egal
wie fahrlässig sie sind, egal wie bösartig",00:03:21.250,00:03:25.469
"sie waren, egal wie gefährlich die Zutat
ist, egal wie ungeheuerlich die Verletzung,",00:03:25.469,00:03:30.459
"man kann sie nicht verklagen. Also gibt es
keine Konsequenzen. Es gibt keine Konsequenz,",00:03:30.459,00:03:35.410
"wenn sie Dich durch einen Impfstoff krankmachen.
Es gibt keinen Anreiz für sie, es sicherer",00:03:35.410,00:03:40.170
"zu machen.
Zweitens: Auch müssen die Impfstoffe nicht",00:03:40.170,00:03:46.299
"getestet werden.
Es ist das einzige Medizinprodukt, das weder",00:03:46.299,00:03:49.760
"als Medikament noch als Medizinprodukt jemals
einem Doppelblind-Placebo-Test unterzogen",00:03:49.760,00:03:55.299
"wird, was aber die einzige Möglichkeit ist,
ein Risikoprofil für ein Produkt zu ermitteln",00:03:55.299,00:03:59.879
"und festzustellen, ob dieses Produkt tatsächlich
mehr Probleme abwendet, als es verursacht.",00:03:59.879,00:04:05.622
"Es gibt also keinen Anreiz - sie wissen nicht,
ob es sicher ist oder nicht, was sie Ihnen",00:04:05.622,00:04:09.459
"verkaufen. Sie haben keine Möglichkeit, das
zu wissen, weil sie keinen der 72 Impfstoffe,",00:04:09.459,00:04:14.889
"die sie jetzt an die amerikanische Öffentlichkeit
verkaufen, auf Sicherheit geprüft haben.",00:04:14.889,00:04:21.390
Und sie müssen es nicht.,00:04:21.390,00:04:25.870
"Drittens: Impfstoffe sind gesetzlich vorgeschriebene
Produkte. Es gibt keine Ausweichmöglichkeit,",00:04:25.870,00:04:31.280
"sodass man sagen könnte: Weißt du, ich will
das nicht kaufen, weil ich denke, es könnte",00:04:31.280,00:04:34.711
"mir schaden. Das funktioniert nicht, also
gibt es buchstäblich keinen Anreiz für sie,",00:04:34.711,00:04:39.770
"ihr Produkt sicher zu machen.
Und wissen Sie, die andere Sache, von der",00:04:39.770,00:04:44.050
"ich meine, dass die Leute im Fahrstuhl dies
wissen sollten, ist diese: Wir sollten sehr,",00:04:44.050,00:04:47.360
"sehr skeptisch und misstrauisch gegenüber
Impfstoffen sein, weil wir uns bereits inmitten",00:04:47.360,00:04:51.420
"der größten Epidemie chronischer Krankheiten
in der Geschichte der Menschheit befinden!",00:04:51.420,00:04:55.380
"Und übrigens, ich habe drei Impfungen bekommen,
als ich ein Kind war, und das galt als völlig",00:04:55.380,00:05:00.280
"ausreichend. Die heutigen Kinder bekommen
72 Impfungen und der Zeitplan für Impfungen",00:05:00.280,00:05:05.510
"hat sich seit 1989 am dramatischsten verändert.
Und diese Epidemie chronischer Krankheiten",00:05:05.510,00:05:15.260
"begann laut EPA (United States Environmental
Protection Agency) im Jahr 1989.",00:05:15.260,00:05:23.140
"Wenn Sie also vor 1989 geboren sind, haben
Sie eine 12%ige Chance, eine chronische Krankheit",00:05:23.140,00:05:30.890
"zu bekommen. Wenn Sie nach 1989 geboren sind,
haben Sie eine 54%ige Chance.",00:05:30.890,00:05:37.150
"Es handelt sich hierbei um neurologische Entwicklungsstörungen.
Wissen Sie, ich habe nie jemanden gekannt,",00:05:37.150,00:05:42.010
"der diese hatte, als ich ein Kind war:
ADD, ADHD, Sprechverzögerung, Sprachentwicklungsverzögerung,",00:05:42.010,00:05:49.080
"TICS, Narkolepsie, ASD, Autismus. Autismus
stieg von einem bei 10.000 auf eines bei 34",00:05:49.080,00:05:56.330
"Kindern. Niemand hat uns je erklärt, wie
das passiert ist. Es scheint so, als würde",00:05:56.330,00:06:01.350
"sich niemand dafür interessieren.
Die Autoimmunkrankheiten wie Rheumatische",00:06:01.350,00:06:10.240
"Arthritis und jugendlicher Diabetes, die demyelinisierenden
Krankheiten sind nach 1989 ebenfalls explodiert",00:06:10.240,00:06:18.260
"… und sind jetzt eine Epidemie in unseren
Kindern.",00:06:18.260,00:06:20.700
"Was die allergischen Erkrankungen betrifft:
Ich habe nie jemanden gekannt, der eine Erdnussallergie",00:06:20.700,00:06:24.991
"hatte. Ich hatte 10 Geschwister und wahrscheinlich
70 Cousins, doch ich kannte niemanden mit",00:06:24.991,00:06:30.010
"einer Erdnussallergie.
Aber meine Kinder haben Erdnuss-Allergien",00:06:30.010,00:06:33.070
"und man findet sie jetzt überall. Woher kommen
sie? Lebensmittelallergien, Rhinitis, Ekzeme,",00:06:33.070,00:06:38.930
"Asthma, all die allergischen Krankheiten,
Anaphylaxie explodierten nach 1989.",00:06:38.930,00:06:46.270
