text,start,stop
"Welcome ladies and
Gentlemen I greet you for a talk",00:00:08.420,00:00:12.480
"special from keel
you are visiting Prof. dr",00:00:12.480,00:00:15.869
"Succahrit Bhakdi, a renowned
microbiologists and infection epidemiology",00:00:15.869,00:00:20.840
"hello and thank you very much professor
good day in human medicine",00:00:20.840,00:00:26.280
"research is Professor bhakdi
for many years not to say",00:00:26.280,00:00:30.630
"known and recognized for decades
he has had this for more than 20 years",00:00:30.630,00:00:35.309
"institute for medical microbiology
and hygiene at university mainz",00:00:35.309,00:00:39.359
"thousands of doctors trained and is
multiple awards for his success",00:00:39.359,00:00:43.949
"in research
for several weeks it has been millions of",00:00:43.949,00:00:48.899
"internet users also
known for his criticism of the corona",00:00:48.899,00:00:54.359
"Measures are millions of people
who inform themselves on the internet because",00:00:54.359,00:00:58.739
"you have the impression that criticism
the corona measures in public",00:00:58.739,00:01:03.749
"media in public law
TV stations largely left out",00:01:03.749,00:01:07.260
"that's why we're here today and
we want to talk about that today",00:01:07.260,00:01:12.950
"is fighting the corona epidemic
apparently every medium quite a lot",00:01:13.190,00:01:18.870
"governments have had a lock for weeks
down imposed and the social",00:01:18.870,00:01:22.740
"and economic life of your countries
shut down completely",00:01:22.740,00:01:26.840
"leading international experts like the
often for his research as",00:01:26.840,00:01:31.740
"epidemiologist excellent professor
Bhakdi, however, point this out",00:01:31.740,00:01:36.390
"indicating that the measures for containment
are completely covered",00:01:36.390,00:01:40.560
"but many classic and in particular
the public law media",00:01:40.560,00:01:45.170
"ignore the expertise of dozens
renowned experts",00:01:45.170,00:01:49.310
"instead you try scientists
as professor doctor as active as",00:01:49.310,00:01:54.390
"to present questionable
but what are the critics' arguments?",00:01:54.390,00:01:58.900
"and why do you see the latest studies
the american elite university",00:01:58.900,00:02:03.150
standford as proof of this,00:02:03.150,00:02:07.440
"Professor Bhakdi, you are
renowned doctor researchers you have",00:02:08.880,00:02:14.620
"trained doctors for decades
and actually have been for some years",00:02:14.620,00:02:19.480
"retired
now that you have criticized",00:02:19.480,00:02:22.959
