text,start,stop
"In this episode of The Smart City
Podcast",00:00:01.700,00:00:03.280
I had a great conversation,00:00:03.890,00:00:04.489
"with a fellow member of the Smart
Cities",00:00:05.210,00:00:07.030
"Council Emerging Innovators Group
Janine",00:00:07.320,00:00:08.955
Betz.,00:00:09.880,00:00:09.930
"I'll start by saying that everything
we discussed",00:00:10.940,00:00:12.589
is personal opinion only,00:00:13.100,00:00:14.089
"and does not represent the companies
we work",00:00:14.450,00:00:16.459
for,00:00:16.460,00:00:16.850
and is not associated in any way,00:00:17.450,00:00:18.919
with these companies.,00:00:19.100,00:00:20.090
"Now with that out of the way,",00:00:20.450,00:00:21.620
Janine is a passionate advocate,00:00:21.800,00:00:22.999
for sustainability,00:00:23.630,00:00:24.740
and using Smart techniques,00:00:24.770,00:00:26.360
"to help fight against climate
change.",00:00:26.690,00:00:28.910
"Western Australia is really lucky to
benefit",00:00:29.330,00:00:30.889
"from Janine's background as she
brings the",00:00:31.280,00:00:32.989
European approach to sustainability,00:00:33.110,00:00:35.060
"and molds it to suit the Australian
conditions",00:00:35.390,00:00:37.039
and environment.,00:00:37.580,00:00:38.240
We discussed about the challenges,00:00:38.990,00:00:40.219
"and opportunities building a six
star",00:00:40.760,00:00:42.469
Green Star Rating project,00:00:42.770,00:00:44.270
"and how Smart Cities is about the
integration",00:00:44.570,00:00:46.279
between sustainability,00:00:46.910,00:00:47.239
and innovation.,00:00:48.080,00:00:48.920
Janine also talks passionately about,00:00:49.640,00:00:51.500
"Western Australia finding its feet
in terms",00:00:51.800,00:00:53.539
"of culture, growth",00:00:53.780,00:00:54.680
"and identity,",00:00:54.710,00:00:55.640
and how Western Australia is well on,00:00:55.940,00:00:57.619
their way to leading certain aspects,00:00:57.770,00:00:59.119
of Smart Cities.,00:00:59.660,00:01:00.070
As always I really hope you enjoy,00:01:01.160,00:01:02.899
listening to this episode as much as,00:01:03.200,00:01:04.909
I enjoyed making it.,00:01:05.060,00:01:06.080
"[The Smart City Podcast Intro
Music.]",00:01:06.700,00:01:07.810
Well let's jump straight into,00:01:32.590,00:01:34.169
this and in order,00:01:34.530,00:01:36.239
"to introduce yourself,",00:01:36.420,00:01:37.620
"can you tell us a little bit about
your background?",00:01:37.680,00:01:40.080
"Yes, sure.",00:01:40.690,00:01:40.740
So you'll probably notice very,00:01:41.540,00:01:43.289
"quickly that I have a bit of an
accent",00:01:43.560,00:01:45.810
and I am indeed not from,00:01:45.860,00:01:47.549
Australia. I was born,00:01:47.760,00:01:48.449
and raised in Germany,00:01:48.690,00:01:49.319
and have been here since 2007.,00:01:49.830,00:01:52.410
I have an engineering background,00:01:52.710,00:01:54.120
with a Major in Architecture,00:01:55.310,00:01:56.240
"and Urban Design, and a Post-Grad.",00:01:56.720,00:01:58.460
Certificate in Sustainability,00:01:59.270,00:02:00.020
and Climate Policy.,00:02:01.050,00:02:02.010
I currently work for the,00:02:03.450,00:02:05.310
LendLease communities business,00:02:05.320,00:02:07.200
in the WA.,00:02:07.280,00:02:07.740
"Yeah, wow, cool.",00:02:08.699,00:02:09.680
So Janine,00:02:09.780,00:02:10.769
and I are part of the,00:02:10.830,00:02:12.420
Smart Cities Council Emerging,00:02:12.970,00:02:14.369
"Innovators Group. That's how we kind
of got",00:02:14.850,00:02:16.619
to know each other.,00:02:16.800,00:02:17.610
So what sparked,00:02:17.650,00:02:19.079
your interest in Smart Cities?,00:02:19.500,00:02:20.720
Well I think that the conversation,00:02:21.330,00:02:22.829
about Smart Cities is possibly,00:02:23.490,00:02:25.229
one of the most important,00:02:25.800,00:02:27.269
ones occurring at this point,00:02:27.810,00:02:29.399
in time. As we know climate,00:02:29.670,00:02:31.349
change and sustainability as a,00:02:31.710,00:02:33.600
whole is a challenge of,00:02:33.960,00:02:35.810
our time.,00:02:36.240,00:02:36.900
And I'm just very keen to be,00:02:37.350,00:02:39.420
part of that.,00:02:39.540,00:02:40.380
And I guess coming,00:02:40.470,00:02:42.360
"to Australia as an outsider,",00:02:42.990,00:02:44.450
"I have a bit of,",00:02:44.480,00:02:45.690
kind of two perspectives.,00:02:46.040,00:02:47.320
You know one that is very,00:02:47.380,00:02:49.380
much shaped by,00:02:49.620,00:02:51.780
"the European approach,",00:02:52.440,00:02:53.760
which is very,00:02:53.790,00:02:55.690
much around different countries,00:02:56.130,00:02:57.599
working together,00:02:58.050,00:02:59.040
and that in combination,00:02:59.400,00:03:00.809
"with the Australian perspective
where we're",00:03:01.410,00:03:03.079
"quite isolated geographically,",00:03:03.330,00:03:05.760
"I think that's something that's
always",00:03:06.630,00:03:08.369
on my mind as to how I,00:03:08.670,00:03:10.590
sort of balance the two,00:03:11.070,00:03:12.629
mindsets. And that has,00:03:12.900,00:03:15.170
I guess prompted me to,00:03:15.600,00:03:16.610
be involved,00:03:18.150,00:03:18.960
and just share some of the insights,00:03:19.020,00:03:20.609
that I get through,00:03:21.060,00:03:22.380
being in touch,00:03:23.580,00:03:24.270
"with my home country,",00:03:24.590,00:03:26.250
"which is Germany, whilst also
working in",00:03:26.280,00:03:28.079
Australia.,00:03:28.230,00:03:28.760
Cool. Are there any particular,00:03:29.220,00:03:30.629
technologies,00:03:31.500,00:03:31.550
or concepts that you've come across,00:03:32.370,00:03:33.899
"that you're really interested or are
already",00:03:34.350,00:03:35.639
exploring?,00:03:36.510,00:03:37.200
Yeah so for me it's really--,00:03:37.590,00:03:39.240
Smart Cities really involves around,00:03:39.820,00:03:41.700
the human experience.,00:03:41.880,00:03:43.270
To me people are the central,00:03:43.290,00:03:44.819
aspects of how we design our city.,00:03:45.270,00:03:47.250
"Obviously I'm going to say that,",00:03:47.460,00:03:48.359
I'm an architect so,00:03:48.570,00:03:50.490
"you know how can we use technology
to make",00:03:51.060,00:03:52.799
the experience of our urban,00:03:53.070,00:03:54.930
fabric richer.,00:03:55.740,00:03:56.700
And obviously in the beginning,00:03:57.210,00:03:58.559
Building Information Modelling has,00:03:59.130,00:04:00.809
been around in,00:04:01.080,00:04:02.830
Europe for quite some time.,00:04:02.960,00:04:04.190
I wrote my thesis on that in,00:04:04.200,00:04:05.630
2006,00:04:06.240,00:04:07.410
and there was already a trend,00:04:07.440,00:04:09.120
in Europe and has since become,00:04:09.570,00:04:11.850
a trend in Australia.,00:04:12.120,00:04:13.260
"So that,",00:04:13.320,00:04:14.130
"you know, I guess at",00:04:14.220,00:04:15.200
"the building level is something that
I'm really",00:04:16.110,00:04:17.729
"interested in, and how can we
utilize that",00:04:17.970,00:04:19.919
technology (BIM) to really,00:04:19.920,00:04:21.150
have a Smart system,00:04:21.779,00:04:24.180
"whereby we know everything about our
buildings",00:04:24.390,00:04:26.730
beyond the construction itself,00:04:26.790,00:04:29.220
but also technologies,00:04:29.790,00:04:31.289
that allow us to map,00:04:32.160,00:04:33.420
and model human behaviour,00:04:33.450,00:04:35.460
and then facilitate,00:04:36.030,00:04:37.199
a participatory design,00:04:38.010,00:04:39.510
approach to really ensure,00:04:39.870,00:04:41.369
that we speak to the right people,00:04:41.790,00:04:43.680
at the right time,00:04:44.100,00:04:44.579
and get positive outcomes.,00:04:44.970,00:04:46.500
So really to me technology is a way,00:04:46.830,00:04:48.539
of getting,00:04:48.840,00:04:50.490
to a point where we,00:04:50.850,00:04:52.830
design cities,00:04:53.280,00:04:55.080
in a way that they improve,00:04:55.380,00:04:57.630
the experience that the citizen,00:04:57.870,00:04:59.579
has.,00:05:00.030,00:05:00.450
Yeah cool yeah.,00:05:00.640,00:05:02.000
I'm really interested in BIM,00:05:02.190,00:05:03.824
"as well-- so Building Information
Modelling--",00:05:04.080,00:05:05.590
from a horizontal perspective,00:05:06.690,00:05:08.580
because I think vertical,00:05:08.610,00:05:10.170
"buildings and that kind of thing,",00:05:10.530,00:05:12.030
it's quite advanced.,00:05:12.620,00:05:14.220
Whereas I see so much potential,00:05:14.310,00:05:15.869
for roads and bridges,00:05:16.530,00:05:18.300
and our horizontal infrastructure,00:05:18.960,00:05:20.940
to know where the services,00:05:21.620,00:05:23.279
"are, so you know your water",00:05:24.090,00:05:25.739
"pipes and all that kind of stuff,",00:05:26.040,00:05:27.630
that real integrated approach not,00:05:27.930,00:05:29.549
just with the buildings,00:05:29.760,00:05:31.110
"but all this other infrastructure
that",00:05:31.140,00:05:32.939
we have running under our feet,00:05:33.060,00:05:34.500
or under our wheels of our cars,00:05:34.620,00:05:36.510
and that kind of thing.,00:05:36.540,00:05:37.380
Yeah I 100% agree.,00:05:37.740,00:05:38.849
It's really a holistic approach,00:05:39.210,00:05:40.859
that looks at the whole city as it,00:05:41.280,00:05:43.100
relates to buildings individually.,00:05:43.140,00:05:44.111
But how do they relate to,00:05:44.560,00:05:46.199
"each other, how do they interact",00:05:46.380,00:05:47.810
and how do you link that to the,00:05:48.210,00:05:49.979
infrastructure?,00:05:50.100,00:05:50.820
"You know, the horizontal element
that you've",00:05:51.070,00:05:52.739
mentioned.,00:05:52.890,00:05:53.390
"So that's something,",00:05:53.960,00:05:55.560
I think it's quite exciting.,00:05:56.420,00:05:57.600
There's a lot of really cool stuff,00:05:57.960,00:05:59.699
already happening in,00:06:00.060,00:06:02.170
Europe and certainly you know,00:06:02.190,00:06:04.080
big land development projects,00:06:04.290,00:06:05.909
in the Middle East as well.,00:06:06.330,00:06:07.590
Where you can then add,00:06:08.310,00:06:09.130
the human element into it,00:06:10.420,00:06:12.370
and really allow,00:06:12.720,00:06:14.379
technology to sort of assist,00:06:14.950,00:06:16.539
the process of design from,00:06:16.900,00:06:18.620
the beginning but also,00:06:19.270,00:06:20.380
"at the refinement stage,",00:06:22.030,00:06:22.869
when sometimes projects don't,00:06:23.320,00:06:25.100
work as well as,00:06:25.230,00:06:26.440
they were intended to,00:06:28.150,00:06:29.760
or people invent new,00:06:29.716,00:06:31.509
ways of using the spaces,00:06:31.780,00:06:33.279
that you create.,00:06:33.760,00:06:34.380
So I think,00:06:34.630,00:06:35.860
if we get to that point where,00:06:36.940,00:06:38.590
we have that participation,00:06:39.890,00:06:41.650
from a user perspective,00:06:41.890,00:06:43.330
and feed that data back,00:06:43.690,00:06:45.279
"into the models that we create,",00:06:45.550,00:06:47.100
we have a real--,00:06:47.140,00:06:47.860
a lifecycle really,00:06:49.290,00:06:50.680
"of data that starts at design
inception",00:06:51.130,00:06:52.839
construction to the maintenance,00:06:53.320,00:06:55.930
and the usage,00:06:56.200,00:06:57.579
of,00:06:58.160,00:06:58.410
our cities.,00:07:00.100,00:07:00.710
"Yeah, definitely.",00:07:01.220,00:07:01.270
So let's talk about right now.,00:07:02.560,00:07:04.180
What are some of the projects,00:07:05.050,00:07:05.769
and things you're working on?,00:07:06.450,00:07:07.660
So through the work that I'm doing,00:07:08.430,00:07:10.390
with Lend Lease I'm involved,00:07:10.510,00:07:11.679
with a very exciting project,00:07:12.100,00:07:14.050
called Alkimos Beach.,00:07:14.560,00:07:15.480
It is the first project in Australia,00:07:15.730,00:07:17.680
to receive these six star,00:07:17.710,00:07:19.630
rating from the Green Building,00:07:19.810,00:07:21.369
"Council of Australia,",00:07:21.700,00:07:22.930
and as part,00:07:23.435,00:07:25.370
of that we obviously have a whole,00:07:25.630,00:07:27.339
lot of commitments that,00:07:27.610,00:07:29.440
we've made and,00:07:29.790,00:07:30.910
that certification,00:07:31.630,00:07:31.839
and the commitments that come,00:07:32.650,00:07:33.429
with that really inform every single,00:07:33.700,00:07:35.379
decision that we make along,00:07:35.740,00:07:37.630
the way. So it's a very,00:07:37.780,00:07:39.610
interesting project that will run,00:07:39.820,00:07:41.469
for a few more years,00:07:41.710,00:07:42.940
and we have just,00:07:43.450,00:07:45.040
launched a new project,00:07:46.120,00:07:47.770
also here in WA,00:07:48.010,00:07:48.770
called Alkimos Vista.,00:07:49.930,00:07:50.790
"Both projects are very close to the
coast",00:07:51.555,00:07:53.139
so indeed as we're speaking now,00:07:53.500,00:07:55.269
"I'm actually looking out to the
ocean,",00:07:55.570,00:07:57.400
"because our beautiful sales office
is",00:07:57.650,00:07:59.510
in a really good spot.,00:07:59.900,00:08:01.090
I guess greenfield development,00:08:02.290,00:08:04.300
really needs to be,00:08:04.330,00:08:06.700
at the forefront in many ways,00:08:06.960,00:08:08.679
of considering Smart because,00:08:09.010,00:08:10.840
I feel we've got a responsibility,00:08:11.320,00:08:13.510
to be as Smart as we can,00:08:13.540,00:08:15.099
in terms of future-proofing the,00:08:15.490,00:08:16.010
communities that we create.,00:08:17.620,00:08:19.130
"And it is something that we are
thinking about",00:08:19.480,00:08:21.490
not only here in WA,00:08:21.550,00:08:22.460
but LendLease as a business,00:08:22.905,00:08:24.880
"more broadly,",00:08:24.970,00:08:25.720
not only in property,00:08:26.110,00:08:27.340
but across the different,00:08:27.400,00:08:29.530
businesses and areas that we,00:08:30.190,00:08:31.959
are operating in.,00:08:32.140,00:08:32.950
But speaking about,00:08:33.400,00:08:35.289
"communities there are obviously
strategies",00:08:35.330,00:08:36.879
in place that are specifically,00:08:37.390,00:08:38.640
aimed at creating,00:08:39.429,00:08:41.350
Smart communities,00:08:41.630,00:08:42.940
and things like fibre to the home,00:08:43.330,00:08:45.040
etc. are already,00:08:45.150,00:08:46.930
in place in most communities,00:08:47.410,00:08:49.600
including Alkimos Beach.,00:08:49.630,00:08:50.510
So that's the project that,00:08:51.550,00:08:53.470
I am most intimately involved with.,00:08:53.590,00:08:55.240
But I also manage,00:08:55.270,00:08:57.009
"the innovation framework for
LendLease",00:08:57.310,00:08:59.280
property in WA,00:08:59.375,00:08:59.890
and as part of that global,00:09:00.610,00:09:02.470
group of project,00:09:02.475,00:09:04.110
leads and guides across,00:09:04.510,00:09:06.580
"the world really,",00:09:06.790,00:09:08.289
I get snippets of what LendLease,00:09:08.790,00:09:10.325
is working on through their,00:09:11.050,00:09:12.639
innovation arm.,00:09:13.030,00:09:13.161
