text,start,stop
Surrounded by monkeys on the beach just like that,00:00:03.799,00:00:08.390
"Welcome to the south of
Thailand",00:00:23.759,00:00:28.289
"our travel plan: we will be first
once extensively on the holiday island",00:00:30.329,00:00:34.989
"Phuket look around, then drive along the
West coast heading north to Khao Lak",00:00:34.989,00:00:40.510
"from here it goes inland
the Khao Sok National Park. Continue",00:00:40.510,00:00:46.210
it to the east coast. Here we take the ferry over to,00:00:46.210,00:00:49.540
Dream Island Koh Samui.,00:00:49.540,00:00:52.980
"Phuket is not only the biggest, it is
also Thailand's most popular bathing island.",00:00:55.570,00:01:00.220
"Who drives here, whether flat rate or
individually, would like sun, beach and",00:01:00.220,00:01:05.199
have as much fun as possible.,00:01:05.199,00:01:08.940
"Year after year, visitors come to the island and escape the cold, especially during the winter months",00:01:09.740,00:01:14.210
Europe. And their desires are fulfilled. On,00:01:14.210,00:01:18.539
"The west coast is the most beautiful
Beaches of the island. About 40,000",00:01:18.539,00:01:22.380
Hotel rooms offer guests everything you would expect from a tropical paradise.,00:01:22.380,00:01:29.240
Everywhere in the country you can see Bhudda statues,00:01:39.790,00:01:46.500
"and colorfully decorated temples. 95
Percent of Thais are Buddhists.",00:01:47.719,00:01:53.750
"Tolerance for joy of life is an expression
this belief and make Thailand",00:01:53.750,00:01:58.729
proverbial to the land of smiles.,00:01:58.729,00:02:02.689
"We are now going on a trip to the
Middle of the island. Near Phuket",00:02:05.860,00:02:09.820
City there is a very special garden.,00:02:09.820,00:02:14.250
"If you want to see something different
as a beach and palm trees",00:02:19.930,00:02:23.389
"then you should definitely the butterfly garden
So the butterfly garden here in",00:02:23.389,00:02:27.829
"View Phuket Town. There are not only beautiful plants here, but teeming with life",00:02:27.829,00:02:31.909
"of butterflies and with a bit
Luckily you can do this with this one",00:02:31.909,00:02:35.150
Even feeding banana nectar.,00:02:35.150,00:02:39.189
"Soon I am surrounded by hundreds
yes, thousands of colorful butterflies. The",00:02:51.890,00:02:56.900
"lure numerous plants and flowers
to her.",00:02:56.900,00:02:59.120
"They are within your reach. The park is
an attraction and not only that. He is",00:02:59.120,00:03:04.160
"now one of the most prestigious
Butterfly parks worldwide. The whole",00:03:04.160,00:03:08.930
"Year over here are butterflies
bred. 40 different types.",00:03:08.930,00:03:18.630
"We stay a little longer on the island
Phuket and drive back to the",00:03:41.990,00:03:45.260
"West Coast. Above the tourist beaches
lies the fishing village Kamala. On Phuket",00:03:45.260,00:03:50.270
many Muslims also live. Most of them work as,00:03:50.270,00:03:54.290
Fischer.,00:03:54.290,00:03:56.560
"The catch is sold and the day can
be enjoyed.",00:04:19.900,00:04:37.249
"Now we leave the holiday island
Phuket. It goes over the Sarrazin Bridge",00:04:48.430,00:04:52.630
also the Thai mainland.,00:04:52.630,00:04:56.250
The tour makes a detour around the Ao Phang Nga Bay. Night after a good hour drive,00:04:59.249,00:05:03.689
"we reach the national park Ao Luk.
The place is particularly interesting because of",00:05:03.689,00:05:09.390
