text,start,stop
"Diese Sendung wurde vom NDR
live untertitelt (21.04.2020)",00:00:00.040,00:00:03.960
Für Menschen mit Rheuma,00:00:04.040,00:00:05.360
"sind in diesen Zeiten
die Medikamente besonders wichtig.",00:00:05.440,00:00:08.720
Viele Erkrankte machen sich Sorgen.,00:00:08.800,00:00:10.840
Könnte es mich tödlich treffen?,00:00:10.920,00:00:13.080
"Warum es sinnvoll ist,
sich mit Patientenverfügung",00:00:13.560,00:00:16.640
"und Vorsorgevollmacht
auf den Ernstfall vorzubereiten.",00:00:16.720,00:00:20.080
"Wir als Ärzte wollen
den Willen der Patienten umsetzen.",00:00:21.320,00:00:25.440
Und: Knäckebrot.,00:00:26.760,00:00:28.040
"Selbstgemacht
ist es ein gesunder Snack.",00:00:28.280,00:00:31.280
Und Thema bei uns:,00:00:34.000,00:00:35.240
Was bringt die Maskenpflicht?,00:00:35.400,00:00:37.320
"Heute wurde die in Hamburg
und Schleswig-Holstein beschlossen.",00:00:37.480,00:00:41.240
"Ab Montag bzw. Mittwoch
nächster Woche",00:00:41.400,00:00:43.760
"ist in MV, SH und Hamburg Mund-
und Nasenschutz vorgeschrieben.",00:00:43.920,00:00:48.480
"Dazu Hamburgs
Erster Bürgermeister Tschentscher:",00:00:48.640,00:00:51.960
"Wir müssen im Gleichschritt
von Lockerung und Infektionsschutz",00:00:53.360,00:00:57.800
die Waage und das Maß halten.,00:00:58.320,00:01:00.520
Deshalb scheint uns die Auflage,00:01:01.400,00:01:03.880
"während der Nutzung
des öffentlichen Nahverkehrs",00:01:03.960,00:01:07.920
"und für die Dauer
des Einkaufs im Laden",00:01:08.120,00:01:11.240
"eine wichtige Entscheidung zu sein,
die wir treffen müssen.",00:01:12.440,00:01:16.560
Dazu später mehr.,00:01:17.240,00:01:18.440
Herzlich willkommen.,00:01:18.640,00:01:20.320
"Wer in der Apotheke
ein Rezept einlösen möchte,",00:01:20.480,00:01:23.800
hört oft: nicht lieferbar.,00:01:24.000,00:01:26.040
Das ist mehr als ein Ärgernis.,00:01:27.160,00:01:29.240
"Herr Wienold aus Rostock
schreibt uns:",00:01:29.400,00:01:32.040
"""Man hat Angst,
nicht über die Runden zu kommen.""",00:01:32.200,00:01:35.480
Das macht neben unseren Zuschauern,00:01:35.920,00:01:38.480
"auch Ärzten in Krankenhäusern
große Sorgen.",00:01:38.560,00:01:41.800
Sarah Rainers.,00:01:42.000,00:01:43.360
"Rund 3000 Covid-19-Patienten liegen
auf deutschen Intensivstationen.",00:01:46.120,00:01:50.520
"Mehr als 70 % beatmet und dafür
in ein künstliches Koma versetzt.",00:01:51.680,00:01:56.160
Wichtige Medikamente werden knapp.,00:01:57.840,00:02:00.400
"Eines davon:
das Narkosemittel Propofol.",00:02:00.680,00:02:03.920
"Wir haben vor der Corona-Krise
vor Lieferengpässen gewarnt.",00:02:05.800,00:02:10.360
"Das betrifft
alle Hersteller von Propofol.",00:02:11.520,00:02:14.560
"Einige deutsche Krankenhäuser
haben schon kein Propofol mehr.",00:02:14.800,00:02:18.680
"Weil die Zahl
der Covid-19-Patienten steigt,",00:02:18.880,00:02:21.720
wird mehr Propofol gebraucht.,00:02:21.880,00:02:24.240
"Es ist weltweit
das Standard-Narkosemittel.",00:02:24.440,00:02:27.440
