text,start,stop
"In the last video, I introduced a number of new terms, including ""phobocracy"":",00:00:00.190,00:00:06.460
domination by fear.,00:00:06.460,00:00:07.880
This term will surely keep us busy for a while.,00:00:07.880,00:00:11.759
"I would also like to start this video with a new term, namely zoonosis.",00:00:11.759,00:00:18.360
This means infectious diseases that occur simultaneously in humans and vertebrates,00:00:18.360,00:00:23.290
- and can spread in one direction or the other.,00:00:23.290,00:00:28.010
Around 200 zoonoses are currently known worldwide.,00:00:28.010,00:00:32.649
"When an illness spreads from humans to animals, one speaks of anthopozoonosis",00:00:32.649,00:00:38.949
and in the opposite direction of zooanthroponosis - this also includes the coronavirus.,00:00:38.949,00:00:44.800
"The phenomenon itself is not new, for example tuberculosis and measles originally came",00:00:44.800,00:00:51.829
"from cows, whooping cough from pigs or the flu from ducks.",00:00:51.829,00:00:57.430
"Only about a third of all skipping diseases come from pets, and a good two thirds",00:00:57.430,00:01:03.999
from wild animals.,00:01:03.999,00:01:04.999
A first wave of skipping diseases took place in the course of colonization.,00:01:04.999,00:01:09.720
"For example, the bacterium that triggers cholera comes from the swamps of Bangladesh.",00:01:09.720,00:01:15.490
"A second wave, after some doctors believed in the end of infectious diseases,",00:01:15.490,00:01:21.640
has recently started and has brought us very dangerous diseases,00:01:21.640,00:01:27.090
"such as HIV / AIDS, Ebola, Mers and Sars1 or even Sars2 (or Covid-19).",00:01:27.090,00:01:36.600
The common cause of these zooanthroponoses is the increasing environmental pressure of human,00:01:37.860,00:01:44.740
"civilization on the habitats of these wild animals, e.g.",00:01:44.740,00:01:48.860
"by hunting, deforestation or intensive livestock farming.",00:01:48.860,00:01:53.440
"In other words, the increasing consumption of space, materials and energy by mankind.",00:01:53.440,00:01:58.710
"The connection is scientifically proven: the greater the environmental pressure of humans,",00:01:58.710,00:02:04.590
"the greater the stress in wild animals, the higher the likelihood of further zoonoses.",00:02:04.590,00:02:09.800
"According to the current state of science, the corona virus originally comes from",00:02:10.800,00:02:16.220
wild bats and came to humans via the intermediate host of the pangolin.,00:02:16.220,00:02:21.300
It is interesting to know that countless microbes live in bats,00:02:21.300,00:02:27.030
without being harmed by them.,00:02:27.030,00:02:28.390
"But when the stress on bats increases, so does their infectivity.",00:02:28.390,00:02:34.060
And humans should never come into contact with pangolins anyways,00:02:34.060,00:02:39.060
because they are strictly protected.,00:02:39.060,00:02:41.150
"According to experts, many thousands of other viruses live in wild animals that can potentially skip.",00:02:41.150,00:02:48.230
The less mankind is concerned with ecological balance; and the less we,00:02:49.230,00:02:54.510
"humans respect the limits of wildlife habitats, the harder limits nature will set us",00:02:54.510,00:02:59.520
in the form of further pandemics.,00:02:59.520,00:03:03.470
"Some are already talking about Covid 20, 21, etc.",00:03:03.470,00:03:07.860
So if we really care about health - public health - the first step would be,00:03:07.860,00:03:14.599
to drastically reduce mankind's ecological footprint,00:03:14.599,00:03:20.550
and to protect wildlife habitats and biodiversity and the biosphere,00:03:20.550,00:03:26.270
in general much more strictly.,00:03:26.270,00:03:27.270
We actually knew this before Corona: In the past few years I have started almost every one of my,00:03:27.270,00:03:33.180
public lectures with the fact that climate change is not only not the greatest,00:03:33.180,00:03:38.709
"global ecological threat to humanity, but also not the most dangerous.",00:03:38.709,00:03:43.810
