text,start,stop
"Sehr geehrte Damen und Herren, geschätzte
ärztliche Kollegen mit diesem Video",00:00:00.000,00:00:04.339
"möchte ich einen beitrag zur aktuellen
Diskussion rund um das neue Coronavirus und",00:00:04.339,00:00:09.630
"die Krankheit Covid-19 leisten als es
habe ich selbst schon Coronapatienten",00:00:09.630,00:00:14.130
"behandelt und leider auch einige, wenn auch schwer vor-erkrankte Patienten sterben",00:00:14.130,00:00:18.420
"sehen. 
Trotzdem bereitet mir die aktuelle",00:00:18.420,00:00:20.640
"Politik mit ihrer Planlosigkeit Sorge.
Ich habe mir persönlich keine",00:00:20.640,00:00:24.180
"finanziellen Einschränkungen als
angestellter Arzt. Meine persönliche",00:00:24.180,00:00:28.349
"meinung möchte ich anhand zweier
prägnanter thesen darlegen: Erste These",00:00:28.349,00:00:33.210
"Covid-19 ist weit weniger gefährlich als
oft suggeriert wird. Zweite These: Unabhängig",00:00:33.210,00:00:40.079
"davon wie gefährlich das Virus
tatsächlich ist, sind die",00:00:40.079,00:00:43.710
"freiheitsentziehenden Maßnahmen zur
Kontaktminimierung zumindest nutzlos",00:00:43.710,00:00:48.090
"wenn nicht sogar kontraproduktiv bezogen
auf die zahl der Opfer. Zunächst zur",00:00:48.090,00:00:52.770
"Gefährlichkeit welches vor allem eine
frage nach der Sterblichkeit ist. Schauen",00:00:52.770,00:00:57.360
"wir uns hierzu ein paar Beispiele an. Die
Länder die unter anderem am meisten",00:00:57.360,00:01:01.920
"Prozent der Bevölkerung getestet haben,
nämlich Island und die Färöer, kommen auf",00:01:01.920,00:01:08.850
"folgende zahlen:
Island hat zum beispiel zehn tote auf",00:01:08.850,00:01:13.049
"fast 1800 infizierte. Allerdings hat man
bei einer repräsentativen Stichprobe 1",00:01:13.049,00:01:20.549
"Prozent infizierte gefunden. Das wäre
bezogen auf die gesamte Bevölkerung etwa",00:01:20.549,00:01:25.939
"3600 infizierte. Das war allerdings nur
zu einem bestimmten Zeitpunkt. Das heißt",00:01:25.939,00:01:31.380
"man würde eher von 2-3% Infizierten in der
Bevölkerung ausgehen. Aber selbst 1",00:01:31.380,00:01:39.000
"prozent wären das 10 auf 3.600, das
heißt eine sterblichkeit von 0,27%.",00:01:39.000,00:01:45.689
"Bei den Färöer Inseln, die auch
ebenso wie Island über 10%",00:01:45.689,00:01:51.869
"ihrer Bevölkerung getestet haben, gab es
gar keine toten, dafür 187",00:01:51.869,00:01:59.119
"diagnostizierte Infizierte. Selbst wenn
es nur einen Toten gäbe wäre das",00:01:59.119,00:02:03.240
"immerhin nur 0,53%. Bei einer
repräsentativen",00:02:03.240,00:02:09.479
"Antikörper-Studie in Gangelt im Kreis
Heinsberg kam man auf konservativ",00:02:09.479,00:02:13.890
"gerechnet 15% Infizierte und
errechnete eine Sterblichkeit von 0,37%.",00:02:13.890,00:02:19.409
"In kalifornien im Santa Clara
County hat man eine Antikörperstudie",00:02:19.409,00:02:24.540
"auch gemacht und kam auf 2,5 bis 4,2% und damit auf eine über 80-fache",00:02:24.540,00:02:31.560
"Dunkelziffer. Die errechnete
Sterblichkeit war da 0,12 bis 0,2%.",00:02:31.560,00:02:36.060
"Anders sieht es ein bisschen in
New York aus. Dort hat man eine",00:02:36.060,00:02:39.989
"Antikörperstudie gemacht und hat 25%
durchgemachte Infektionen gefunden. Allerdings liegt dort",00:02:39.989,00:02:45.390
"die Sterblichkeit sehr hoch, so dass man
hier auf eine errechnete Sterblichkeit",00:02:45.390,00:02:49.859
"von 0,83% kommt. Bei den
Antikörperstudien muss berücksichtigt",00:02:49.859,00:02:54.900
"werden, dass die Antikörper erst 4 bis
5 Wochen nach Infektion bzw 3",00:02:54.900,00:02:59.879
"Wochen nach den ersten Symptomen
gebildet werden, also die Verbreitung eher",00:02:59.879,00:03:03.540
"dann noch höher ist. Die Sterbefälle
haben auch eine Latenz, aber nur von etwa",00:03:03.540,00:03:07.799
"2-4 Wochen von Infektionen bis
zum Tod.",00:03:07.799,00:03:10.620
"Somit liegt die Sterblichkeit
offensichtlich aktuell im Bereich von",00:03:10.620,00:03:13.859
"0,1 bis 1%. In Regionen mit
explosionsartige Ausbreitung, vor allem",00:03:13.859,00:03:20.430
"in New York ist die Sterblichkeit eher
höher als in Regionen, in denen sich die",00:03:20.430,00:03:25.019
"Infektion langsamer ausbreitet, z.B. in Island, den Färöern oder in",00:03:25.019,00:03:29.609
"Kalifornien.
Dieses Phänomen lässt sich auch bei",00:03:29.609,00:03:32.940
anderen Viren beobachten. Nehmen wir zum Beispiel die Masern. Heutzutage oft als,00:03:32.940,00:03:38.099
"harmlose Kinderkrankheit bei ein paar wenigen
nicht-geimpften wahrgenommen, waren die",00:03:38.099,00:03:42.840
Masern hingegen vor den Impfungen teilweise verheerend. Besonders wenn sie in der,00:03:42.840,00:03:47.069
"Geschichte in vorher isolierten Gebieten
auftauchten wie den amerikanischen",00:03:47.069,00:03:51.209
"ureinwohnern oder pazifikinseln
nach der Entdeckung. Dann erreichten sie",00:03:51.209,00:03:57.180
"eine sterblichkeit von bis zu 50%.
Dabei ist das Immunsystem eines bisher",00:03:57.180,00:04:02.639
"isolierten Indianers nicht wirklich
anders im Vergleich zu einer nicht",00:04:02.639,00:04:06.150
"geimpften Person in heutigen
Industrienationen. Der unterschied",00:04:06.150,00:04:10.470
"besteht v.a. darin, dass bei einem heftigen
Ausbruch in einem Gebiet ohne Immunität",00:04:10.470,00:04:14.760
"plötzlich ganz viele Menschen auf einmal
infiziert sind. Die Wahrscheinlichkeit",00:04:14.760,00:04:19.109
"ist also hoch, dass man sich bei mehreren Menschen in kurzer zeit ansteckt, bzw. dass",00:04:19.109,00:04:25.280
die ansteckende Person eine nahe stehende Person ist. Dahingegen herrscht in den,00:04:25.280,00:04:29.450
"Industrienationen durch die Impfung eine
Immunität von über 90%.",00:04:29.450,00:04:34.790
"Die Ansteckung erfolgt daher meist eher
flüchtig. Dieser Umstand, dass eine höhere",00:04:34.790,00:04:40.100
"Virusdosis am Anfang auch eine
heftigere Erkrankungen zur Folge hat,",00:04:40.100,00:04:44.930
"ließ sich für die Influenza-Grippe auch
in einer Studie feststellen.",00:04:44.930,00:04:48.620
"Die höhere Sterblichkeit in Regionen mit
explosionsartige Ausbreitung, scheint",00:04:48.620,00:04:53.510
diese eigenschaft auch für Covid-19 nahezulegen. In diesem Zusammenhang möchte ich,00:04:53.510,00:04:59.210
"noch mal auf die unterschiedlichen
Begriffe aufmerksam machen mit denen man",00:04:59.210,00:05:02.510
"eine Infektionskette medizinisch
beschreibt. Covid-9 startete als",00:05:02.510,00:05:07.850
"Epidemie in China.
Also es tritt neu auf und man hat noch",00:05:07.850,00:05:11.960
"keine immunität, was typisch ist für eine
Epidemie.",00:05:11.960,00:05:16.600
"Gleichzeitig ist es noch lokal
beschränkt. Sobald es sich über",00:05:16.600,00:05:20.690
"Kontinente hinweg ausbreitet, spricht man
von einer Pandemie. Wird Erreger jedoch",00:05:20.690,00:05:26.570
"in einem gebiet quasi heimisch, spricht
man von einer Endemie. Hier besteht dann",00:05:26.570,00:05:32.360
"eine Immunität, welche eine schnelle
explosionsartige Ausbreitung verhindert",00:05:32.360,00:05:36.800
"und damit eine hohe Sterblichkeit
ausschließt.",00:05:36.800,00:05:40.600
"Man könnte quasi bezogen auf die Masern
sagen, dass sie als Epidemie eine",00:05:40.600,00:05:46.190
"verheerende Seuche, aber als Endemie eine
meist eher harmlose Kinderkrankheit sind.",00:05:46.190,00:05:51.790
"Was sind jetzt nun die Gründe anzunehmen
dass Covid-19 endemisch, also",00:05:51.790,00:05:56.660
"heimisch wird und nicht mehr weggeht?
Da wäre zu einem einem die hohe",00:05:56.660,00:06:01.340
