text,start,stop
"Hey everybody, it's Stephen from Asian Boss.
With the whole world on standstill right now,",00:00:00.000,00:00:04.960
"the only solution we seem to have to
flatten the curve on COVID-19 is social distancing,",00:00:05.160,00:00:10.180
"but what we desperately need
is a vaccine.",00:00:10.420,00:00:12.740
The problem is no one really seems to know how long,00:00:12.960,00:00:15.440
it's going to take to develop a vaccine for COVID-19.,00:00:15.480,00:00:18.240
"As a matter of fact, the whole process
of developing one",00:00:18.540,00:00:21.560
"remains such a mystery to so many people,",00:00:21.560,00:00:23.920
"so today we're here
at the International Vaccine Institute",00:00:24.100,00:00:26.620
"located in Seoul, South Korea to talk
with Director-General Dr. Jerome Kim.",00:00:26.660,00:00:31.280
"For today's interview, we've asked people
to submit their questions on Mogao,",00:00:31.500,00:00:34.940
"which is our own community app you can
download in the description.",00:00:35.120,00:00:38.000
"Dr. Kim is waiting for us as we speak,
so let's go have your questions answered",00:00:38.220,00:00:41.980
by this leading vaccine expert.,00:00:41.980,00:00:43.820
"Thank you so much
for sitting down with us today.",00:00:44.920,00:00:46.760
My pleasure.,00:00:46.760,00:00:47.640
"I'm sure you hear what's going on
on the news.",00:00:47.700,00:00:49.940
Pretty much the entire world is under lockdown.,00:00:50.140,00:00:52.920
"This whole question of developing a vaccine 
is on a lot of people's minds.",00:00:53.060,00:00:56.640
"Could you just maybe tell us 
a little bit about your background",00:00:56.780,00:01:00.000
and what you're currently doing.,00:01:00.060,00:01:01.460
"I trained as a medical doctor,",00:01:01.540,00:01:03.580
"specializing in internal medicine. 
and infectious diseases.",00:01:03.580,00:01:07.300
"After completing my training at Duke,",00:01:07.440,00:01:09.500
"I joined this program 
at the Walter Reed Army Institute of Research.",00:01:09.560,00:01:13.460
"My first boss was a guy
named Robert Redfield,",00:01:13.460,00:01:15.700
"who's now the head of the US CDC,",00:01:15.720,00:01:18.560
"and under him was a woman
named Deborah Birx,",00:01:19.080,00:01:22.600
who is now the White House coordinator,00:01:22.860,00:01:26.060
for the pandemic response to COVID-19.,00:01:26.220,00:01:28.220
"And when I became eligible to retire, 
this job came up,",00:01:28.220,00:01:31.440
"and I thought, ""Hey, this would be 
a really kind of interesting",00:01:31.440,00:01:34.440
to work on things other than HIV.,00:01:34.440,00:01:36.580
"Many of the vaccines we work on 
are not as well funded as HIV,",00:01:36.680,00:01:40.140
but they're equally important.,00:01:41.100,00:01:42.260
"And it was good training I think 
for all of us at IVI.",00:01:42.260,00:01:47.200
"Then, working on a MERS vaccine
 became a priority for Korea,",00:01:47.200,00:01:50.180
"and now with COVID-19,
another coronavirus,",00:01:50.680,00:01:53.860
"we have the opportunity to work 
on another vaccine",00:01:53.860,00:01:56.300
"or set of vaccines that might
potentially protect against COVID-19 infection.",00:01:56.300,00:02:00.140
"So what is the International
Vaccine Institute?",00:02:00.260,00:02:04.100
