text,start,stop
"Diese Sendung wurde vom NDR
live untertitelt (13.05.2020)",00:00:00.320,00:00:04.320
"Ein Tritt gegen einen Journalisten
der ARD in Berlin.",00:00:04.880,00:00:08.600
"Vorher gab es ""Lügenpresse""-Rufe.",00:00:11.560,00:00:13.920
Das kennt man eher von Pegida.,00:00:14.240,00:00:16.240
"Gewalt gegen Journalisten.
Darum geht es nun bei ZAPP.",00:00:16.320,00:00:19.760
"Schön, dass Sie dabei sind.",00:00:19.840,00:00:21.800
"Seit Wochen
protestieren Verschwörungsideologen",00:00:21.880,00:00:26.120
"gegen die in ihren Augen
zu strengen Corona-Maßnahmen.",00:00:26.200,00:00:30.160
"Einige vermuten dahinter
einen geheimen Plan,",00:00:30.280,00:00:33.440
"die Weltbevölkerung durch eine
Corona-Impfung schrumpfen zu lassen.",00:00:33.520,00:00:38.240
Was sind das für Leute?,00:00:38.520,00:00:40.160
"Um das herauszufinden,
waren auch Reporter bei den Demos.",00:00:40.240,00:00:44.640
"Doch das wurde für sie
zunehmend gefährlich.",00:00:44.960,00:00:49.000
"Längst gehört die Presse
zum Feindbild der Verschwörer.",00:00:49.360,00:00:53.200
Nils Altland und Inga Mathwig.,00:00:53.320,00:00:55.480
Bloß keine Action verpassen:,00:00:56.320,00:00:58.560
"Demo gegen die Corona-Verordnungen
am Samstag vor dem Reichstag.",00:00:58.640,00:01:03.640
"Es sind fast so viele Journalisten da
wie Demonstranten.",00:01:03.720,00:01:07.680
Viel Aufmerksamkeit,00:01:07.760,00:01:09.320
"für einen bunten Haufen
von Verschwörungsideologen.",00:01:09.400,00:01:13.080
"Initiator des Protests:
der Vegan-Koch Attila Hildmann.",00:01:13.320,00:01:17.920
"Er posiert erst bereitwillig
für die Journalisten -",00:01:19.760,00:01:23.360
"und macht im nächsten Moment
Stimmung gegen sie:",00:01:23.440,00:01:26.800
Sie haben euch alles verschwiegen!,00:01:26.880,00:01:29.560
Die sogenannten Qualitätsmedien.,00:01:32.320,00:01:34.600
"Wir fragen JournalistInnen,
wie das auf sie wirkt.",00:01:37.280,00:01:41.120
"Die meisten
wollen nicht vor die Kamera,",00:01:41.520,00:01:44.400
keine weitere Angriffsfläche bieten.,00:01:44.480,00:01:47.120
"Und nicht den Eindruck erwecken,
dass solche Angriffe Wirkung zeigen.",00:01:47.200,00:01:51.840
Nur wenige teilen ihre Sorgen.,00:01:51.920,00:01:54.200
"Das Demogeschehen,
wie erlebst du das als Journalist?",00:01:54.600,00:01:58.400
"Hast du das Gefühl,
davon gehen Gefahren für dich aus?",00:01:58.480,00:02:02.360
Aggressionspotenzial ist da.,00:02:02.400,00:02:04.600
"Bei manchen Leuten sieht man Wut,
sie werden aggressiv.",00:02:04.720,00:02:08.960
"Ich kann nachvollziehen,
dass der Funke überspringen kann,",00:02:09.840,00:02:14.000
"dass man vielleicht
nicht mehr so sicher ist",00:02:14.080,00:02:16.960
wie auf anderen Veranstaltungen.,00:02:17.040,00:02:19.120
"Die Leute sagen dir ins Gesicht,
dass sie dir nicht vertrauen,",00:02:19.200,00:02:23.160
dass du von Gates bezahlt bist.,00:02:23.240,00:02:25.400
"Dass sie dir nicht übern Weg trauen
und dich verachten.",00:02:25.480,00:02:29.320
"Auch körperliche Gewalt
gegen Journalisten",00:02:30.280,00:02:33.120
