text,start,stop
"Kretschmann: Liebe Kolleginnen und
Kollegen, vor gut sechs Wochen haben wir",00:00:00.016,00:00:04.919
"Schulen, Geschäfte und Einrichtungen
geschlossen, Kontaktbeschränkungen",00:00:04.919,00:00:08.691
"angeordnet und das öffentliche Leben
heruntergefahren. Wir taten das in tiefer",00:00:08.691,00:00:14.787
"Sorge, denn wir in Baden-Württemberg waren
ganz besonders betroffen: Wegen der vielen Ski-",00:00:14.787,00:00:21.426
"Heimkehrer aus Risikogebieten. Und wegen
eines Corona-Hot-Spots in unserer",00:00:21.426,00:00:26.582
"unmittelbaren Nachbarschaft, in Grand Est,
bei unseren französischen Freunden. Doch",00:00:26.582,00:00:33.316
"den schrecklichen Verlauf der Pandemie in
vielen Ländern der Welt konnten wir bei",00:00:33.316,00:00:37.732
"uns bisher abwenden. Wir haben früh und
entschlossen gehandelt, Kontakte auf das",00:00:37.732,00:00:44.615
"Allernötigste beschränkt und die Kapazität
unserer Krankenhäuser erhöht. Vor allem",00:00:44.615,00:00:51.266
"aber: Auch die Bürgerinnen und Bürger
haben mitgezogen. Sie haben sich",00:00:51.266,00:00:55.266
"verantwortungsvoll verhalten, sind zuhause
geblieben und haben Abstand gehalten.",00:00:55.266,00:01:01.190
"Applaus
Damit konnten wir unser Land vom",00:01:01.190,00:01:10.924
"Schlimmsten bewahren. Durch eine gewaltige
Kraftanstrengung. Durch eine echte",00:01:10.924,00:01:16.040
"Gemeinschaftsleistung. Und dabei schließe
ich den Landtag und die",00:01:16.040,00:01:20.322
"Oppositionsfraktionen ganz ausdrücklich
mit ein. Ich habe mich bemüht, die",00:01:20.322,00:01:25.465
"Fraktionen über unser Handeln auf dem
Laufenden zu halten und ich bin dankbar",00:01:25.465,00:01:30.113
"für die Anregungen, die Sie mir mitgegeben
haben. Auch den Mitgliedern meines",00:01:30.113,00:01:34.800
"Kabinetts danke ich für ihren
unermüdlichen Einsatz in der Krise –",00:01:34.800,00:01:38.833
"besonders meinem
Sozialminister Manne Lucha.",00:01:38.833,00:01:42.381
"Applaus
Ebenso den Vorsitzenden der beiden",00:01:42.381,00:01:50.213
"Regierungsfraktionen Andreas Schwarz und
Prof. Dr. Wolfgang Reinhart für die gute",00:01:50.213,00:01:55.516
"Unterstützung, dem Vorsitzenden der SPD
und der FDP für die Einladung in ihre",00:01:55.516,00:02:02.230
"Fraktionen und den konstruktiven Dialog
den ich mit ihren Fraktionen führen",00:02:02.230,00:02:07.918
"durfte. Und auch die
Verantwortungsgemeinschaft aus Bund,",00:02:07.918,00:02:12.531
"Ländern und Gemeinden hat sich bewährt –
ein starkes Zeichen für einen lebendigen",00:02:12.531,00:02:17.536
"Föderalismus. Gemeinsam haben wir einen
wichtigen Zwischenerfolg",00:02:17.536,00:02:23.745
"errungen. Unsere Maßnahmen zur
Kontaktbeschränkung haben gewirkt. Das",00:02:23.745,00:02:29.029
"lässt sich an den Zahlen ablesen: Die
Verdopplungszeit der Infektionszahlen ist",00:02:29.029,00:02:33.928
"von unter 3 Tagen Mitte März auf jetzt
über 41 Tage gestiegen. Die sogenannte",00:02:33.928,00:02:40.844
"Basisreproduktionsrate ist in Baden-
Württemberg von knapp 4 auf unter 1",00:02:40.844,00:02:46.427
"gefallen. Vor dem Lockdown hat also ein
Infizierter vier weitere Leute angesteckt.",00:02:46.427,00:02:53.553
"Heute sind es weniger, steckt er weniger
als eine weitere Person an. Dadurch nimmt",00:02:53.553,00:02:59.591
"die Zahl der Neuerkrankungen leicht ab.
Liebe Kolleginnen und Kollegen, manche",00:02:59.591,00:03:06.389
"sagen ja jetzt, der Lockdown sei völlig
überzogen gewesen. Das sehe man daran,",00:03:06.389,00:03:12.040
"dass die Krankenhäuser bei uns ja nicht
mal vollgelaufen seien. Ich muss gestehen,",00:03:12.040,00:03:18.439
"dass mich solch eine Argumentation
besorgt. Denn es ist doch offensichtlich,",00:03:18.439,00:03:22.522
"dass unsere Krankenhäuser nur aus einem
Grund nicht vollgelaufen sind: Weil wir",00:03:22.522,00:03:28.372
"strenge Maßnahmen ergriffen haben.
Applaus",00:03:28.372,00:03:37.332
"Prof. Drosten hat schon vor ein paar
Wochen darauf hingewiesen, dass eben kein",00:03:37.332,00:03:41.719
"Ruhm in der Verhinderung von Erkrankungen
liege, denn die Erkrankungen die man durch",00:03:41.719,00:03:47.522
"vorbeugende Maßnahmen verhindert bleiben
unsichtbar weil sie eben nicht eingetreten",00:03:47.522,00:03:52.221
"sind. Ich sage dazu: Das Leid, das wir
verhindert haben, sehen wir auch, wenn wir",00:03:52.221,00:03:57.812
"nach Norditalien, ins Elsass oder New York
schauen: Kliniken, die aus allen Nähten",00:03:57.812,00:04:03.153
"platzen. Ambulanzen, voller
Schwerstkranker. Verzweifelte Ärztinnen",00:04:03.153,00:04:07.765
"und Ärzte, die zur Triage gezwungen sind.
Diese Bilder sollten uns auch weiterhin",00:04:07.765,00:04:14.162
"als Warnung dienen. Viele unserer besten
Fachleute warnen uns ja nicht ohne Grund",00:04:14.162,00:04:20.945
"vor einer zweiten, viel dramatischeren
Infektionswelle. Ich sage das auch mit",00:04:20.945,00:04:26.696
"Blick auf morgen, wenn die nächste
Telefonkonferenz der Ministerpräsidenten",00:04:26.696,00:04:31.429
"mit der Bundeskanzlerin ansteht. Und
deshalb habe ich auch letzte Woche in Ulm,",00:04:31.429,00:04:37.028
"gemeinsam mit meinem bayerischen Kollegen
Markus Söder, vor einer zu schnellen und",00:04:37.028,00:04:42.145
"zu umfassenden weiteren Öffnung gewarnt.
Darin sind wir uns auch mit der",00:04:42.145,00:04:47.095
"Bundeskanzlerin völlig einig. Denn der
Erfolg, den wir erzielen konnten, ist noch",00:04:47.095,00:04:52.779
"immer zerbrechlich. Bereits wenn der
Reproduktionsfaktor von knapp unter 1 auf",00:04:52.779,00:04:59.829
"1,1 oder 1,2 ansteigt, haben wir ein
Riesenproblem. Steckt ein Infizierter im",00:04:59.829,00:05:08.098
"Schnitt 1,2 andere Personen an, kämen wir
bereits im Juli an die Kapazitätsgrenze",00:05:08.098,00:05:15.343
"unseres Gesundheitssystems. Das zeigt, wie
schmal der Grat ist, auf dem wir uns",00:05:15.343,00:05:22.105
"bewegen. Was leitet unser Handeln in
dieser Krise? Tatsache ist: Wir wissen",00:05:22.105,00:05:31.058
"immer noch sehr wenig über das Corona-
Virus. Trotzdem müssen wir tiefgreifende",00:05:31.058,00:05:38.456
"Entscheidungen im Eiltempo treffen.
Deshalb möchte ich etwas zu den Prinzipien",00:05:38.456,00:05:43.990
"sagen, die mich leiten: Erstens gilt für
mich der Imperativ, ständig dazuzulernen.",00:05:43.990,00:05:50.889
"Denn: Je größer unser Wissen über das
Virus, desto besser das Krisenmanagement.",00:05:50.889,00:05:56.677
"Und wir lernen mit hoher Geschwindigkeit
dazu. Deshalb lasse ich mich ständig",00:05:56.677,00:06:01.572
"beraten – von herausragenden
Personen aus Wissenschaft,",00:06:01.572,00:06:06.156
"Wirtschaft und Gesellschaft. Zweitens
orientiere ich mich an den Prinzipien der",00:06:06.156,00:06:11.979
"Entschlossenheit und Besonnenheit. In
der Pandemie zählt jeder Tag, deshalb",00:06:11.979,00:06:17.176
"handeln wir entschieden und schnell.
Wir haben dafür flexible",00:06:17.176,00:06:21.479
"Entscheidungsstrukturen geschaffen. Die
interministerielle Lenkungsgruppe unter",00:06:21.479,00:06:27.411
"Führung des Chefs der Staatskanzlei dient
als zentraler Krisenstab der",00:06:27.411,00:06:31.544
"Landesregierung im Verwaltungshandeln. Da
laufen alle Fäden zusammen. Alle für das",00:06:31.544,00:06:37.944
"Krisenmanagement wichtigen Ministerien
sind vertreten. Die Lenkungsgruppe ist",00:06:37.944,00:06:42.994
"zudem die Schnittstelle zwischen Land und
Kommunen. In enger Abstimmung mit mir und",00:06:42.994,00:06:48.995
"den zuständigen Ministern, trifft sie
wichtige operative Entscheidungen. Die",00:06:48.995,00:06:54.844
"Grundsatzentscheidungen fällt das Kabinett
unter meiner Führung. Mit dieser Struktur",00:06:54.844,00:07:00.361
"arbeiten wir schnell und zielgerichtet.
Aber es geht nicht nur Schnelligkeit. Wir",00:07:00.361,00:07:06.243
"handeln auch besonnen. Wir prüfen die
Fakten, berücksichtigen die Folgen und",00:07:06.243,00:07:11.144
"Nebenwirkungen und wägen sorgfältig ab.
Auch das ist wichtig. Drittens steht der",00:07:11.144,00:07:18.085
"Schutz des Lebens und der Gesundheit der
Bevölkerung für mich an oberster Stelle.",00:07:18.085,00:07:23.392
"Deshalb stellt sich für mich bei den
schwerwiegenden Abwägungen immer zuerst",00:07:23.392,00:07:27.908
"die Frage der Epidemiologie: Welche
Auswirkung hat eine Entscheidung auf das",00:07:27.908,00:07:33.942
"Infektionsgeschehen? Drohen da Risiken
für die Bevölkerung, die wir nicht",00:07:33.942,00:07:40.022
"verantworten können? Ich bin überzeugt,
dass diese Prioritätensetzung nicht im",00:07:40.022,00:07:45.556
"Widerspruch, sondern im Einklang mit den
Interessen von Wirtschaft und Gesellschaft",00:07:45.556,00:07:51.322
"steht.
Applaus",00:07:51.322,00:07:58.973
"Denn unser wirtschaftliches und
gesellschaftliches Leben entfaltet sich",00:07:58.973,00:08:03.850
"dann am besten, wenn wir die Gesundheit
Aller bestmöglich schützen. Das zeigt sich",00:08:03.850,00:08:09.503
